"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"The Contract of Insurance","True","True","True","True","heading"
"This policy, The Schedule, the enclosed Institute Clauses and the information You provided to Us when applying","False","False","True","False","paragraph"
"for this insurance together with any additional information supplied subsequently form the basis on which this","False","False","True","False","paragraph"
"contract has been arranged.","False","False","True","False","paragraph"
"The policy is not valid unless The Schedule is attached to the policy and has been countersigned by an authorised","False","False","True","False","paragraph"
"official of the Company and bears the Company’s stamp.","False","False","True","False","paragraph"
"Important","True","True","True","True","heading"
"This policy is a legal contract. You must tell Us about any facts or changes which affect Your insurance and which","False","False","True","False","paragraph"
"have occurred either since the policy started or since the last renewal date. If You are not sure whether certain","False","False","True","False","paragraph"
"facts are relevant, please ask Your insurance adviser or local Aviva office. If You do not tell Us about relevant","False","False","True","False","paragraph"
"changes, Your policy may not be valid or the policy may not cover You fully.","False","False","True","False","paragraph"
"You should keep a written record (including copies of letters) of any information You give Us or Your insurance","False","False","True","False","paragraph"
"adviser when You renew this policy.","False","False","True","False","paragraph"
"Aviva Insurance Limited","False","False","True","True","paragraph"
"PO Box 6, Surrey Street Norwich NR1 3NS","False","False","True","True","paragraph"
"Registered in Scotland No 2116","False","False","True","True","paragraph"
"Registered Office: Pitheavlis, Perth, Scotland, PH2 0NH","False","False","True","True","paragraph"
"BCIMM9356_F_97000743_POB.indd","False","False","True","True","paragraph"
"Authorised and regulated by the Financial Services Authority.","False","False","True","False","paragraph"
"1","False","False","True","True","paragraph"
"10/07/2012 12:01","False","False","True","True","paragraph"
"Introduction","True","True","True","True","heading"
"Welcome to Aviva. We are committed to providing a first-class service. Aviva is the UK’s largest insurer with over","False","False","True","False","paragraph"
"200 years’ experience in the insurance industry.","False","False","True","False","paragraph"
"This is your insurance policy which sets out your insurance protection in detail. Your premium has been calculated","False","False","True","False","paragraph"
"on the basis of the extent of cover you have selected which is specified in the schedule, the information you have","False","False","True","False","paragraph"
"provided and the declaration you have made.","False","False","True","False","paragraph"
"Please read the policy and the schedule carefully to ensure that the cover meets your requirements. Please","False","False","True","False","paragraph"
"contact your insurance adviser if you have any questions or if you wish to make adjustments.","False","False","True","False","paragraph"
"Contents","True","True","True","True","heading"
"This policy consists of individual sections. You should read this policy in conjunction with the schedule which","False","False","True","False","paragraph"
"confirms the sections you are insured under and gives precise details of the extent of your insurance protection.","False","False","True","False","paragraph"
"Contact details for claims and help","True","True","True","False","heading"
"Services","True","True","True","True","heading"
"As an Aviva customer, you can access additional services to help you keep your business running smoothly. For","False","False","True","False","paragraph"
"our joint protection telephone calls may be recorded and/or monitored.","False","False","True","False","paragraph"
"Claims Service 0161 931 8076","True","True","True","True","heading"
"Our claims line provides you with assistance whenever it is required. When we know about your problem, we will","False","False","True","False","paragraph"
"start to put the solutions in place.","False","False","True","False","paragraph"
