"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"[In thousands (11,062.6 represents 11,062,600) For year ending December 31. Based on Uniform Crime Reporting (UCR)","False","False","True","False","paragraph"
"Program. Represents arrests reported (not charged) by 12,910 agencies with a total population of 247,526,916 as estimated","False","False","True","False","paragraph"
"by the FBI. Some persons may be arrested more than once during a year, therefore, the data in this table, in some cases,","False","False","True","False","paragraph"
"could represent multiple arrests of the same person. See text, this section and source]","False","False","True","False","paragraph"
"Represents zero. X Not applicable. 1 Buying, receiving, possessing stolen property. 2 Except forcible rape and prostitution.","False","False","False","False","paragraph"
"Source: U.S. Department of Justice, Federal Bureau of Investigation, Uniform Crime Reports, Arrests Master Files.","False","False","True","True","paragraph"
"[Based on Uniform Crime Reporting (UCR) Program. Represents arrests reported (not charged) by 12,371 agencies","False","False","True","False","paragraph"
"with a total population of 239,839,971 as estimated by the FBI. See headnote, Table 324]","False","False","True","False","paragraph"
"1 Except forcible rape and prostitution.","False","False","False","False","paragraph"
"Source: U.S. Department of Justice, Federal Bureau of Investigation, “Crime in the United States, Arrests,” September 2010,","False","False","True","False","paragraph"
"<http://www.fbi.gov/ucr/cius2009/arrests/index.html>.","False","False","True","False","paragraph"
"206 Law Enforcement, Courts, and Prisons","True","False","True","True","heading"
"U.S. Census Bureau, Statistical Abstract of the United States: 2012","False","False","True","True","paragraph"
