"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Searching the Internet for evidence of time travelers","True","True","True","False","heading"
"Robert J Nemiroff 1, 2 and Teresa Wilson1","True","True","False","True","paragraph"
"1","False","False","True","True","paragraph"
"Department of Physics, Michigan Technological University, Houghton, MI","True","False","True","True","paragraph"
"49931","True","False","True","True","paragraph"
"Email: nemiroff@mtu.edu","True","False","False","False","paragraph"
"Abstract. Time travel has captured the public imagination for much of the past century,","False","False","False","False","paragraph"
"but little has been done to actually search for time travelers. Here, three implementations","False","False","True","False","paragraph"
"of Internet searches for time travelers are described, all seeking a prescient mention of","False","False","True","False","paragraph"
"information not previously available. The first search covered prescient content placed on","False","False","True","False","paragraph"
"the Internet, highlighted by a comprehensive search for specific terms in tweets on","False","False","True","False","paragraph"
"Twitter. The second search examined prescient inquiries submitted to a search engine,","False","False","True","False","paragraph"
"highlighted by a comprehensive search for specific search terms submitted to a popular","False","False","True","False","paragraph"
"astronomy web site. The third search involved a request for a direct Internet","False","False","True","False","paragraph"
"communication, either by email or tweet, pre-dating to the time of the inquiry. Given","False","False","True","False","paragraph"
"practical verifiability concerns, only time travelers from the future were investigated. No","False","False","True","False","paragraph"
"time travelers were discovered. Although these negative results do not disprove time","False","False","True","False","paragraph"
"travel, given the great reach of","False","False","True","False","paragraph"
"comprehensive to date.","False","False","True","False","paragraph"
"C ontents","False","True","True","False","paragraph"
"1 . Introduction","False","True","True","True","paragraph"
"2. Types of Time Travelers","False","True","True","True","heading"
"3. Searching for Prescient Content on the Internet","False","True","True","True","heading"
"4. Searching for Prescient Search Queries","False","True","True","True","heading"
"the Internet, this search","False","False","True","False","paragraph"
"5. Requests for Time Travelers to Issue a Prescient Internet Communication","False","True","True","True","heading"
"6. Summary and Conclusions","False","True","True","True","heading"
"Acknowledgments","False","True","True","True","heading"
"References","False","True","True","True","heading"
"1 . Introduction","False","True","True","True","paragraph"
"is perhaps the most","False","False","True","False","paragraph"
"T he origin of the idea of time travel is unknown [1]. Mentions in the distant past include the Indian","False","False","True","False","paragraph"
"Mahabharata [2], which may date as far back as the 9th century BC, the Hebrew Talmud [3], written","False","False","True","False","paragraph"
"about 300 AD, and the Japanese Nihongi [4], which dates back to about 700 AD. A classic contemporary","False","False","True","False","paragraph"
"story of time travel is H. G. Wells' 1895 work ""The Time Machine"" [5]. All of these, however,","False","False","True","False","paragraph"
"predominantly describe time travel to the future. One of the oldest stories known of time travel to the past","False","False","True","False","paragraph"
"dates only back to 1733 with Samuel Madden's ""Memoirs of the Twentieth Century"" [6]. Modern fictional","False","False","True","False","paragraph"
"stories involving time travel both to the future and the past are, however, ubiquitous. Two prominent","False","False","True","False","paragraph"
"2","False","False","True","True","paragraph"
"Author to whom any correspondence should be addressed.","False","False","True","False","paragraph"
"examples include the Doctor Who television series [7] which originated in 1963, and the Back to the","False","False","True","False","paragraph"
"Future film series [8] which began in 1985.","False","False","True","False","paragraph"
"Time travel to the future stands on firm scientific footing. Special Relativity [9] has clear sub-luminal","False","False","True","False","paragraph"
"solutions that correspond with time travel to the future. A famous theoretical example is the twin paradox","False","False","True","False","paragraph"
"[10]. Such future time travel has been experimentally verified, for example, using a pair of clocks one of","False","False","True","False","paragraph"
"which was taken on an airplane. The flying clock recorded a relative time delay of order 10-7 seconds, in","False","False","True","False","paragraph"
"comparison to the more stationary clock [11].","False","False","True","False","paragraph"
"Time travel to the past is controversial, at best, and impossible according to conventional views of the","False","False","True","False","paragraph"
"laws of physics. Formally, Special Relativity allows time travel to the past only for objects moving faster","False","False","True","False","paragraph"
"than the speed of light [12]. In both Special and General Relativity, the possibility that objects could","False","False","True","False","paragraph"
"travel on closed timelike loops would indicate the possibility of time travel to the past. Solutions","False","False","True","False","paragraph"
"involving closed timelike loops have been found in General Relativity with popular cases including","False","False","True","False","paragraph"
"Gödel's universe [13], traveling between black holes and wormholes [14], and circling cosmic strings","False","False","True","False","paragraph"
"[15]. Many physicists consider such solutions unphysical, as articulated, for example, by the Chronology","False","False","True","False","paragraph"
"Protection Conjecture [16].","False","False","True","True","paragraph"
"Although less well known than popular fiction, experiments designed to discover human time travelers","False","False","True","False","paragraph"
"have been conducted. In May of 2005, then graduate student A. Dorai at MIT publicised and held a","False","False","True","False","paragraph"
"convention for time travelers [17]. No one claiming to come from the future showed up [17]. S. Hawking","False","False","True","False","paragraph"
"did a similar experiment in July of 2012, holding a personal party for time travelers, but sending out the","False","False","True","False","paragraph"
"invitations only after the party [18]. No one claiming to be a time traveler showed up [18].","False","False","True","False","paragraph"
"In this work, we report on a series of searches for digital signatures that time travelers potentially left","False","False","True","False","paragraph"
"on the Internet. Specifically, we search for content that should not have been known at the time it was","False","False","True","False","paragraph"
"posted. Such information is here referred to as ""prescient"". To the best of our knowledge, no similar","False","False","True","False","paragraph"
"search has ever been published previously. Section 2 of this work outlines possible types of time","False","False","True","False","paragraph"
"travelers. Section 3 describes one search for prescient content placed on the Internet, highlighted by a","False","False","True","False","paragraph"
"search of tweets on Twitter. Section 4 describes a search for prescient terms submitted in Internet search","False","False","True","False","paragraph"
"engines, highlighted by a search for two specific terms in the online search engine for the Astronomy","False","False","True","False","paragraph"
"Picture of the Day web site. Section 5 describes an experiment involving the request for a prescient timed","False","False","True","False","paragraph"
"communication to be sent either as a tweet or an email. Section 6 summarizes the results and draws some","False","False","True","False","paragraph"
"conclusions concerning the nature of the results.","False","False","True","False","paragraph"
"2 . Types of Time Travelers","False","True","True","True","paragraph"
"T ime travelers can be classified as either from the past or from the future. Further subdivisions might","False","False","True","False","paragraph"
"distinguish between time travelers who want to advertise their presence, hide their presence, and those","False","False","True","False","paragraph"
"who are indifferent. We do not consider such distinctions as determinative for search methods employed","False","False","True","False","paragraph"
"here, however, as even time travelers who want to advertise their presence may do so ineffectively, those","False","False","True","False","paragraph"
"who want to hide their presence might make a revealing mistake, and those indifferent might or might not","False","False","True","False","paragraph"
"leave traceable Internet content.","False","False","True","False","paragraph"
"We did not search the Internet for evidence of time travelers from the past. First, we were unable to","False","False","True","False","paragraph"
"conceive of a simple method that would clearly indicate that informational traces they might have left","False","False","True","False","paragraph"
"were evidence of time travel from the past and not just simple knowledge of the past. Next, to the best of","False","False","True","False","paragraph"
"our knowledge, human technology to create a time machine does not exist in the past, so that time","False","False","True","False","paragraph"
"travelers from the past must originate in the future, assuming such technology is ever developed.","False","False","True","False","paragraph"
"3 . Searching for Prescient Content on the Internet","False","True","True","True","paragraph"
"W ere a time traveler from the future to access the Internet of the past few years, they might have left","False","False","True","False","paragraph"
"once-prescient content that persists today. Alternatively, such information might have been placed on","False","False","True","False","paragraph"
"Internet by a third party discussing something unusual they have heard. Such content might have been","False","False","True","False","paragraph"
"catalogued by search engines such as Google (google.com) or Bing (bing.com), or remain in posts left on","False","False","True","False","paragraph"
"Facebook (facebook.com), Google Plus (plus.google.com), or Twitter (twitter.com).","False","False","True","False","paragraph"
"To make our search for such content manageable, a small number of search terms were sought that","False","False","True","False","paragraph"
"could conceivably give a relatively clear signal of prescient information in an automated query of a large","False","False","True","False","paragraph"
"database. The time period of our search was from 2006 January to 2013 September. Search terms were","False","False","True","False","paragraph"
"chosen to optimize three major attributes. First, search terms were sought that described an item or event","False","False","True","False","paragraph"
"that acquired a name during the time period of our search. Such terms would allow two different epochs","False","False","True","False","paragraph"
"to be compared -- potentially prescient content before this information became available, and normal","False","False","True","False","paragraph"
"content afterwards. For example, mentions of the ""War of the Roses"" occurred numerous times, but none","False","False","True","False","paragraph"
"that could easily be tagged in an automated search as even potentially prescient, since the actual Wars of","False","False","True","False","paragraph"
"the Roses ended in 1485, and the name ""Wars of the Roses"" only came into common usage in the 1800s,","False","False","True","False","paragraph"
"well before our automated searches began [19]. Therefore all discussions in our search period could be","False","False","True","False","paragraph"
"attributed to normal discussions of historic events.","False","False","True","False","paragraph"
"Second, search terms should involve as unique a label as possible. Were a large automated search","False","False","True","False","paragraph"
"focused on a common term, it would be difficult to automatically differentiate a prescient mention of this","False","False","True","False","paragraph"
"term from likely much more numerous common mentions. For example ""Comet McNaught"" was not","False","False","True","False","paragraph"
"considered to be a good search term because its discoverer, Robert H. McNaught, has discovered over 50","False","False","True","False","paragraph"
"comets dating as far back as 1987. Therefore, an automated search returning mentions of ""Comet","False","False","True","False","paragraph"
"McNaught"" in 2006, for example, could arguably not be returning prescient mentions of the impressively","False","False","True","False","paragraph"
"bright Comet McNaught in 2009, but rather mentions of one of the earlier-discovered comets that bears","False","False","True","False","paragraph"
"the same popular name.","False","False","True","False","paragraph"
"Third and last, search terms should remain well known and historically important into the future.","False","False","True","False","paragraph"
"Perennially famous objects or events might be more likely to be on the agendas of future time travelers,","False","False","True","False","paragraph"
"and so may permeate their Internet interactions. Not being time travelers ourselves, we cannot know for","False","False","True","False","paragraph"
"sure what present-day labels will remain popular into the future, but focusing on modern renditions of","False","False","True","False","paragraph"
"terms used by historically long-standing and internationally known institutions seemed pragmatic. Based","False","False","True","False","paragraph"
"on these criteria, two main labels were chosen: Comet ISON and Pope Francis.","False","False","True","False","paragraph"
"Comet ISON (C/2012 S1) is a comet that was discovered by the International Scientific Optical","False","False","True","False","paragraph"
"Network (ISON) on 2012 September 21. Therefore, the term ""Comet ISON"" came into the public lexicon","False","False","True","False","paragraph"
"during our search window. Although the ISON network had discovered one previous comet, that comet","False","False","True","False","paragraph"
