"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Book review","False","True","True","False","heading"
"Paul Slack","True","False","True","True","heading"
"Plague: A Very Short Introduction","True","False","True","True","heading"
"Oxford/New York: Oxford University Press, 2012.","True","False","True","True","heading"
"138 pp; 19 illustrations; References; Further Reading;","True","False","True","False","heading"
"Index","True","False","True","True","heading"
"There are names designating nothing else but a particular disease. Plague is certainly","False","False","True","False","paragraph"
"not one of those: rather than a name, it is a list of associations, a cultural","False","False","True","False","paragraph"
"phenomenon that has helped (or dishelped) shaping human history, not only","False","False","True","False","paragraph"
"demography, as one would expect, but also politics and economy, art and literature,","False","False","True","False","paragraph"
"psychology.","False","False","True","False","paragraph"
"The amazing series of Oxford University Press’ „Very Short Introductions“ (more","False","False","True","False","paragraph"
"than 300 titles as yet!) is expected to provide basic information and overview of","False","False","True","False","paragraph"
"(often) complex topics. However, this edition, written by Paul Slack, Emeritus","False","False","True","False","paragraph"
"Professor of Early Modern Social History at Oxford University, Fellow of British","False","False","True","True","paragraph"
"Academy, ex Principal of Linacre College, and the author of The Impact of Plague in","False","False","False","False","paragraph"
"Tudor and Stuart England (1990) and other works, has pleasantly surprised even the","False","False","False","False","paragraph"
"most spoiled readers: rather than compiling a chronicle or mere chronography, Paul","False","False","True","False","paragraph"
"Slack re-created a long continuum of time in a vivid and dynamic way, similar to a","False","False","True","False","paragraph"
"fiction, but well ducumented and thus powerful. By his own words, „Mine has been","False","False","True","False","paragraph"
"an historian’s view […], designed to show how [the reactions to plague] were all","False","False","True","False","paragraph"
"shaped by the circumstances.“ In the best tradition of the Les Annales school of the","False","False","False","False","paragraph"
"second half of the 20th century, Paul Slack has shaped a real social history of plague,","False","False","True","False","paragraph"
"devoting more attention to the everyday life (and death), using mostly Italian,","False","False","True","False","paragraph"
"English, French, and Spanish sources and literature. In that particular (and","False","False","True","False","paragraph"
"necessarily limited) framework, Dubrovnik appears as „Venetian port“, and, when it","False","False","True","False","paragraph"
"comes to the analysis of art pieces related to epidemics, a lot of attention is devoted","False","False","True","False","paragraph"
"to Camus and Bergman, but there is no mention of Borislav Pekić’s novel Besnilo","False","False","False","False","paragraph"
"(„Rabies“; later filmed, too), for instance.","False","False","True","False","paragraph"
"The structure of Slack’s „Introduction“ to plague, already steps off the usual road of","False","False","True","False","paragraph"
"presenting historical matters: the author first deals with the name („important","False","False","True","False","paragraph"
"because it creates identity“), dipping immediately into the toughest question – of","False","False","True","False","paragraph"
"425","True","True","True","True","paragraph"
"diagnosing plague and comparing epidemics from various epochs. Here, the author","False","False","True","False","paragraph"
"analyses the most recent scientific literature and frames the most reasonable and","False","False","True","False","paragraph"
"probable conclusion on the plague’s variations not in symptoms, but in epidemic","False","False","True","False","paragraph"
"pathways over time and space. (Hereby, the term „frame“ is liked by Paul Slack in","False","False","True","False","paragraph"
"particular, taken over from Charles Rosenberg and refering to the reaction of society","False","False","True","False","paragraph"
"to the „picture“ of a disease.)","False","False","True","False","paragraph"
"In Chapter 2, three major plague pandemics are discussed: the first is supposed to","False","False","True","False","paragraph"
"be related to c. 541-c. 750 in Mediterranean and Europe, the second to the period","False","False","True","False","paragraph"
"of 1347-c. 1771 in Europe, and the third, beginning in 1894 in India and China","False","False","True","False","paragraph"
"and still lasting. According to Paul Slack, all single epidemics, even if distributed","False","False","True","False","paragraph"
"over a long period of (re)appearances, can be explained by those three pandemic","False","False","True","False","paragraph"
"phenomena. Curious is that, while in the 14th-century Europe, the mortality was","False","False","True","False","paragraph"
"about 50-60 %, in the later epidemics, the mortality reached 20 % (17th-18th c.)","False","False","True","False","paragraph"
"or even less.","False","False","True","False","paragraph"
"Of course, the major sub-topic of the booklet must be the Black Death in the mid","False","False","True","False","paragraph"
"14th century, the impact of which is the central theme of Chapter 3, while the","False","False","True","False","paragraph"
"„private horrors“ caused by this most horrible epidemics in human history, of","False","False","True","False","paragraph"
"Chapter 4. Since doctors were not particularly able to provide assistance to the","False","False","True","False","paragraph"
"diseased, the folk, logically, oriented more toward the saints-protectors, of which","False","False","True","False","paragraph"
"especially beloved was St. Rochus. (In Istria, in Western Croatia, Rochus had not","False","False","True","False","paragraph"
"been only the most venerated in the time of plague, with some 30 churches build","False","False","True","False","paragraph"
"either ex voto or in greatfulness, but his cult was revived during the later epidemics","False","False","False","False","paragraph"
"of cholera, in the 19th century.)","False","False","True","False","paragraph"
"In Chapter 5, dealt is with the emergence of public health measures, with all the","False","False","True","False","paragraph"
"difficulties related to cultural differences in accepting their forced imposal. Actually,","False","False","True","False","paragraph"
"one might say that plague „invented“ public health and that, particularly because of","False","False","True","False","paragraph"
"that fact, plague has to be considered important „teacher“ on the transmission of","False","False","True","False","paragraph"
