"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"J .D. Power and Associates Reports:","False","True","True","True","paragraph"
"Vehicle Owners Show Willingness to Spend on Automotive Infotainment Features","False","True","True","True","heading"
"A utonomous Driving Technology Piques Interest of Premium Vehicle Owners","False","False","True","False","paragraph"
"W ESTLAKE VILLAGE, Calif.: 26 April 2012 — Vehicle owners have come to expect additional safety","False","False","False","False","paragraph"
"features and are now turning their attention more to infotainment technologies in their vehicle, according to the","False","False","True","False","paragraph"
"J.D. Power and Associates 2012 U.S. Automotive Emerging Technologies StudySM released today.","False","False","True","False","paragraph"
"T he study measures vehicle owner interest and purchase intent for emerging automotive technologies, both before","False","False","True","False","paragraph"
"and after market price is revealed. The top-five considered technologies—based on vehicle owners who indicate","False","False","True","False","paragraph"
"that they “definitely” or “probably” would purchase in their next vehicle—both pre-price and at market price are:","False","False","True","False","paragraph"
"P re-Price Feature Interest","False","False","True","False","paragraph"
"Light emitting diode (LED) headlights","False","False","True","False","paragraph"
"Natural language voice-activation","False","False","True","False","paragraph"
"Next-generation head-up display","False","False","True","False","paragraph"
"Wireless connectivity system","False","False","True","False","paragraph"
"Remote vehicle diagnostics","False","False","True","False","paragraph"
"At Market Price Feature Interest","False","False","True","True","paragraph"
"70% HD radio (at $100)","False","False","False","False","paragraph"
"52%","False","False","True","True","paragraph"
"69% Enhanced collision mitigation system (at $750) 46%","False","False","False","False","paragraph"
"69% Wireless connectivity system (at $300) 45%","False","False","False","False","paragraph"
"68% Surround-view rear-vision camera (at $550) 44%","False","False","False","False","paragraph"
"65% Personal assistance safety services (at $15/month) 41%","False","False","False","False","paragraph"
"N ot unexpectedly, purchase interest declines across all features when a price is introduced.","False","False","True","False","paragraph"
"“ While vehicle owners remain very interested in technologies that make their vehicle safer, they are turning their","False","False","True","False","paragraph"
"attention more and more toward features and technologies that allow them to be productive, connected and","False","False","True","False","paragraph"
"entertained while in their vehicles,” said Mike VanNieuwkuyk, executive director of global automotive at J.D.","False","False","True","False","paragraph"
"Power and Associates. “Given the variety of interests from consumers, automakers will be challenged to pursue","False","False","True","False","paragraph"
"technologies that fit their consumer’s interests in order to attract them to their products.”","False","False","True","False","paragraph"
"A utonomous Driving—Polarizing Views on Value","False","True","True","False","paragraph"
"One of the newest, and the most expensive, technologies included in this study is autonomous driving mode—a","False","False","True","False","paragraph"
"feature that allows the vehicle to take control of acceleration, braking and steering, without any human","False","False","True","False","paragraph"
"interaction. While this technology is still being developed and tested, 20 percent of all vehicle owners say they","False","False","True","False","paragraph"
"“definitely would” or “probably would” purchase it in their next vehicle after learning the estimated market price","False","False","True","False","paragraph"
"of $3,000. Prior to learning the price, interest for this technology was at 37 percent.","False","False","True","False","paragraph"
"T he study finds that vehicle owners are nearly as likely to select fully autonomous driving mode as they are to","False","False","True","False","paragraph"
"select semi-autonomous driving technologies such as emergency stop assist ($800), traffic jam assist ($800) or","False","False","True","False","paragraph"
"speed limit assist ($800).","False","False","True","False","paragraph"
"“ Consumers are still learning about how autonomous driving technology could be used in their vehicles,” said","False","False","True","False","paragraph"
"VanNieuwkuyk. “Many owners are skeptical about releasing control of their vehicle and would like to see the","False","False","True","False","paragraph"
"technology proved out before they adopt it.”","False","False","True","False","paragraph"
"(Page 1 of 3)","False","False","True","False","paragraph"
