"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"U nderwritten by:","False","True","True","False","paragraph"
"ACE European Group Limited","False","False","True","True","paragraph"
"Main business – General Insurance.","False","False","True","False","paragraph"
"Registered in England No. 1112892.","False","False","True","True","paragraph"
"Head Office: ACE Building, 100 Leadenhall Street, London,","False","False","True","True","paragraph"
"EC3A 3BP.","False","False","True","True","paragraph"
"ACE European Group Ltd is authorised by the Prudential","False","False","True","False","paragraph"
"Regulation Authority (PRA) and regulated by the","False","False","True","False","paragraph"
"Financial Conduct Authority (FCA), Reference Number","False","False","True","False","paragraph"
"Full details can be found online in the","False","False","True","False","paragraph"
"PRA/FCA website or by contacting the PRA on 020 7601","False","False","True","False","paragraph"
"4878 or the FCA on 0800 111 6768","False","False","True","True","paragraph"
"Endsleigh Sport","True","False","True","True","heading"
"Group Personal Injury","True","False","True","True","heading"
"Insurance Policy","True","False","True","True","heading"
"1","False","False","True","True","paragraph"
"Code: Endsleigh Sports Association Template","False","False","True","True","paragraph"
"P ersonal Injury Policy Document","True","True","True","False","paragraph"
"Contents","True","True","True","True","heading"
"Insurance Agreement","False","False","True","True","heading"
"General Definitions","False","False","True","True","heading"
"Section 1 - Personal Injury Insurance","False","False","True","True","heading"
"Section 2 – Coma","False","False","True","True","heading"
"Section 3 – Broken Bones","False","False","True","True","paragraph"
"Section 4 – Primary Dislocation","False","False","True","True","paragraph"
"Section 5 – Physiotherapy following Broken Bones","False","False","True","False","paragraph"
"General Exclusions","False","False","True","True","heading"
"General Conditions","False","False","True","True","heading"
"Complaints Procedures","False","False","True","True","heading"
"Claim Provisions","False","False","True","True","paragraph"
"Financial Services Compensation Scheme","False","False","True","True","paragraph"
"Data Protection","False","False","True","True","heading"
"I nsurance Agreement","True","True","True","False","paragraph"
"T he Insured and ACE European Group Limited (ACE)","False","False","False","False","paragraph"
"agree that:","False","False","True","False","paragraph"
"T he Insured will pay the Premium.","False","False","False","True","paragraph"
"A CE will subject to the terms, conditions and exclusions of","False","False","False","False","paragraph"
"this Policy, provide the Insurance in the manner and to the","False","False","True","False","paragraph"
"extent set out in this Policy. All information supplied to ACE","False","False","False","False","paragraph"
"by the Insured shall be incorporated into and be the basis","False","False","False","False","paragraph"
"of this Policy.","False","False","True","True","paragraph"
"T his Policy, the Policy Schedule(s) and endorsements, if","False","False","True","False","paragraph"
"any, shall be read together as one contract and any word or","False","False","True","False","paragraph"
"expression to which specific meaning has been attached","False","False","True","False","paragraph"
"shall unless the context otherwise requires bear such","False","False","True","False","paragraph"
"meaning wherever it may appear.","False","False","True","False","paragraph"
"Chairman and CEO","False","False","True","True","paragraph"
"ACE European Group Limited","False","False","True","True","paragraph"
"General Definitions","True","True","True","True","heading"
"The following Definitions are applicable to the Policy as a","False","False","True","False","paragraph"
"whole:","False","False","True","False","paragraph"
"£ shall me United Kingdom pounds sterling; GBP where","False","False","False","False","paragraph"
"used in this policy shall also mean United Kingdom pounds","False","False","True","False","paragraph"
"sterling","False","False","True","False","paragraph"
"ACE Assistance shall mean the advice and services,","False","False","False","False","paragraph"
"including medical repatriation services organised by ACE.","False","False","True","False","paragraph"
"Accident/Accidental shall mean a sudden identifiable","False","False","False","False","paragraph"
"violent external event that happens by chance and which","False","False","True","False","paragraph"
"could not be expected; or unavoidable exposure to severe","False","False","True","False","paragraph"
"weather.","False","False","True","False","paragraph"
"Accident Medical Expenses shall mean expenses","False","False","False","False","paragraph"
"necessarily incurred by the Insured for immediate and","False","False","True","False","paragraph"
"urgent treatment due to the Insured having sustained","False","False","True","False","paragraph"
"Accidental Bodily Injury which results in a valid claim under","False","False","True","False","paragraph"
"benefits 1 to 4 as shown in Section 1 of the Schedule.","False","False","True","False","paragraph"
"Benefit Amount shall mean the maximum amount ACE can","False","False","False","False","paragraph"
"pay as shown in the Schedule of Benefits.","False","False","True","False","paragraph"
"Benefit Period shall mean the total period (but not","False","False","False","False","paragraph"
"necessarily consecutive period) as shown in the Schedule","False","False","True","False","paragraph"
"of Benefits for which Benefits are payable in respect of any","False","False","True","False","paragraph"
"one Claim.","False","False","True","True","paragraph"
"Bodily Injury shall mean injury which is caused solely by","False","False","False","False","paragraph"
"Accidental means and which independently of illness or any","False","False","True","False","paragraph"
"other cause, occurs within 24 months from the date of the","False","False","True","False","paragraph"
"Accident.","False","False","True","True","paragraph"
"Child/Children shall mean any person who is unmarried","False","False","False","False","paragraph"
"and under 18 years of age.","False","False","True","False","paragraph"
"Claim shall mean a single loss or series of losses Due To","False","False","False","False","paragraph"
"one cause.","False","False","True","False","paragraph"
"Coma shall mean a continuous unarousable state","False","False","False","False","paragraph"
"Confinement shall mean admission to a Hospital as an In-","False","False","False","False","paragraph"
"patient as a result of Bodily Injury or illness for a continuous","False","False","True","False","paragraph"
