"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"For help after an accident please call our 24hour","True","False","True","False","paragraph"
"claim line on 0330 024 1305 as soon as you can.","True","False","False","False","paragraph"
"AXA Car Insurance","True","False","True","True","heading"
"Your policy wording","True","False","True","False","heading"
"Welcome","True","False","True","True","heading"
"Thank you for choosing AXA car insurance.","True","False","True","False","paragraph"
"We are part of the AXA Group one of the world’s leading insurers and financial services providers so","True","False","True","False","paragraph"
"you’re in safe hands.","True","False","True","False","paragraph"
"Your policy wording","True","False","True","False","heading"
"T his booklet contains details of your cover. It should be read along with your schedule and certificate","True","False","True","False","paragraph"
"of motor insurance.","True","False","True","False","paragraph"
"AXA’s UK based claims team is ready to help. It’s reassuring to know you have expert support when you","True","False","True","False","paragraph"
"need it most.","True","False","True","False","paragraph"
"What’s more, if you’re contacted by anyone else regarding your claim, simply pass them on to us. We’re","True","False","True","False","paragraph"
"here to look after everything for you, with the minimum of fuss.","True","False","True","False","paragraph"
"! Remember to keep your details up to date","True","False","True","False","paragraph"
"So that you always have the cover you need, please make sure all your information is correct at all","True","False","True","False","paragraph"
"times. It’s easy to update your details in My AXA Account – your personal online account. You can log in","True","False","True","False","paragraph"
"any time using your email address and chosen password.","True","False","True","False","paragraph"
"Making a claim","True","False","True","False","heading"
"Call to claim","True","False","True","False","heading"
"Claims in the UK:","True","False","True","True","paragraph"
"Claims outside the UK:","True","False","True","False","paragraph"
"Windscreen claims:","True","False","True","False","paragraph"
"Lines open 24 hours a day 7 days a week.","False","False","True","False","paragraph"
"If your car can be repaired by one of our approved","True","False","True","False","paragraph"
"repairers they will supply you with a courtesy car","True","False","True","False","paragraph"
"while your car is off the road. All repairs carried","True","False","True","False","paragraph"
"out by our approved repairers are guaranteed","True","False","True","False","paragraph"
"throughout the time that you own your car.","True","False","True","False","paragraph"
"0330 024 1305","True","False","True","True","paragraph"
"0044 1732 376249","True","False","True","True","paragraph"
"0330 024 1306","True","False","True","True","paragraph"
"Car accident claims guide","True","False","True","False","heading"
"Go to www.axa.co.uk/insurance/personal/","True","False","False","False","paragraph"
"car/advice-news/accident-guide/","True","False","True","False","paragraph"
"for useful advice and information. It’s a","True","False","True","False","paragraph"
"good idea to print the guide and keep it in","True","False","True","False","paragraph"
"your car.","True","False","True","True","paragraph"
"2 of 32","False","False","True","True","paragraph"
"Contents","True","False","True","True","heading"
"Section","True","False","True","True","heading"
"Page no","True","False","True","True","paragraph"
"Your contract of insurance","True","False","True","False","heading"
"T his policy document gives details of your cover","False","False","False","False","paragraph"
"and it should be read along with your schedule and","False","False","False","False","paragraph"
"certificate of motor insurance. Please take time","False","False","False","False","paragraph"
"to read through all these documents that contain","False","False","True","False","paragraph"
"important information about the details you have given","False","False","False","False","paragraph"
"and check that the information is correct. If anything is","False","False","True","False","paragraph"
"wrong or needs to be changed please advise us via My","False","False","False","False","paragraph"
"AXA Account.","False","False","True","True","paragraph"
"You must also advise us of any changes to your","False","False","False","False","paragraph"
"information via My AXA Account during the policy","False","False","False","False","paragraph"
"period of insurance; details of the type of changes we","False","False","False","False","paragraph"
"need to know about are contained in General condition","False","False","True","False","paragraph"
"2 on page 27 of this policy","False","False","False","False","paragraph"
"If the information that you have given us is not true","False","False","False","False","paragraph"
"and complete to the best of your knowledge and belief","False","False","False","False","paragraph"
"your policy may not protect you in the event of a claim.","False","False","False","False","paragraph"
"You should also show your policy to anyone else who","False","False","False","False","paragraph"
"is covered under it and ensure that they are aware of","False","False","True","False","paragraph"
"its terms and conditions.","False","False","True","False","paragraph"
"You and we can choose the law which applies to this","False","False","False","False","paragraph"
"policy. Unless we and you agree otherwise, English","False","False","False","False","paragraph"
"law will apply to this policy.","False","False","False","False","paragraph"
"The parties to this contract are you and us. Nothing","False","False","False","False","paragraph"
"in this contract shall create any rights to third parties","False","False","True","False","paragraph"
"under the Contracts (Rights of Third Parties) Act 1999","False","False","True","False","paragraph"
"and no variation of this contract, nor any supplemental","False","False","True","False","paragraph"
"or ancillary agreement shall create any such rights","False","False","True","False","paragraph"
"unless expressly so stated. This does not affect any","False","False","True","False","paragraph"
"right or remedy of a third party which exists or is","False","False","True","False","paragraph"
"available apart from this Act.","False","False","True","False","paragraph"
"In return for your premium, we will provide the cover","False","False","False","False","paragraph"
"shown in your policy for accident, injury, loss or","False","False","False","False","paragraph"
"damage that happens within the territorial limits","False","False","False","False","paragraph"
"during the period of insurance.","False","False","False","False","paragraph"
"Amanda Blanc","False","False","True","True","paragraph"
"CEO, AXA UK & Ireland General Insurance","False","False","True","True","paragraph"
"Your cover","True","False","True","False","heading"
"Type of cover Sections that apply","True","False","True","False","paragraph"
"Comprehensive Sections A to H apply.","False","False","True","False","paragraph"
"Third party fire Sections B,C & H apply.","False","False","True","False","paragraph"
"and theft Section G applies in respect of","False","False","True","False","paragraph"
"Fire and Theft only.","False","False","True","False","paragraph"
"Optional services Sections I, J, K and L only","False","False","True","False","paragraph"
"apply if stated on your schedule","False","False","False","False","paragraph"
"Please read all the exclusions and conditions that","False","False","True","False","paragraph"
