"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Deep Neural Networks for Object Detection","True","False","True","True","heading"
"Christian Szegedy Alexander Toshev Dumitru Erhan","False","False","True","True","heading"
"Google, Inc.","False","False","True","True","paragraph"
"{szegedy, toshev, dumitru}@google.com","False","False","True","False","paragraph"
"Abstract","True","False","True","True","heading"
"Deep Neural Networks (DNNs) have recently shown outstanding performance on","False","False","True","False","paragraph"
"image classiﬁcation tasks [14]. In this paper we go one step further and address","False","False","True","False","paragraph"
"the problem of object detection using DNNs, that is not only classifying but also","False","False","True","False","paragraph"
"precisely localizing objects of various classes. We present a simple and yet pow-","False","False","True","False","paragraph"
"erful formulation of object detection as a regression problem to object bounding","False","False","True","False","paragraph"
"box masks. We deﬁne a multi-scale inference procedure which is able to pro-","False","False","True","False","paragraph"
"duce high-resolution object detections at a low cost by a few network applications.","False","False","True","False","paragraph"
"State-of-the-art performance of the approach is shown on Pascal VOC.","False","False","True","False","paragraph"
"1 Introduction","True","False","True","True","heading"
"As we move towards more complete image understanding, having more precise and detailed object","False","False","True","False","paragraph"
"recognition becomes crucial. In this context, one cares not only about classifying images, but also","False","False","True","False","paragraph"
"about precisely estimating estimating the class and location of objects contained within the images,","False","False","True","False","paragraph"
"a problem known as object detection.","False","False","True","False","paragraph"
"The main advances in object detection were achieved thanks to improvements in object representa-","False","False","True","False","paragraph"
"tions and machine learning models. A prominent example of a state-of-the-art detection system is","False","False","True","False","paragraph"
"the Deformable Part-based Model (DPM) [9]. It builds on carefully designed representations and","False","False","True","False","paragraph"
"kinematically inspired part decompositions of objects, expressed as a graphical model. Using dis-","False","False","True","False","paragraph"
"criminative learning of graphical models allows for building high-precision part-based models for","False","False","True","False","paragraph"
"variety of object classes.","False","False","True","False","paragraph"
"Manually engineered representations in conjunction with shallow discriminatively trained models","False","False","True","False","paragraph"
"have been among the best performing paradigms for the related problem of object classiﬁcation","False","False","True","False","paragraph"
"as well [17]. In the last years, however, Deep Neural Networks (DNNs) [12] have emerged as a","False","False","True","False","paragraph"
"powerful machine learning model.","False","False","True","False","paragraph"
"DNNs exhibit major differences from traditional approaches for classiﬁcation. First, they are deep","False","False","True","False","paragraph"
"architectures which have the capacity to learn more complex models than shallow ones [2]. This","False","False","True","False","paragraph"
"expressivity and robust training algorithms allow for learning powerful object representations with-","False","False","True","False","paragraph"
"out the need to hand design features. This has been empirically demonstrated on the challenging","False","False","True","False","paragraph"
"ImageNet classiﬁcation task [5] across thousands of classes [14, 15].","False","False","True","False","paragraph"
"In this paper, we exploit the power of DNNs for the problem of object detection, where we not only","False","False","True","False","paragraph"
"classify but also try to precisely localize objects. The problem we are address here is challenging,","False","False","False","False","paragraph"
"since we want to detect a potentially large number object instances with varying sizes in the same","False","False","False","False","paragraph"
"image using a limited amount of computing resources.","False","False","False","False","paragraph"
"We present a formulation which is capable of predicting the bounding boxes of multiple objects in","False","False","True","False","paragraph"
"a given image. More precisely, we formulate a DNN-based regression which outputs a binary mask","False","False","True","False","paragraph"
"of the object bounding box (and portions of the box as well), as shown in Fig. 1. Additionally,","False","False","True","False","paragraph"
"we employ a simple bounding box inference to extract detections from the masks. To increase","False","False","True","False","paragraph"
"localization precision, we apply the DNN mask generation in a multi-scale fashion on the full image","False","False","True","False","paragraph"
"as well as on a small number of large image crops, followed by a reﬁnement step (see Fig. 2).","False","False","True","False","paragraph"
"1","False","False","True","True","paragraph"
