"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"FOR PUBLICATION","False","True","True","True","heading"
"UNITED STATES COURT OF APPEALS","True","True","True","True","heading"
"FOR THE NINTH CIRCUIT","True","True","True","True","heading"
"HIQ LABS, INC.,","False","False","False","True","paragraph"
"Plaintiff-Appellee,","False","False","True","True","paragraph"
"v.","False","False","True","True","paragraph"
"L INKEDIN CORPORATION,","False","False","False","True","paragraph"
"Defendant-Appellant.","False","False","True","True","paragraph"
"No. 17-16783","False","False","True","True","paragraph"
"D.C. No.","False","False","True","True","paragraph"
"3:17-cv-03301-EMC","False","False","True","True","paragraph"
"OPINION","False","False","True","True","heading"
"Appeal from the United States District Court","False","False","True","True","paragraph"
"for the Northern District of California","False","False","True","True","paragraph"
"Edward M. Chen, District Judge, Presiding","False","False","True","True","paragraph"
"Argued and Submitted March 15, 2018","False","False","True","True","paragraph"
"San Francisco, California","False","False","True","True","paragraph"
"Filed September 9, 2019","False","False","True","True","paragraph"
"Before: J. Clifford Wallace and Marsha S. Berzon, Circuit","False","False","True","True","paragraph"
"Judges, and Terrence Berg,* District Judge.","False","False","True","True","paragraph"
"Opinion by Judge Berzon;","False","False","True","True","paragraph"
"Concurrence by Judge Wallace","False","False","True","True","paragraph"
"* The Honorable Terrence Berg, United States District Judge for the","False","False","False","True","paragraph"
"Eastern District of Michigan, sitting by designation.","False","False","True","False","paragraph"
"2 HIQ LABS V. LINKEDIN","False","False","False","True","paragraph"
"SUMMARY**","False","True","True","True","heading"
"Preliminary Injunction / Computer Fraud and","False","True","True","True","heading"
"Abuse Act","False","True","True","True","heading"
"The panel affirmed the district court’s preliminary","False","False","True","False","paragraph"
"injunction forbidding the professional networking website","False","False","True","False","paragraph"
"LinkedIn Corp. from denying plaintiff hiQ, a data analytics","False","False","True","False","paragraph"
"company, access","False","False","True","False","paragraph"
"profiles.","False","False","True","False","paragraph"
"to publicly available LinkedIn member","False","False","True","False","paragraph"
"Using automated bots, hiQ scrapes information that","False","False","True","False","paragraph"
"LinkedIn users have included on public LinkedIn profiles.","False","False","True","False","paragraph"
"LinkedIn sent hiQ a cause-and-desist letter, demanding that","False","False","True","False","paragraph"
"hiQ stop accessing and copying data from LinkedIn’s server.","False","False","True","False","paragraph"
"HiQ filed suit, seeking injunctive relief based on California","False","False","True","False","paragraph"
"law and a declaratory judgment","False","False","True","False","paragraph"
"lawfully invoke the Computer","False","False","True","False","paragraph"
"that LinkedIn could not","False","False","True","False","paragraph"
"Fraud and Abuse Act","False","False","True","True","heading"
"(“CFAA”), the","False","False","True","False","paragraph"
"California Penal","False","False","True","True","paragraph"
"Digital Millennium","False","False","True","True","paragraph"
"Code § 502(c), or the","False","False","True","True","paragraph"
"trespass against it.","False","False","True","False","paragraph"
"Copyright Act,","False","False","True","True","paragraph"
"common law of","False","False","True","False","paragraph"
"Affirming the district court’s grant of the preliminary","False","False","True","False","paragraph"
"injunction in favor of hiQ,","False","False","True","False","paragraph"
"established a likelihood of","False","False","True","False","paragraph"
"the panel concluded that hiQ","False","False","True","False","paragraph"
"irreparable harm because the","False","False","True","False","paragraph"
"survival of its business was threatened. The panel held that","False","False","True","False","paragraph"
"the district court did not abuse its discretion in balancing the","False","False","True","False","paragraph"
"equities and concluding that, even if some LinkedIn users","False","False","True","False","paragraph"
"retain some privacy interests in their information","False","False","True","False","paragraph"
"notwithstanding their decision to make their profiles public,","False","False","True","False","paragraph"
"** This summary constitutes no part of the opinion of the court. It","False","False","False","False","paragraph"
"has been prepared by court staff for the convenience of the reader.","False","False","True","False","paragraph"
"HIQ LABS V. LINKEDIN 3","False","False","False","True","paragraph"
"t hose interests did not outweigh hiQ’s interest in continuing","False","False","True","False","paragraph"
"its business. Thus, the balance of hardships tipped decidedly","False","False","True","False","paragraph"
"in favor of hiQ.","False","False","True","False","paragraph"
"The panel further held that hiQ raised serious questions","False","False","True","False","paragraph"
"going to (1) the merits of its claim for tortious interference","False","False","True","False","paragraph"
"with contract, alleging that LinkedIn intentionally interfered","False","False","True","False","paragraph"
"with its contracts with third parties, and (2) the merits of","False","False","True","False","paragraph"
"LinkedIn’s legitimate business purpose defense. HiQ also","False","False","True","False","paragraph"
"raised a serious question as to whether its state law causes of","False","False","True","False","paragraph"
"action were preempted by the CFAA, which prohibits","False","False","True","False","paragraph"
"intentionally accessing a computer without authorization, or","False","False","True","False","paragraph"
"exceeding authorized access, and thereby obtaining","False","False","True","False","paragraph"
"information from any protected computer. LinkedIn argued","False","False","True","False","paragraph"
"that, once hiQ received its cause-and-desist letter, any","False","False","True","False","paragraph"
"further scraping and use of LinkedIn’s data was without","False","False","True","False","paragraph"
"authorization within the meaning of the CFAA. The panel","False","False","True","False","paragraph"
"concluded that hiQ had","False","False","True","False","paragraph"
"whether the CFAA’s","False","False","True","False","paragraph"
"raised a serious question as to","False","False","True","False","paragraph"
"reference to access “without","False","False","True","False","paragraph"
"authorization” limits the scope of statutory coverage to","False","False","True","False","paragraph"
"computer information for which authorization or access","False","False","True","False","paragraph"
"permission, such","False","False","True","False","paragraph"
"required.","False","False","True","False","paragraph"
"as password authentication, is generally","False","False","True","False","paragraph"
"Finally, the panel held that the district court’s conclusion","False","False","True","False","paragraph"
"that the public interest favored","False","False","True","False","paragraph"
"injunction was appropriate.","False","False","True","False","paragraph"
"granting the preliminary","False","False","True","False","paragraph"
"Specially concurring, Judge Wallace wrote that he","False","False","True","False","paragraph"
"concurred in the majority opinion. He wrote separately to","False","False","True","False","paragraph"
"express his concern about appealing from a preliminary","False","False","True","False","paragraph"
"injunction to obtain an appellate court’s view of the merits.","False","False","True","False","paragraph"
"4 HIQ LABS V. LINKEDIN","False","False","False","True","paragraph"
"COUNSEL","False","True","True","True","heading"
"D onald B. Verrilli Jr. (argued) and Chad I. Golder, Munger","False","False","True","False","paragraph"
"Tolles & Olson LLP, Washington, D.C.; Jonathan H. Blavin,","False","False","True","False","paragraph"
"Rosemarie T. Ring, Nicholas D. Fram, and Elia Herrera,","False","False","True","True","paragraph"
"Munger Tolles & Olson LLP, San Francisco, California; E.","False","False","True","True","paragraph"
"Joshua Rosenkranz, Orrick Herrington & Sutcliffe LLP,","False","False","True","True","paragraph"
"New York, New York; Eric A. Shumsky, Orrick Herrington","False","False","True","True","paragraph"
"& Sutcliffe LLP, Washington, D.C.; Brian P. Goldman,","False","False","True","False","paragraph"
"Orrick Herrington & Sutcliffe LLP,","False","False","True","True","paragraph"
"California; for Defendant-Appellant.","False","False","True","True","paragraph"
"San Francisco,","False","False","True","True","paragraph"
"C . Brandon Wisoff (argued), Deepak Gupta, Jeffrey G. Lau,","False","False","True","False","paragraph"
"and Rebecca H. Stephens, Farella Braun & Martel LLP, San","False","False","True","True","paragraph"
"Francisco, California; Aaron M. Panner, Gregory G.","False","False","True","True","paragraph"
"Rapawy, and T. Dietrich Hill, Kellogg Hansen Todd Figel &","False","False","True","True","paragraph"
"Frederick PLLC, Washington, D.C.; Laurence H. Tribe,","False","False","True","False","paragraph"
"Cambridge, Massachusetts; for Plaintiff-Appellee.","False","False","True","True","paragraph"
"N icholas J. Boyle, John S. Williams, and Eric J. Hamilton,","False","False","True","False","paragraph"
"Williams & Connolly LLP, Washington, D.C., for Amicus","False","False","True","False","paragraph"
"Curiae CoStar Group Inc.","False","False","True","True","paragraph"
"P erry J. Viscounty, Latham & Watkins LLP, San Francisco,","False","False","True","True","paragraph"
"California; Gregory G. Garre, Latham & Watkins LLP,","False","False","True","True","paragraph"
"Washington, D.C.; for Amicus Curiae Craigslist Inc.","False","False","True","False","paragraph"
"M arc Rotenberg and Alan Butler, Electronic Privacy","False","False","True","True","paragraph"
"Information Center, Washington, D.C., for Amicus Curiae","False","False","True","False","paragraph"
"Electronic Privacy Information Center.","False","False","True","True","paragraph"
"T homas V. Christopher, Law Offices of Thomas V.","False","False","True","False","paragraph"
"Christopher, San Francisco, California, for Amicus Curiae","False","False","True","True","paragraph"
"3taps Inc.","False","False","True","True","paragraph"
"J amie Williams,","False","False","True","True","paragraph"
"HIQ LABS V. LINKEDIN 5","False","False","False","True","paragraph"
"Corynne McSherry, Cindy Cohn, and","False","False","True","True","paragraph"
"Nathan Cardozo, Electronic Frontier Foundation, San","False","False","True","True","paragraph"
"Francisco, California, for Amici Curiae Electronic Frontier","False","False","True","True","paragraph"
"Foundation, DuckDuckGo, and Internet Archive.","False","False","True","True","paragraph"
"K enneth L. Wilton and James M. Harris, Seyfarth Shaw","False","False","True","False","paragraph"
"LLP, Los Angeles, California; Carrie P. Price, Seyfarth","False","False","True","True","paragraph"
"Shaw LLP, San Francisco, California; for Amicus Curiae","False","False","True","True","paragraph"
"Scraping Hub Ltd.","False","False","True","True","paragraph"
"OPINION","False","True","True","True","heading"
"BERZON, Circuit Judge:","False","False","True","True","paragraph"
"May LinkedIn, the professional networking website,","False","False","True","False","paragraph"
"prevent a competitor, hiQ, from collecting and using","False","False","True","False","paragraph"
"information that LinkedIn users have shared on their public","False","False","True","False","paragraph"
"profiles, available","False","False","True","False","paragraph"
"browser? HiQ, a","False","False","True","False","paragraph"
"for viewing by anyone with a web","False","False","True","False","paragraph"
"data analytics company, obtained a","False","False","True","False","paragraph"
"preliminary injunction forbidding LinkedIn from denying","False","False","True","False","paragraph"
"hiQ access to publicly available LinkedIn member profiles.","False","False","True","False","paragraph"
"At this preliminary injunction stage, we do not resolve the","False","False","True","False","paragraph"
"companies’ legal dispute definitively, nor do we address all","False","False","True","False","paragraph"
"the claims and defenses they have pleaded in the district","False","False","True","False","paragraph"
"court. Instead, we focus on whether hiQ has raised serious","False","False","True","False","paragraph"
"questions on the merits of the factual and legal issues","False","False","True","False","paragraph"
"presented to us, as","False","False","True","False","paragraph"
"preliminary relief.","False","False","True","False","paragraph"
"well as on the","False","False","True","True","paragraph"
"I.","False","True","True","True","heading"
"other requisites for","False","False","True","False","paragraph"
"Founded in 2002, LinkedIn is a professional networking","False","False","True","False","paragraph"
"website with over 500 million members. Members post","False","False","True","False","paragraph"
"resumes and job listings and","False","False","True","False","paragraph"
"“connections” with other members.","False","False","True","False","paragraph"
"build professional","False","False","True","False","paragraph"
"LinkedIn specifically","False","False","True","False","paragraph"
"6 HIQ LABS V. LINKEDIN","False","False","False","True","paragraph"
"d isclaims ownership of the information users post to their","False","False","True","False","paragraph"
"personal profiles: according to LinkedIn’s User Agreement,","False","False","True","False","paragraph"
"members own the content and information they submit or","False","False","True","False","paragraph"
"post to LinkedIn and grant LinkedIn only a non-exclusive","False","False","True","False","paragraph"
"license to “use, copy, modify,","False","False","True","False","paragraph"
"process” that information.","False","False","True","False","paragraph"
"distribute, publish, and","False","False","True","False","paragraph"
"LinkedIn allows its members to choose among various","False","False","True","False","paragraph"
"privacy settings. Members can specify which portions of","False","False","True","False","paragraph"
"their profile are visible to the general public (that is, to both","False","False","True","False","paragraph"
"LinkedIn members and nonmembers), and which portions","False","False","True","False","paragraph"
"are visible only to direct connections, to the member’s","False","False","True","False","paragraph"
"“network” (consisting of LinkedIn members within three","False","False","True","False","paragraph"
