"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Business Travel Assistance","True","True","True","True","heading"
"24/7 emergency","True","True","True","False","heading"
"support","True","True","True","False","heading"
"+33 (0)1 55","True","True","True","True","heading"
"during travel","True","True","True","False","heading"
"92 21 89","True","True","True","True","heading"
"Membership n° 080.1381","True","False","False","True","paragraph"
"to communicate when you call","True","False","True","False","paragraph"
"Employee Coverage Benefits","True","True","True","True","heading"
"Services by AXA Assistance","False","False","True","True","paragraph"
"24/7 medical, security or safety assistance ■","False","False","False","False","paragraph"
"Medical expenses, with or without hospitalization ■","False","False","False","False","paragraph"
"Travel incident: delays, deterioration or loss of luggage, theft, etc. ■","False","False","False","False","paragraph"
"Personal liability abroad ■","False","False","False","False","paragraph"
"For more information on Travel Security, please contact:","False","False","True","False","paragraph"
"physical.security@axa.com","False","True","True","False","paragraph"
