"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Declaración de la Coalición de Ciudades por los Derechos Digitales","True","True","True","True","heading"
"N osotras, las ciudades signatarias, nos unimos formalmente para conformar la Coalición de","False","False","False","False","paragraph"
"Ciudades por los Derechos Digitales, a fin de proteger y defender los derechos humanos en internet","False","False","False","False","paragraph"
"a nivel local y global.","False","False","True","False","paragraph"
"I nternet es ya inseparable de nuestra vida cotidiana. Sin embargo, cada día se producen nuevos casos","False","False","False","False","paragraph"
"de abusos, uso indebido o desinformación de derechos digitales, y de concentración de poder en todo","False","False","True","False","paragraph"
"el mundo: se censura la libertad de expresión; se vigila, se comparte y se vende la información","False","False","False","False","paragraph"
"personal, incluyendo nuestros movimientos y comunicaciones, sin nuestro consentimiento; se usan","False","False","True","False","paragraph"
"algoritmos de “caja negra” para tomar decisiones de las que no se rinden cuentas; las redes sociales se","False","False","True","False","paragraph"
"utilizan como herramienta de acoso y discurso de odio, y se subvierten los procesos democráticos y","False","False","False","False","paragraph"
"la opinión pública.","False","False","True","False","paragraph"
"C omo ciudades, las instituciones democráticas más próximas a las personas, estamos comprometidas","False","False","True","False","paragraph"
"a eliminar los impedimentos para aprovechar las oportunidades tecnológicas que mejoran las vidas de","False","False","True","False","paragraph"
"nuestras habitantes, y a proporcionar infraestructuras y servicios digitales seguros y fiables que","False","False","True","False","paragraph"
"ayuden a nuestras comunidades. Creemos firmemente que los principios de los derechos humanos","False","False","False","False","paragraph"
"como la privacidad, la libertad de expresión y la democracia se tienen que incorporar","False","False","False","False","paragraph"
"intencionadamente en las plataformas digitales, empezando por los servicios y las infraestructuras","False","False","True","False","paragraph"
"digitales bajo control municipal.","False","False","True","False","paragraph"
"C omo coalición, y con el apoyo del Programa de las Naciones Unidas para los Asentamientos","False","False","True","False","paragraph"
"Humanos (UN-Habitat), vamos a compartir las mejores prácticas, aprender de los retos y los éxitos de","False","False","False","False","paragraph"
"cada una y coordinar iniciativas y acciones comunes. Inspiradas por la Coalición por los Derechos y","False","False","True","False","paragraph"
"Principios en Internet (IRPC), el trabajo de 300 depositarios internacionales a lo largo de los últimos","False","False","False","False","paragraph"
"diez años, estamos comprometidas con los cinco principios en evolución siguientes:","False","False","True","False","paragraph"
"1. Acceso universal e igualitario en la red y alfabetización digital","True","True","True","False","heading"
"Todas las personas deberían tener acceso a internet y a los servicios digitales de forma","False","False","True","False","paragraph"
"asequible y accesible en términos igualitarios, así como conocimientos digitales para usar este","False","False","True","False","paragraph"
"acceso y superar la brecha digital.","False","False","True","False","paragraph"
"2. Privacidad, protección de datos y seguridad","True","True","True","False","heading"
"Todas las personas deberían tener privacidad y control sobre su información personal","False","False","True","False","paragraph"
"mediante la protección de datos, tanto en lugares físicos como virtuales, para garantizar la","False","False","True","False","paragraph"
"confidencialidad, la seguridad, la dignidad y el anonimato digital, así como la soberanía de","False","False","True","False","paragraph"
"sus datos, incluyendo el derecho a saber qué ocurre con dichos datos, quién los usa y con qué","False","False","True","False","paragraph"
"finalidad.","False","False","True","False","paragraph"
"3. Transparencia, rendición de cuentas y no discriminación de datos,","True","True","True","False","heading"
"contenido y algoritmos","True","True","True","False","heading"
"Todas las personas deberían tener acceso a una información comprensible y precisa sobre los","False","False","True","False","paragraph"
"sistemas tecnológicos, algorítmicos y de inteligencia artificial que afectan a sus vidas, así","False","False","True","False","paragraph"
"como la capacidad de cuestionar y cambiar los sistemas injustos, parciales o discriminatorios.","False","False","True","False","paragraph"
"4. Democracia participativa, diversidad e inclusión","True","True","True","False","heading"
"Todas las personas deberían tener representación total en","False","False","True","False","paragraph"
"comprometerse colectivamente con la ciudad mediante","False","False","True","False","paragraph"
"internet y la posibilidad de","False","False","True","False","paragraph"
"procesos digitales abiertos,","False","False","True","False","paragraph"
"participativos y transparentes. Todas las personas deberían tener la oportunidad de participar","False","False","True","False","paragraph"
"en la formación de infraestructuras y servicios digitales locales y, de manera más general, en","False","False","True","False","paragraph"
"la elaboración de políticas municipales para el bien común.","False","False","True","False","paragraph"
"5. Estándares de servicio digital abiertos y éticos","True","True","True","False","heading"
"Todas las personas deberían poder usar las tecnologías de su elección y esperar el mismo","False","False","True","False","paragraph"
"nivel de interoperabilidad, inclusión y oportunidad en sus servicios digitales. Las ciudades","False","False","True","False","paragraph"
"deberían definir sus propios servicios, agenda e infraestructuras tecnológicos mediante datos y","False","False","True","False","paragraph"
"estándares de servicio digital abiertos y éticos para garantizar que cumplen este compromiso.","False","False","True","False","paragraph"
