"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Group Operations","True","True","True","True","heading"
"Information Security","True","True","True","True","heading"
"Best Practices","True","True","True","True","heading"
"When creating a document, classify","False","False","False","False","paragraph"
"it by selecting the right classification level *","False","False","True","False","paragraph"
"(Public, Internal, Confidential, Secret) and","False","False","False","False","paragraph"
"determine the list of recipients.","False","False","True","False","paragraph"
"When printing Internal or Confidential","False","False","False","False","paragraph"
"documents, stay beside the printer to avoid","False","False","True","False","paragraph"
"them being disclosed.","False","False","True","False","paragraph"
"S tore confidential documents in a closed locker","False","False","False","False","paragraph"
"or cupboard. Store secret data in","False","False","False","False","paragraph"
"a safe.","False","False","False","False","paragraph"
"Use a confidentiality screen filter when","False","False","False","False","paragraph"
"displaying restricted, or confidential information","False","False","True","False","paragraph"
"on a laptop outside of the office.","False","False","True","False","paragraph"
"Apply the clean desk policy and don’t leave","False","False","False","False","paragraph"
"“Internal, Confidential, Secret” documents","False","False","True","False","paragraph"
"unattended on the desk when you leave the","False","False","True","False","paragraph"
"office.","False","False","True","False","paragraph"
"Use shared drives carefully: Restrict access","False","False","False","False","paragraph"
"rights for specific user access and encrypt (with","False","False","False","False","paragraph"
"7zip or Winzip or O365) confidential or secret","False","False","False","False","paragraph"
"data. Save files in the appropriate folders.","False","False","True","False","paragraph"
"Don’t send confidential information via email in","False","False","True","False","paragraph"
"clear text, Encrypt (with 7zip or Winzip or O365) it","False","False","False","False","paragraph"
"in a document attached to the email. Don’t send","False","False","True","False","paragraph"
"an encrypted document and its password in the","False","False","True","False","paragraph"
"same e-mail.","False","False","True","False","paragraph"
"Don’t send professional AXA data to personal or","False","False","True","False","paragraph"
"mailboxes. Always check the list of recipients to","False","False","False","False","paragraph"
"ensure only authorized people may gain access","False","False","True","False","paragraph"
"to the information.","False","False","True","False","paragraph"
"Use the corporate AXA secure file transfer","False","False","False","False","paragraph"
"service: ONE DRIVE or SharePoint.","False","False","False","False","paragraph"
"Never use alternative information sharing","False","False","True","False","paragraph"
"services, not approved by Group Operations,","False","False","False","False","paragraph"
"such as dropbox, wetransfer, livebox…","False","False","True","False","paragraph"
"Do not expose any details of your job and","False","False","True","False","paragraph"
"missions at AXA on social media.","False","False","True","False","paragraph"
"Refrain from publishing classified non-public","False","False","True","False","paragraph"
"business information on the internet","False","False","True","False","paragraph"
"Always transfer suspicious emails to the security","False","False","True","False","paragraph"
"team. Avoid in opening files as attachments","False","False","True","False","paragraph"
"whose origin is not safe. Beware of phishing","False","False","True","False","paragraph"
"emails.","False","False","True","False","paragraph"
"Do NOT use non-corporate applications","False","False","False","False","paragraph"
"to store confidential or secret data on","False","False","True","False","paragraph"
"corporate mobile devices. Immediately notify","False","False","True","False","paragraph"
"your security department in case of device loss","False","False","False","False","paragraph"
"or theft.","False","True","True","False","paragraph"
"Always use shredders or secured","False","False","False","False","paragraph"
"containers to destroy internal,","False","False","False","False","paragraph"
"confidential or secret documents","False","False","True","False","paragraph"
"(paper, removable media, …).","False","False","True","False","paragraph"
"In case of doubt or suspicion","False","False","True","False","paragraph"
"of information loss, leakage or theft,","False","False","True","False","paragraph"
"immediately contact security team.","False","False","True","False","paragraph"
"Avoid putting sensitive information/data in","False","False","False","False","paragraph"
"email objects or file/folder names: To ensure","False","False","False","False","paragraph"
"only authorized people may gain access to the","False","False","True","False","paragraph"
"information.","False","False","True","False","paragraph"
"* Four classification levels available:","False","True","True","False","paragraph"
"Secret Any information the disclosure of which could","False","False","False","False","paragraph"
"seriously damage the essential interests of AXA","False","False","False","False","paragraph"
"Any information which may be communicated only","False","False","True","False","paragraph"
"to the persons directly concerned (and clearly","False","False","True","False","paragraph"
"Confidential defined) and the unwanted disclosure of which","False","False","False","False","paragraph"
"could significantly harm an AXA project, activity","False","False","False","False","paragraph"
"or entity","False","True","True","False","paragraph"
"Any information which may circulate only within","False","False","True","False","paragraph"
"Internal AXA and may be distributed only on a need-","False","False","False","False","paragraph"
"to-know basis","False","True","True","False","paragraph"
"Any information which may be usually publicly","False","False","True","False","paragraph"
"Public","False","True","True","True","paragraph"
"accessible and the disclosure of which does not","False","False","True","False","paragraph"
"harm the interests of AXA","False","False","True","False","paragraph"
"Cyber Defense/Global Security Services: ? go_cd_global_security_services@axa.com","True","False","False","False","heading"
"Internal","False","False","True","True","paragraph"
