"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"How To Critique A Journal Article","True","True","True","True","paragraph"
"Sponsored by The Center for Teaching and Learning at UIS","False","False","True","True","paragraph"
"So your assignment is to critique a journal article. This handout will give you a few guidelines to","False","False","True","False","paragraph"
"follow as you go. But wait, what kind of a journal article is it: an empirical/research article, or a","False","False","True","False","paragraph"
"review of literature? Some of the guidelines offered here will apply to critiques of all kinds of","False","False","True","False","paragraph"
"articles, but each type of article may provoke questions that are especially pertinent to that type","False","False","True","False","paragraph"
"and no other. Read on.","False","False","True","False","paragraph"
"F irst of all, for any type of journal article your critique should include some basic information:","False","False","True","False","paragraph"
"Name(s) of the author(s)","False","False","True","False","paragraph"
"Title of article","False","False","True","False","paragraph"
"Title of journal, volume number, date, month and page numbers","False","False","True","False","paragraph"
"Statement of the problem or issue discussed","False","False","True","False","paragraph"
"The author’s purpose, approach or methods, hypothesis, and major conclusions.","False","False","True","False","paragraph"
"T he bulk of your critique, however, should consist of your qualified opinion of the article.","False","False","True","False","paragraph"
"Read the article you are to critique once to get an overview. Then read it again, critically. At this","False","False","True","False","paragraph"
"point you may want to make some notes to yourself on your copy (not the library’s copy,","False","False","True","False","paragraph"
"please).","False","False","True","False","paragraph"
"T he following are some questions you may want to address in your critique no matter what type","False","False","True","False","paragraph"
"of article you are critiquing. (Use your discretion. These points don’t have to be discussed in this","False","False","True","False","paragraph"
"order, and some may not be pertinent to your particular article.)","False","False","True","False","paragraph"
"Is the title of the article appropriate and clear?","False","False","True","False","paragraph"
"Is the abstract specific, representative of the article, and in the correct form?","False","False","True","False","paragraph"
"Is the purpose of the article made clear in the introduction?","False","False","True","False","paragraph"
"Do you find errors of fact and interpretation? (This is a good one! You won’t believe how","False","False","True","False","paragraph"
"often authors misinterpret or misrepresent the work of others. You can check on this by looking","False","False","True","False","paragraph"
"up for yourself the references the author cites.)","False","False","True","False","paragraph"
"Is all of the discussion relevant?","False","False","True","False","paragraph"
"Has the author cited the pertinent, and only the pertinent, literature? If the author has included","False","False","True","False","paragraph"
"inconsequential references, or references that are not pertinent, suggest deleting them.","False","False","True","False","paragraph"
"Have any ideas been overemphasized or underemphasized? Suggest specific revisions.","False","False","True","False","paragraph"
"Should some sections of the manuscript be expanded, condensed or omitted?","False","False","True","False","paragraph"
"Are the author’s statements clear? Challenge ambiguous statements. Suggest by examples how","False","False","True","False","paragraph"
"clarity can be achieved, but do not merely substitute your style for the author’s.","False","False","True","False","paragraph"
"What underlying assumptions does the author have?","False","False","True","False","paragraph"
"Has the author been objective in his or her discussion of the topic?","False","False","True","False","paragraph"
"I n addition, here are some questions that are more specific to empirical/research articles. (Again,","False","False","True","False","paragraph"
"use your discretion.)","False","False","True","False","paragraph"
"Is the objective of the experiment or of the observations important for the field?","False","False","True","False","paragraph"
"Are the experimental methods described adequately?","False","False","True","False","paragraph"
"Are the study design and methods appropriate for the purposes of the study?","False","False","True","False","paragraph"
"Have the procedures been presented in enough detail to enable a reader to duplicate them?","False","False","True","False","paragraph"
"(Another good one! You’d be surprised at the respectable researchers who cut corners in their","False","False","True","False","paragraph"
"writing on this point.)","False","False","True","False","paragraph"
"Last Edited 4/9/2009","False","False","True","True","paragraph"
"Page 1 of 2","False","False","False","True","paragraph"
"How To Critique A Journal Article","True","True","True","True","paragraph"
"Sponsored by The Center for Teaching and Learning at UIS","False","False","True","True","paragraph"
"Scan and spot-check calculations. Are the statistical methods appropriate?","False","False","True","False","paragraph"
"Do you find any content repeated or duplicated? A common fault is repetition in the text of","False","False","True","False","paragraph"
"data in tables or figures. Suggest that tabular data be interpreted of summarized, nor merely","False","False","True","False","paragraph"
"repeated, in the text.","False","False","True","False","paragraph"
"A word about your style: let your presentation be well reasoned and objective. If you","False","False","False","False","paragraph"
"passionately disagree (or agree) with the author, let your passion inspire you to new heights of","False","False","True","False","paragraph"
"thorough research and reasoned argument.","False","False","True","False","paragraph"
"Last Edited 4/9/2009","False","False","True","True","paragraph"
"Page 2 of 2","False","False","False","True","paragraph"
