"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"USER MANUAL RA00303 Version: 17.12.10","True","False","False","True","paragraph"
"© LRP electronic GmbH 2010","False","False","True","False","paragraph"
"LRP electronic GmbH","True","False","True","False","paragraph"
"Wilhelm-Enssle-Str. 132-134","True","False","True","True","paragraph"
"73630 Remshalden, Germany","True","False","True","True","paragraph"
"info@LRP.cc - www.LRP.cc","True","False","True","False","paragraph"
"#80915","True","True","True","True","heading"
"Stock Brushless Competition","True","False","True","True","paragraph"
"Dual ADPCMAX.2 Proﬁles","True","False","False","True","paragraph"
"TwinBEC 6.0V/3.0A","True","False","True","True","paragraph"
"USB Software Updateability","True","False","True","True","heading"
"Speciﬁcations","True","True","True","True","heading"
"* Transistors rating at 25°C junction temperature Specifications subject to change without notice.","False","False","True","False","paragraph"
"Connections & Explanations","True","True","True","True","heading"
"(Orange) (Yellow) (Red) (Black) (Blue)","False","False","True","False","paragraph"
"MOT.C +","False","False","False","True","paragraph"
"MOT.B MOT.A -","False","False","False","True","paragraph"
"BAT BAT Power Capacitor","False","False","False","True","paragraph"
"Sensor Connector","False","False","True","True","paragraph"
"(underneath solder tabs)","False","False","True","False","paragraph"
"Switch Receiverwire -","False","False","False","True","paragraph"
"On/Off","False","False","True","True","paragraph"
"Receiver Connecting Wire: The SXX-SS V2 is equipped with","False","False","False","False","paragraph"
"an LRP Multicon receiver wire. As supplied, it will easily fit in","False","False","True","False","paragraph"
"all ordinary receivers. Make sure you connect it to receiver","False","False","True","False","paragraph"
"with correct polarity and use channel 2.","False","False","True","False","paragraph"
"Sensor Connector: The bi-directional multipole sensor wire","False","False","False","False","paragraph"
"connects the speed-control and the motor. Always use the","False","False","True","False","paragraph"
"sensor wire and do not alter or modify this cable! There are","False","False","True","False","paragraph"
"replaceable/optional hall sensor wires available.","False","False","True","False","paragraph"
"Through this sensor connector, the SXX-SS V2 can also be","False","False","False","False","paragraph"
"updated with the latest software updates using the optional","False","False","True","False","paragraph"
"„USB Bridge #81800“. Please refer to chapter „USB Soft-","False","False","True","False","paragraph"
"ware Updateability“ for details","False","False","True","False","paragraph"
"Power Wires: For maximum performance, flexible silicone","False","False","False","False","paragraph"
"power wires without any connectors are used. The unique","False","False","True","False","paragraph"
"splitted solder-tabs allow easy and convenient replacement","False","False","True","False","paragraph"
"of the power wires. Nevertheless some soldering skills are","False","False","True","False","paragraph"
"required. Avoid soldering longer then 5sec per joint to avo-","False","False","True","False","paragraph"
"id possible damage due to overheating of the components!","False","False","True","False","paragraph"
"There are replacement power wires available, please refer to","False","False","True","False","paragraph"
"complete line-up at www.LRP.cc.","False","False","True","False","paragraph"
"Heatsink: To achieve best perfomance even under extreme","False","False","False","False","paragraph"
"conditions, the heatsink has been directly mounted to the","False","False","True","False","paragraph"
"speed-control. This ensures the best possible heat transfer","False","False","True","False","paragraph"
"away from the speed-control.","False","False","True","False","paragraph"
"Caution: Never attempt to remove the heatsink or your SXX-","False","False","False","False","paragraph"
"SS V2 may get damaged! The heatsink is an integral part,","False","False","False","False","paragraph"
"glued to the fet‘s and therefore cannot be removed.","False","False","True","False","paragraph"
"Optional plugged fan: for stock racing a fan is not required as the speed-control doesn‘t become very warm, but","False","False","False","False","paragraph"
"if you wish to add the optional fan (#82512) it can be mounted on top of the heatsink and then it get‘s plugged into","False","False","True","False","paragraph"
"the 3-pin connector on the front.","False","False","True","False","paragraph"
"Installation Guide","True","True","True","True","heading"
"Position the speed-control and capacitor where they are protected in the event of a crash and gives you easy","False","False","True","False","paragraph"
"access to the connectors and buttons.","False","False","True","False","paragraph"
"Mount the speedo and capacitor using the supplied thick/black doubled-sided tape","False","False","True","False","paragraph"
"Make sure there is enough clearance between the speed-control, power-wires, antenna and receiver. Avoid","False","False","True","False","paragraph"
"any direct contact between power components, the receiver or the antenna as this can cause interference. If","False","False","True","False","paragraph"
"interference occurs, position the components at a different place in the model.","False","False","True","False","paragraph"
"The aerial should be run vertically up and away from the receiver. Avoid contact with any parts made of carbon","False","False","True","False","paragraph"
"fibre or metal. If the aerial is too long, don’t coil up the excess length. See also the instructions supplied with","False","False","True","False","paragraph"
"your radio control system.","False","False","True","False","paragraph"
"The SXX-SS V2 comes supplied with flexible 3.3mm² silicone power-wires without connectors. Be very careful","False","False","False","False","paragraph"
"with the correct wire sequence/colors since an incorrect connection may damage the speed-control! Avoid crea-","False","False","True","False","paragraph"
"ting solder bridges on the solder-tabs and isolate all connections carefully.","False","False","True","False","paragraph"
"Connect the speed-control to the receiver (position: Channel 2","False","False","True","False","paragraph"
"Blue power-wire ? Speedo MOT.A to motor „A“","False","False","False","False","paragraph"
"Yellow power-wire ? Speedo MOT.B to motor „B“","False","False","False","False","paragraph"
"Orange power-wire ? Speedo MOT.C to motor „C“","False","False","False","False","paragraph"
"Connect the hall sensor cable to the speed-control (underneath the solder-tabs) and the motor.","False","False","True","False","paragraph"
"yellow orange Wire","False","False","False","False","paragraph"
"blue","False","False","True","True","paragraph"
"Sensor","False","False","True","True","paragraph"
"C + B - A","True","True","False","True","paragraph"
"Hall","False","False","True","True","paragraph"
"C","True","True","True","True","heading"
"B","True","True","True","True","heading"
"A","True","True","True","True","heading"
"Doublecheck all connections before connecting the speed-control to a battery.","False","False","True","False","paragraph"
"Caution: If battery is connected with reversed polarity it will destroy your speed-control!","False","False","False","False","paragraph"
"Red power-wire ? Speedo BAT+ to battery „Plus“","False","False","False","False","paragraph"
"Black power-wire ? Speedo BAT- to battery „Minus“","False","False","False","False","paragraph"
"The speed-control is now ready to be set-up.","False","False","True","False","paragraph"
"USB Software Updateability","True","True","True","True","heading"
"Through the sensor connector the SXX-SS V2 can be updated to the latest firmware available for download at","False","False","False","False","paragraph"
"www.LRP.cc.","False","False","True","False","paragraph"
"The optional „USB Bridge - Speedo Firmware Update + PC-Link“ (#81800) and a PC are required to do so, please","False","False","True","False","paragraph"
"refer to LRP website and the manual which comes with the interface for exact details how to do software updates","False","False","True","False","paragraph"
"to your speed-control.","False","False","True","False","paragraph"
"The same USB-Bridge can be used to update all the latest LRP speed-controls (80905, 80955, 80880, etc). Please","False","False","True","False","paragraph"
"check guide at ww.LRP.cc for further details.","False","False","True","False","paragraph"
"Thank you for your trust in this LRP product. By purchasing a LRP SXX StockSpec Version 2 (hereinafter refered to","False","False","False","False","paragraph"
"as SXX-SS V2) brushless speed-control, you have chosen one of the most advanced and successful speed-controls","False","False","False","False","paragraph"
"of today. This speed-control with all of its high-tech features and specially selected electronic components is one","False","False","True","False","paragraph"
"of the best speed-controls currently available on the market. Multiple National Champion 2009/2010!","False","False","True","False","paragraph"
"Pure Brushless Competition","False","False","True","True","paragraph"
"NEW!!! Dual ADPCmax:“ Profiles","False","False","False","True","paragraph"
"Twin BEC for 1S to 2S LiPo without receiver pack","False","False","True","False","paragraph"
"C³ (Copper Core Cooling) Technology","False","False","True","False","paragraph"
"Multi-Protection System 3","False","False","True","True","paragraph"
"USB Software Updateability","False","False","True","True","heading"
"„Boost 0“ Mode with disabled timing function","False","False","True","False","paragraph"
"AutoCell System 2","False","False","True","True","paragraph"
"Internal-Temp-Check System 3","False","False","True","True","paragraph"
"Small footprint","False","False","True","False","paragraph"
"Please read the following instructions carefully before you start using your speed control. This user guide contains","False","False","True","False","paragraph"
"important notes for the safety, the use and the maintenance of this product. Thus protecting yourself and avoid damages","False","False","True","False","paragraph"
"of the product.","False","False","True","False","paragraph"
"Proceed according to the user guide in order to understand your speed control better. Please take your time as you will","False","False","True","False","paragraph"
"have much more joy with your product if you know it exactly.","False","False","True","False","paragraph"
"This user manual shall be kept in a safe place. If another customer is using this product, this manual has to be handed","False","False","True","False","paragraph"
"out together with it.","False","False","True","False","paragraph"
"Calibrate Speed-Control to Radio","True","True","True","True","heading"
"In setup mode the speed-control stores every step (e.g. learning your radios neutral and endpoints) by pressing the","False","False","True","False","paragraph"
"SET button. All the settings will be stored in the memory even if it will be disconnected from the battery.","False","False","True","False","paragraph"
"TRANSMITTER SETTINGS: Setup the following basic functions on your transmitter (if available):","False","False","False","False","paragraph"
"Throttle Travel High ATV, EPA 100%","False","False","True","True","paragraph"
"Brake Travel Low ATV, EPA, ATL 100%","False","False","True","True","paragraph"
"Throttle Exponential EXP, EXPO start with 0","False","False","True","False","paragraph"
"Neutral Trim SUB Trim centre","False","False","True","False","paragraph"
"Servo Reverse Throttle Reverse any setting, don‘t change after set-up procedure!","False","False","True","False","paragraph"
"If your transmitter doesn‘t offer any of above functions, it‘s already in „basic setup“ mode.","False","False","True","False","paragraph"
