"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"ULSTER BANK BLACK MASTERCARD - DRAFT BENEFIT SCHEDULE","True","True","True","True","heading"
"1","True","False","True","True","paragraph"
"CONTENTS","True","True","True","True","heading"
"CONTENTS ......................................................................................... 2","False","False","True","False","paragraph"
"INTRODUCTION ................................................................................. 2","False","False","True","False","paragraph"
"IMPORTANT INFORMATION ............................................................. 2","False","False","True","False","paragraph"
"DEFINITIONS ...................................................................................... 3","False","False","True","False","paragraph"
"EMERGENCY ASSISTANCE ............................................................. 4","False","False","True","False","paragraph"
"RECIPROCAL HEALTH AGREEMENTS ........................................... 4","False","False","True","False","paragraph"
"GENERAL CONDITIONS ................................................................... 5","False","False","True","False","paragraph"
"GENERAL EXCLUSIONS ................................................................... 5","False","False","True","False","paragraph"
"SPORTS AND ACTIVITIES ................................................................ 6","False","False","True","False","paragraph"
"BENEFIT SCHEDULE......................................................................... 6","False","False","True","True","paragraph"
"SECTION A – TRAVEL ADVICE ........................................................ 6","False","False","True","False","paragraph"
"SECTION B – TRAVEL ASSISTANCE ............................................... 7","False","False","True","False","paragraph"
"SECTION C – CANCELLATION OR CURTAILMENT CHARGES ..... 7","False","False","True","False","paragraph"
"SECTION D - MISSED DEPARTURE/ MISSED CONNECTION ....... 7","False","False","True","False","paragraph"
"SECTION E – DELAYED DEPARTURE/ ABANDONMENT ............... 8","False","False","True","False","paragraph"
"SECTION F – INVOLUNTARY DENIAL OF BOARDING ................... 8","False","False","True","False","paragraph"
"SECTION G – BAGGAGE DELAY AND EXTENDED BAGGAGE","False","False","True","True","heading"
"DELAY ................................................................................................. 8","False","False","True","False","paragraph"
"SECTION H – EMERGENCY MEDICAL AND OTHER EXPENSES","False","False","True","True","paragraph"
"ABROAD ............................................................................................. 9","False","False","True","False","paragraph"
"SECTION I - HOSPITAL BENEFIT ................................................... 10","False","False","True","False","paragraph"
"SECTION J – PERSONAL BELONGINGS AND PERSONAL","False","False","True","True","paragraph"
"MONEY ............................................................................................. 10","False","False","True","False","paragraph"
"SECTION K - TRAVEL ACCIDENT .................................................. 11","False","False","True","False","paragraph"
"SECTION L - PERSONAL LIABILITY ............................................... 11","False","False","True","False","paragraph"
"SECTION M – WINTER SPORTS COVER ...................................... 11","False","False","True","False","paragraph"
"SECTION N – RENTAL CAR COLLISION DAMAGE WAIVER ........ 12","False","False","True","False","paragraph"
"SECTION O – LOCK AND KEY ........................................................ 13","False","False","True","False","paragraph"
"SECTION P – TICKET CANCELLATION ......................................... 13","False","False","True","False","paragraph"
"SECTION Q – THEFT OF HANDBAG AND/OR WALLET IN","False","False","True","True","paragraph"
"EXPLAINABLE CIRCUMSTANCES ................................................. 14","False","False","True","False","paragraph"
"SECTION R – ATM ASSAULT .......................................................... 14","False","False","True","False","paragraph"
"SECTION S – EXTENDED WARRANTY .......................................... 14","False","False","True","False","paragraph"
"CLAIMS PROCEDURE ..................................................................... 15","False","False","True","False","paragraph"
"COMPLAINTS PROCEDURE ........................................................... 16","False","False","True","False","paragraph"
"USE OF YOUR PERSONAL DATA .................................................. 16","False","False","True","False","paragraph"
"I NTRODUCTION","True","True","True","True","paragraph"
"This document is not a contract of insurance but summarises the","False","False","True","False","paragraph"
"benefits provided to you by virtue of your holding an Ulster Bank","False","False","False","False","paragraph"
"Black MasterCard. The provision of those benefits is enabled by an","False","False","True","False","paragraph"
"insurance policy held by and issued to Ulster Bank by Inter Partner","False","False","True","False","paragraph"
"Assistance (policy number XXXX).","False","False","True","False","paragraph"
"U lster Bank is the only policyholder under the insurance policy and","False","False","True","False","paragraph"
"only it has direct rights under the policy against the insurer. This","False","False","True","False","paragraph"
"agreement does not give you direct rights under the policy of","False","False","False","False","paragraph"
"insurance. Strict compliance with the terms and conditions of this","False","False","True","False","paragraph"
"agreement is required if you are to receive its benefit.","False","False","False","False","paragraph"
"E LIGIBILITY","False","False","True","True","paragraph"
"The benefits summarised in this document are dependent upon you","False","False","False","False","paragraph"
"being a valid Ulster Bank Black MasterCard Cardholder at the time","False","False","False","False","paragraph"
"of any incident giving rise to a claim. Ulster Bank will give you notice","False","False","False","False","paragraph"
"if there are any material changes to these terms and conditions or if","False","False","True","False","paragraph"
"the policy supporting the benefits available under this agreement is","False","False","True","False","paragraph"
"cancelled or expires without renewal on equivalent terms.","False","False","True","False","paragraph"
"T his is your benefit guide and agreement with us. It contains details","False","False","False","False","paragraph"
"of benefits, conditions and exclusions relating to Ulster Bank Black","False","False","True","False","paragraph"
"MasterCard Cardholders and is the basis on which all claims you","False","False","False","False","paragraph"
"make will be settled.","False","False","True","False","paragraph"
"I NSURER","True","False","True","True","paragraph"
"AXA Travel Insurance Draft Ulster Bank Black MasterCard NI - 11 2011","False","False","True","True","paragraph"
"Benefits under this policy are underwritten by Inter Partner","False","False","True","False","paragraph"
"Assistance (IPA), whose registered branch office in Ireland is 10/11","False","False","True","False","paragraph"
"Mary Street, Dublin 1, Ireland (company number 906006) and is","False","False","True","False","paragraph"
"regulated by the Central Bank of Ireland. IPA is a branch of Inter","False","False","True","False","paragraph"
"Partner Assistance SA, a Belgian firm of Avenue Louise, 166 bte1,","False","False","True","False","paragraph"
"1050, Brussels, which is authorised in Belgium by l’Autorité des","False","False","True","False","paragraph"
"Services et Marchés Financiers and is authorised and subject to","False","False","True","False","paragraph"
"limited regulation by the Financial Services Authority (FSA) in the","False","False","True","False","paragraph"
"United Kingdom. Details about the extent of the authorisation and","False","False","True","False","paragraph"
"regulation by the FSA are available from us on request. Some of the","False","False","False","False","paragraph"
"services under this Policy will be provided by AXA Travel Insurance","False","False","True","False","paragraph"
"(company number 426087), of the same Ireland address. All","False","False","True","False","paragraph"
"companies are members of the AXA Assistance Group.","False","False","True","False","paragraph"
"P OLICYHOLDER","True","False","True","True","paragraph"
"Ulster Bank Ltd, 11 - 16 Donegal Square East, Belfast BT1 5UB,","False","False","True","True","paragraph"
"Northern Ireland, United Kingdom.","False","False","True","True","paragraph"
"IMPORTANT INFORMATION","True","True","True","True","heading"
"Claims arising directly or indirectly from any pre-existing","False","False","False","False","paragraph"
"medical conditions are not covered.","False","False","False","False","paragraph"
"The benefits will not cover you when you are travelling against","False","False","False","False","paragraph"
"the advice of a medical practitioner (or would be travelling","False","False","False","False","paragraph"
"against the advice of a medical practitioner had you sought","False","False","False","False","paragraph"
"his/her advice);","False","False","True","False","paragraph"
"The benefits will not cover you when you are travelling with the","False","False","False","False","paragraph"
"intention of obtaining medical treatment or consultation abroad;","False","False","True","False","paragraph"
"The benefits will not cover you if you have any undiagnosed","False","False","False","False","paragraph"
"symptoms that require attention or investigation in the future (that","False","False","True","False","paragraph"
"is symptoms for which you are awaiting investigations or","False","False","False","False","paragraph"
"consultations, or awaiting results of investigations, where the","False","False","True","False","paragraph"
"underlying cause has not been established).","False","False","True","False","paragraph"
"If injury, illness loss, theft or damage happens you should","False","False","False","False","paragraph"
"immediately call AXA Assistance on +XXXX to report a medical","False","False","False","False","paragraph"
"emergency, request repatriation,","False","False","True","False","paragraph"
"damage.","False","False","True","False","paragraph"
"report any loss, theft or","False","False","True","False","paragraph"
"In the event of curtailment necessitating your early return home","False","False","False","False","paragraph"
"you must contact AXA Assistance. The service is available to","False","False","False","False","paragraph"
"you and operates 24 hours a day, 365 days a year for advice","False","False","False","False","paragraph"
"and assistance with your return home. AXA Assistance will","False","False","False","False","paragraph"
"arrange transport home when you have notice of serious illness,","False","False","False","False","paragraph"
"imminent demise, or death of a close relative at home.","False","False","False","False","paragraph"
"In order to be eligible to receive benefits under this Benefit","False","False","True","False","paragraph"
"Schedule for Sections B - M, you must charge 100% of the total","False","False","False","False","paragraph"
"cost of pre-booked transport and/or accommodation to your","False","False","False","False","paragraph"
"covered card, provided this is booked a minimum of 2 nights in","False","False","False","False","paragraph"
"advance.","False","False","True","False","paragraph"
"In order to be eligible to receive benefits under this benefit","False","False","True","False","paragraph"
"schedule for Sections N, P – S, you will only be covered if 100%","False","False","False","False","paragraph"
"of the total cost has been charged to the covered card:","False","False","False","False","paragraph"
"Section N – Rental Car Collision Damage Waiver – cover for","False","False","True","False","paragraph"
"vehicles hired with the covered card;","False","False","False","False","paragraph"
"Section P – Ticket Cancellation – cover for event ticket(s)","False","False","False","False","paragraph"
"purchased with the covered card;","False","False","False","False","paragraph"
"Section Q – Theft of Handbag and/or Wallet in Explainable","False","False","True","False","paragraph"
"Circumstances – cover for handbag/wallet purchased with the","False","False","False","False","paragraph"
"covered card;","False","True","True","False","paragraph"
"Section R – ATM Assault – for cash taken from the ATM machine","False","False","True","False","paragraph"
"with the covered card, and","False","False","False","False","paragraph"
"Section S – Extended Warranty","False","False","True","True","paragraph"
"purchased with the covered card.","False","False","False","False","paragraph"
"cover for eligible items","False","False","False","False","paragraph"
"These benefits will be governed by the law of England and Wales","False","False","True","False","paragraph"
"unless we have specifically agreed in writing otherwise.","False","False","False","False","paragraph"
"The maximum age limit for medical benefits in Section H –","False","False","True","False","paragraph"
"Emergency Medical and Other Expenses Abroad and Section I –","False","False","True","True","paragraph"
"Hospital Benefit and benefits related to a medical condition in","False","False","True","False","paragraph"
"Section C – Cancellation and Curtailment Charges is 75 years","False","False","True","False","paragraph"
"inclusive.","False","False","True","False","paragraph"
"You are covered worldwide for trips of 60 consecutive days. The","False","False","False","False","paragraph"
