"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"One-Pager® Response to Reading Due the First Day of School in September","False","False","False","True","heading"
"D irections:","False","False","True","False","paragraph"
"Follow the prompt below.","False","False","True","False","paragraph"
"Your One-Pager should be done on a plain white paper 8-1/2 x 11” on","False","False","True","False","paragraph"
"side only, with your name clearly in evidence on the front side of the","False","False","True","False","paragraph"
"paper.","False","False","True","False","paragraph"
"W hat is a One-Pager?","True","True","True","True","paragraph"
"“ How do I know what I think until I see what I say?”","False","False","False","False","paragraph"
"Forster","False","False","True","True","paragraph"
"“ Only connect.” –E.M. Forster","False","False","True","False","paragraph"
"A one pager is a single-page response to your reading. It is a way of","False","False","True","False","paragraph"
"making your pattern of your unique understanding. It is a way to be","False","False","True","False","paragraph"
"creative and experimental. It is a way to respond imaginatively and","False","False","True","False","paragraph"
"honestly. It is a way to be brief and compressed.","False","False","True","False","paragraph"
"The purpose of a one-pager is to own what you are reading. We learn","False","False","False","False","paragraph"
"best when we can create our own patterns.","False","False","True","False","paragraph"
"A one-pager connects the verbal and the visual; it connects the ideas in","False","False","True","False","paragraph"
"what you read to your thoughts. It connects words and images. The one-","False","False","True","False","paragraph"
"pager becomes a metaphor for the reading you have done.","False","False","True","False","paragraph"
"When you do a one-pager, do any or all of these:","False","False","False","False","paragraph"
"a. Pull out a quotation or two, using them to explore one of your own","False","False","True","False","paragraph"
"ideas, and write them on the page (perhaps using a different","False","False","True","False","paragraph"
"colored pen).","False","False","True","False","paragraph"
"b. Use visual images, either drawn or cut from magazines, to create a","False","False","True","False","paragraph"
"visual focus.","False","False","True","False","paragraph"
"c. Cluster around a dominant impression, feeling or thought you have","False","False","True","False","paragraph"
"while reading.","False","False","True","False","paragraph"
"d. Make a personal statement about what you have read.","False","False","True","False","paragraph"
"e. Ask a question or two and answer it (them).","False","False","True","False","paragraph"
"f. Create the one-pager so that your audience will understand","False","False","True","False","paragraph"
"something about the reading from what you do.","False","False","True","False","paragraph"
"g. Feel free to use colored pens or pencils.","False","False","True","False","paragraph"
"What not to do:","False","False","True","True","paragraph"
"a. Don’t merely summarize.","False","False","True","False","paragraph"
"b. Don’t be restricted by the lines on the paper. Use unlined paper.","False","False","True","False","paragraph"
"c. Don’t think a half a page will do—make it rich with quotes and","False","False","True","False","paragraph"
"images.","False","False","True","False","paragraph"
"Grading: full credit depends on completeness (and imagination counts,","False","False","True","False","paragraph"
"too.)","False","False","True","False","paragraph"
