"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"File ownership has been an issue in a number of recent complaints before the Trans-Tasman","False","False","True","False","paragraph"
"IP Attorneys Board (the Board). This Practice Note is published by the Board to assist","False","False","True","False","paragraph"
"registered attorneys to understand their obligations and may change from time","False","False","True","False","paragraph"
"T to time.","False","False","False","False","paragraph"
"Responsibilities of registered attorneys","False","True","True","False","heading"
"The Board expects that registered patent attorneys and registered trade marks attorneys","False","False","True","False","paragraph"
"(collectively, 'registered attorneys') should maintain a file in such","False","False","True","False","paragraph"
"F a manner that the client’s","False","False","False","False","paragraph"
"property is, or can be, readily identified. This will allow the attorney to promptly comply with","False","False","True","False","paragraph"
"a request for the return of the client’s property if and when it is made.","False","False","True","False","paragraph"
"Legislative requirements","False","True","True","False","heading"
"A The Code of Conduct for Trans-Tasman Patent and Trade Marks Attorneys 2018 (the Code)","False","False","False","True","paragraph"
"deals generally with the professional conduct required of registered attorneys. Section 25 of","False","False","True","False","paragraph"
"the Code deals with client or former client property, including the return of a client’s property","False","False","True","False","paragraph"
"when the client asks the registered attorney for its return. However, a registered attorney need","False","False","True","False","paragraph"
"not return the client’s property if the client has not satisfied a lien imposed in accordance with","False","False","True","False","paragraph"
"the Patents Regulations 1991 (Cth) or the Trade Marks Regulations 1995 (Cth), or the","False","False","False","False","paragraph"
"Patents Act 2013 (NZ) or otherwise by law.","False","False","False","False","paragraph"
"A registered attorney may claim a lien over client documents if outstanding fees are owing to","False","False","True","False","paragraph"
"the registered attorney.","False","False","True","False","paragraph"
"D","True","False","True","True","paragraph"
"R If a registered attorney is running several files for a client, then the","False","False","False","False","paragraph"
"lien could be applied to all the client's files.","False","False","True","False","paragraph"
"Which parts of these files are client property that need to be released to the client on","False","True","True","False","heading"
"request","False","True","True","False","heading"
"Examples of documents that are client property could include:","False","False","True","False","paragraph"
"documents, samples or other material which are owned by the client;","False","False","True","False","paragraph"
"documents, samples or other material created by the client either prior to or during the","False","False","False","False","paragraph"
"course of the retainer, and given to the registered attorney for the purpose of doing the","False","False","True","False","paragraph"
"work subject to the retainer;","False","False","True","False","paragraph"
"documents prepared by the registered attorney for the benefit of the client;","False","False","True","False","paragraph"
"documents prepared by a third party and sent to the registered attorney other than at","False","False","True","False","paragraph"
"the registered attorney’s expense;","False","False","True","False","paragraph"
"documents brought into existence by a registered attorney who acts only as an agent","False","False","True","False","paragraph"
"for a client for this purpose;","False","False","True","False","paragraph"
"original receipts for payments made on behalf of the client;","False","False","True","False","paragraph"
"communications between the registered attorney, IP offices and third parties;","False","False","True","False","paragraph"
"7 May 2019","False","False","True","True","paragraph"
"file notes of telephone conversations relating to the work subject to the retainer;","False","False","True","False","paragraph"
"filing details of a client’s intellectual property rights.","False","False","True","False","paragraph"
"Registered attorneys should note that paragraph 25(1)(b) of the Code provides for the","False","False","True","False","paragraph"
"registered attorney to release ‘documents, samples or material to which the client may have","False","False","True","False","paragraph"
"access under an agreement between the registered attorney and the client’. This category of","False","False","True","False","paragraph"
"documents, etc. will be determined by the nature of the agreement between the client and the","False","False","True","False","paragraph"
"registered attorney, however it should not derogate from the client’s right to the client’s","False","False","True","False","paragraph"
"property. Registered attorneys may seek to clarify these matters in their standard retainer","False","False","True","False","paragraph"
"terms for the avoidance of doubt.","False","False","True","False","paragraph"
"Which parts are not client property","False","True","True","False","heading"
"T Examples of documents that are not client property could include:","False","False","False","False","paragraph"
"drafts and office copies of final accounts of profit and loss, balance sheets etc.;","False","False","True","False","paragraph"
"draft and office copies of final reports, memoranda and","False","False","True","False","paragraph"
"F notes requested by the client;","False","False","False","False","paragraph"
"file copies of client property made at the registered attorney’s expense;","False","False","True","False","paragraph"
"internal cheque requisitions, photocopying requisition forms, etc.;","False","False","True","False","paragraph"
"trust and other accounts printouts;","False","False","True","False","paragraph"
"A • internal records and memos about work done or to be done.","False","False","False","False","paragraph"
"Can an attorney levy charges, etc. for the extraction, copying and delivery of a client’s","False","True","True","False","heading"
"file (and if so, when)","False","True","True","False","heading"
"R A client should not be charged to copy client property for the retention of a copy by the","False","False","False","False","paragraph"
"registered attorney.","False","False","True","False","paragraph"
"In practice, an attorney should not levy charges for delivery of the client’s property unless the","False","False","True","False","paragraph"
"attorney and client have otherwise agreed. If a charge has been agreed, then it is","False","False","True","False","paragraph"
"recommended that the","False","False","True","False","paragraph"
"D charge reflect the approximate cost to the attorney of making a copy.","False","False","False","False","paragraph"
"In the absence of such an agreement, if a registered attorney were to charge an unreasonable","False","False","True","False","paragraph"
"amount for document storage, extraction, copying or delivery it could be argued that such","False","False","True","False","paragraph"
"conduct is inconsistent with the registered attorney’s obligation to act in the best interests of","False","False","True","False","paragraph"
"the registered attorney’s client.","False","False","True","False","paragraph"
"I f you have any concerns please contact the Secretary, Trans-Tasman IP Attorneys Board.","False","False","True","False","paragraph"
"C ontact details:","False","False","True","False","paragraph"
"Tel: +61 2 6283 2345","False","False","True","True","paragraph"
"Email: mail.ttipab@ipaustralia.gov.au","False","False","False","False","paragraph"
"7 May 2019","False","False","True","True","paragraph"
"2 of 2","False","False","True","True","paragraph"
