"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Line: 1 Item Description: FG-STAF","True","True","False","True","paragraph"
"Ship Line: 1","True","True","False","True","paragraph"
"Ship To: 8JAVA","True","True","False","True","paragraph"
"Attention: FRA: Nessiba Due Date: 12/06/2019","True","True","False","True","paragraph"
"BOUREZG","True","True","True","True","paragraph"
"Dist Status Location Qty PCT","False","False","True","True","paragraph"
"1","False","True","True","True","paragraph"
"8JAVA 1.0000 100,00","False","True","True","True","paragraph"
"Dept Dept Descr Altacct Altacct IT Sub -","False","False","True","True","paragraph"
"Descr Tower","False","False","True","True","paragraph"
"FG000145 Technology 6228000 Frs divers","False","True","True","False","paragraph"
"PC BU Project Project Descr Service","False","False","True","True","paragraph"
"ATSHA FG-STAFF Generic Staff Costs","False","True","True","True","paragraph"
"Open Open Amt GL Base Currency","False","False","True","True","paragraph"
"QTY Amount","False","False","True","True","paragraph"
"4 950,00 EUR","False","True","True","True","paragraph"
"Start Date End Date","False","False","True","True","paragraph"
"Quantity: 1.0000 UOM: EA","True","True","False","True","paragraph"
"Amount Only: N","True","True","False","True","paragraph"
"Address:","True","False","True","True","paragraph"
"Price: 4 950,00 Line Total: 4 950,00","True","True","False","True","paragraph"
"Line Status: En crs","True","True","False","True","paragraph"
"Shipping Quantity: 1.0000","True","True","False","True","paragraph"
"Shipping Total: 4 950,00","True","True","False","True","paragraph"
"VAT Code N2000 (20.0000%):","True","False","True","True","paragraph"
"990,00","True","True","True","True","paragraph"
"Amount GL Unit Entry Event","False","False","True","True","paragraph"
"4 950,00 GIEFR","False","True","True","True","paragraph"
"Account Acct Descr","False","False","True","True","paragraph"
"909092W000 Other cost","False","True","True","True","paragraph"
"IT Sub - Tower Oper Unit","False","False","True","True","paragraph"
"Descr","False","False","True","True","paragraph"
"Service Third Pary","False","False","True","True","paragraph"
"Descr","False","False","True","True","paragraph"
"1000006638","False","True","True","True","paragraph"
"Oper Unit Descr Class Class Descr","False","False","True","True","paragraph"
"Third Party Contract Contract Descr","False","False","True","True","paragraph"
"Descr Descr","False","False","True","True","paragraph"
"ANSSUR-001","False","True","True","True","paragraph"
