"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Spotify for Podcasters Platform Terms and Conditions of Use","False","True","True","True","heading"
"E ffective: March 26 2019","False","False","True","False","paragraph"
"H ello, and welcome to the Spotify for Podcasters Platform Terms and Conditions of Use (“ Spotify for","False","False","False","False","paragraph"
"Podcasters Terms ”).","False","False","False","True","paragraph"
"B efore we get to the details, we’d like to share a few of the principles behind Spotify for Podcasters and","False","False","True","False","paragraph"
"the terms you’re about to read. These principles guide us whenever we design products and features for","False","False","True","False","paragraph"
"creators. They mean a lot to us because we know they mean a lot to you.","False","False","True","False","paragraph"
"We respect what you do . You should have access to tools and information that help grow your","False","False","False","False","paragraph"
"career.","False","False","True","False","paragraph"
"We love what you make . We want fans all over the world to love it too.","False","False","False","False","paragraph"
"We’re here to help you . Building a strong community is the best way to support you.","False","False","False","False","paragraph"
"T he Spotify for Podcasters Terms you see below are important because they:","False","False","True","False","paragraph"
"Outline your legal rights on Spotify for Podcasters","False","False","True","False","paragraph"
"Explain the rights you give to us when you use Spotify for Podcasters","False","False","True","False","paragraph"
"Describe the rules to follow when using Spotify for Podcasters","False","False","True","False","paragraph"
"P lease read these Spotify for Podcasters Terms, our Spotify Terms and Conditions of Use, our Privacy","False","False","True","False","paragraph"
"Policy and any other terms referenced in these Spotify for Podcasters Terms carefully.","False","False","True","False","paragraph"
"1 . Introduction","False","True","True","True","paragraph"
"T hanks for choosing Spotify’s Spotify for Podcasters platform (“ Spotify for Podcasters ”) offered by","False","False","False","False","paragraph"
"Spotify USA Inc. with offices at 4 World Trade Center, 150 Greenwich Street, 62nd Floor, New York, NY","False","False","True","False","paragraph"
"10007, USA and Spotify AB, a company registered in Sweden under number 556703-7485 with offices at","False","False","True","False","paragraph"
"Regeringsgatan 19, 111 53 Stockholm, Sweden (respectively “ Spotify USA ” and "" Spotify AB ” and","False","False","False","False","paragraph"
"together “ Spotify ” “ we ” “ us ” or “ our ”). Spotify for Podcasters is a platform and service we offer that","False","False","False","False","paragraph"
"gives you the ability","False","False","True","False","paragraph"
"audience.","False","False","True","False","paragraph"
"to submit your podcast content directly to Spotify and understand your podcast","False","False","True","False","paragraph"
"C lick-Wrap Agreement . These Spotify for Podcasters Terms are executed and agreed to, and you are","False","False","True","False","paragraph"
"entering into a binding contract with Spotify, when you click the checkbox stating that you agree to the","False","False","True","False","paragraph"
"Spotify for Podcasters Terms and Conditions (and to such standard amendments thereto as Spotify may","False","False","True","False","paragraph"
"publish from time to time) and click the “Continue” button during the registration process for the Spotify for","False","False","True","False","paragraph"
