"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Všeobecné pojistné podmínky 0518","True","False","True","False","heading"
"Úvodní ustanovení","False","False","True","False","heading"
"Pro pojištění, které sjednává AXA životní pojišťovna a.s., platí příslušná ustanovení","False","False","True","False","paragraph"
"zákona č. 89/2012 Sb., občanský zákoník, v platném znění, tyto Všeobecné","False","False","False","False","paragraph"
"pojistné podmínky, Zvláštní pojistné podmínky podle sjednaného tarifu, Oceňovací","False","False","True","False","paragraph"
"tabulky, Obchodní podmínky (dále také jen „pojistné podmínky“) a ujednání pojistné","False","False","True","False","paragraph"
"smlouvy. Pojistné podmínky jsou nedílnou součástí pojistné smlouvy (dále také jen","False","False","True","False","paragraph"
"„smlouva"" či „pojistná smlouva“).","False","False","False","False","paragraph"
"Oddíl 1.","True","False","True","True","heading"
"Obecná část","True","False","True","True","heading"
"Článek 1.1.","False","False","True","False","heading"
"Vymezení pojmů","False","False","True","False","heading"
"Pro účely těchto pojistných podmínek mají následující pojmy uvedený význam:","False","False","True","False","paragraph"
"pojistitel – AXA životní pojišťovna a.s., IČ: 61859524, se sídlem Lazarská 13/8,","False","False","False","False","paragraph"
"120 00 Praha 2, Česká republika, kontaktní adresa – AXA životní pojišťovna a.s.,","False","False","True","False","paragraph"
"Úzká 488/8, 602 00 Brno, Česká republika,","False","False","True","False","paragraph"
"zájemce o pojištění – osoba, která má zájem o uzavření pojistné smlouvy","False","False","False","False","paragraph"
"s pojistitelem,","False","False","True","False","paragraph"
"pojistník – osoba, která s pojistitelem uzavřela pojistnou smlouvu,","False","False","False","False","paragraph"
"pojištěný – osoba, na jejíž život, zdraví nebo jinou hodnotu pojistného zájmu se","False","False","False","False","paragraph"
"pojištění vztahuje,","False","False","True","False","paragraph"
"obmyšlený – osoba určená pojistníkem v pojistné smlouvě jménem nebo","False","False","False","False","paragraph"
"vztahem k pojištěnému, které vznikne právo na pojistné plnění v případě smrti","False","False","True","False","paragraph"
"pojištěného,","False","False","True","False","paragraph"
"oprávněná osoba – osoba, které v důsledku pojistné události vznikne právo na","False","False","False","False","paragraph"
"pojistné plnění,","False","False","True","False","paragraph"
"jiná příslušná osoba – osoba mající právní zájem na výplatě pojistného plnění","False","False","False","False","paragraph"
"(např. dědic, zástavní věřitel, postupník),","False","False","True","False","paragraph"
"účastník pojištění – pojistitel a pojistník jakožto smluvní strany a dále pojištěný","False","False","False","False","paragraph"
"a každá další osoba, které z pojištění vzniklo právo nebo povinnost,","False","False","True","False","paragraph"
"věk pojištěného – technický věk, který se stanoví rozdílem kalendářního roku","False","False","False","False","paragraph"
"počátku pojistného roku a kalendářního roku narození pojištěného, pokud není","False","False","True","False","paragraph"
"uvedeno jinak,","False","False","True","False","paragraph"
"výstupní věk – maximální věk, po jehož dosažení už nemůže být pojištěný","False","False","False","False","paragraph"
"pojištěn pro daný tarif; výstupní věky pro jednotlivé tarify jsou uvedeny v návrhu","False","False","True","False","paragraph"
"pojistné smlouvy,","False","False","True","False","paragraph"
"pojistná doba – doba, na kterou bylo pojištění sjednáno; pojistná doba je","False","False","False","False","paragraph"
"vyjádřena v letech od počátku pojištění nebo dnem počátku a konce pojištění;","False","False","True","False","paragraph"
"pojistná doba začíná dnem počátku pojištění a končí dnem určeným jako konec","False","False","True","False","paragraph"
"pojištění nebo uplynutím příslušného počtu let pojistné doby, přičemž v takovém","False","False","True","False","paragraph"
"případě je konec pojištění den, který předchází dni, který se pojmenováním nebo","False","False","True","False","paragraph"
"číslem shoduje se dnem, na který připadá počátek pojištění (není-li takový den","False","False","True","False","paragraph"
"v měsíci, připadne konec lhůty na jeho poslední den),","False","False","True","False","paragraph"
"pojistné období – pravidelně se opakující časové období dohodnuté v pojistné","False","False","False","False","paragraph"
"smlouvě, za které se platí běžné pojistné, a které je vyjádřeno také pojmem","False","False","True","False","paragraph"
"„frekvence placení“; první pojistné období počíná dnem počátku pojištění;","False","False","True","False","paragraph"
"pojistné období končí dnem, který předchází dni, který se pojmenováním nebo","False","False","True","False","paragraph"
"číslem shoduje se dnem, na který připadá počátek pojistného období (není-li","False","False","True","False","paragraph"
"takový den v měsíci, připadne konec lhůty na jeho poslední den),","False","False","True","False","paragraph"
"pojistný rok – období 12 po sobě jdoucích kalendářních měsíců začínající dnem","False","False","False","False","paragraph"
"počátku pojištění nebo dnem výročí pojistné smlouvy, na která se dělí pojistná","False","False","True","False","paragraph"
"doba,","False","False","True","False","paragraph"
"výročí pojistné smlouvy – den pojistné doby, který se datem (dnem a měsícem)","False","False","False","False","paragraph"
"shoduje se dnem počátku pojištění; není-li takový den v měsíci, připadne výročí","False","False","True","False","paragraph"
"pojistné smlouvy na poslední den tohoto měsíce,","False","False","True","False","paragraph"
"pojistná částka – částka sjednaná v pojistné smlouvě pro účely stanovení výše","False","False","False","False","paragraph"
"pojistného plnění,","False","False","True","False","paragraph"
"tarif – pojištění nebo připojištění uvedené ve Zvláštních pojistných podmínkách,","False","False","False","False","paragraph"
"pojištění – tarif, který je ve Zvláštních pojistných podmínkách označen jako","False","False","False","False","paragraph"
"„pojištění“; pojem „pojištění“ je současně používán jako výraz pro pojistnou","False","False","True","False","paragraph"
"smlouvu, vyplývá-li to z uvedeného textu,","False","False","True","False","paragraph"
"hlavní pojištění – tarif, který je označen v návrhu pojistné smlouvy jako ""hlavní","False","False","False","False","paragraph"
"pojištění"",","False","False","True","False","paragraph"
"připojištění – tarif, který je ve Zvláštních pojistných podmínkách označen jako","False","False","False","False","paragraph"
"„připojištění“,","False","False","True","False","paragraph"
