"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Pokyny pro platby pojistného","True","False","True","False","paragraph"
"První pojistné můžete uhradit poštovní poukázkou nebo převodem z vašeho bankovního účtu, např. prostřednictvím internetbankingu.","False","False","True","False","paragraph"
"Nejpohodlnějším způsobem úhrady pojistného je trvalý příkaz k úhradě.","False","False","True","False","heading"
"Název banky:","False","False","True","False","paragraph"
"UniCredit Bank Czech Republic and Slovakia, a.s.","False","False","True","True","paragraph"
"Název a adresa","False","False","True","False","paragraph"
"AXA životní pojišťovna a.s.,","False","False","True","False","paragraph"
"účtu adresáta:","False","False","True","False","paragraph"
"Lazarská 13/8, 120 00 Praha 2","False","False","True","True","paragraph"
"Informace k platbě běžného pojistného převodem z účtu","True","False","True","False","heading"
"Číslo účtu pro platbu pojistníka: 270 270 270 / 2700","False","False","False","False","paragraph"
"Číslo účtu pro platbu zaměstnavatele: 27 27 27 / 2700","False","False","False","False","paragraph"
"Konstantní symbol: 3558","False","False","False","False","paragraph"
"Variabilní symbol:","False","False","True","False","paragraph"
"číslo návrhu pojistné smlouvy (do vystavení pojistky)","False","False","True","False","paragraph"
"číslo smlouvy (po vystavení pojistky)","False","False","True","False","paragraph"
"Chcete uhradit mimořádné pojistné?","True","False","True","False","heading"
"Číslo účtu pro platbu pojistníka: 27 27 00 / 2700","False","False","False","False","paragraph"
"Číslo účtu pro platbu zaměstnavatele: 27 27 19 / 2700","False","False","False","False","paragraph"
"Konstantní symbol: 3558","False","False","False","False","paragraph"
"Variabilní symbol:","False","False","True","False","paragraph"
"číslo pojistné smlouvy","False","False","True","False","paragraph"
"Specifický symbol: viz Obchodní podmínky","False","False","False","False","paragraph"
"Specifický symbol určuje cílový fond, do kterého bude mimořádné pojistné alokováno.","False","False","True","False","paragraph"
"V případě neuvedení specifického symbolu bude mimořádné pojistné alokováno do fondu","False","False","False","False","paragraph"
"zvoleného pro běžné pojistné.","False","False","True","False","paragraph"
"Nezapomeňte","True","False","True","True","heading"
"Při vyplňování nezapomeňte uvést variabilní symbol","False","False","True","False","paragraph"
"Variabilní symbol do vystavení pojistky = číslo návrhu pojistné smlouvy","False","False","True","False","paragraph"
"Variabilní symbol po vystavení pojistky = číslo smlouvy uvedené v pojistce","False","False","True","False","paragraph"
"Měsíční","False","False","True","True","paragraph"
"sazby","False","False","True","False","paragraph"
"pojistného","False","False","True","False","paragraph"
"připojištění,","False","False","True","False","paragraph"
"při","False","False","True","True","paragraph"
"kterých","False","False","True","False","paragraph"
"se","False","False","True","True","paragraph"
"každý","False","False","True","False","paragraph"
"pojistný","False","False","True","False","paragraph"
"rok","False","False","True","True","paragraph"
"mění","False","False","True","True","paragraph"
"sazba","False","False","True","False","paragraph"
"Strana","False","False","True","True","paragraph"
"33","False","False","True","True","paragraph"
