"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Samples of descriptive paragraphs:","True","True","True","False","heading"
"S ample 1.The sample below is an opening paragraph from a student essay on the development of","False","False","True","False","paragraph"
"entertainment media. In it, she describes TV-watching in her family to make a point about how","False","False","True","False","paragraph"
"central TV was as a form of entertainment in the 60’s.","False","False","True","False","paragraph"
"(1) As I was growing up in the 60’s, television was the only entertainment my","False","False","True","False","paragraph"
"family knew of the electronic sort. (2) The 7 o’clock nightly news was such an","False","False","True","False","paragraph"
"important part of our family that my dad knocked a wall down and built a huge","False","False","True","False","paragraph"
"cabinet in its place just to accommodate our 19-inch black and white. (3) No one","False","False","True","False","paragraph"
"was allowed to talk or make a sound when the television was on; all eyes were","False","False","True","False","paragraph"
"glued to the moving and flickering image. The box commanded absolute","False","False","True","False","paragraph"
"respect.(4) In the daytime, “the television needs its rest” my mother would say, as","False","False","True","False","paragraph"
"she patted its pseudo-wooden top and covered it with a doilie she had made","False","False","True","False","paragraph"
"herself. (5)There is no doubt that TV was as central to our lives as it was to the","False","False","True","False","paragraph"
"lives of all our friends during that period. (adapted from an essay by Angeline","False","False","True","False","paragraph"
"Chan, used with permission.)","False","False","True","False","paragraph"
"Notice the writer’s use of action verbs (knocked, glued) and her use of sensory words (19- inch,","False","False","False","False","paragraph"
"black and white, huge, talk, sound, flickering)) to paint a picture of the scene in her living room.","False","False","False","False","paragraph"
"In the final sentence, she states the main point of the paragraph: that TV was central in families’","False","False","True","False","paragraph"
"lives during the 60’s. The appearance of a topic sentence at the end of a paragraph, rather than at","False","False","True","False","paragraph"
"the beginning is common in descriptive paragraphs, and it works well for this kind of","False","False","True","False","paragraph"
"development.","False","False","True","False","paragraph"
"S ample 2. This paragraph is a student’s response to an assignment to describe a place of","False","False","True","False","paragraph"
"personal importance or beauty:","False","False","True","False","paragraph"
"(1) The trail, perching precariously 500 feet above the roaring surf and then","False","False","False","False","paragraph"
"dipping effortlessly into dark lush valleys, snakes its way along the fluted","False","False","True","False","paragraph"
"coastline. (2) From a distance, it is hard to believe there would be any way to","False","False","True","False","paragraph"
"traverse the cliffs that dip like fingers into the frothing Pacific. (3)The first half of","False","False","True","False","paragraph"
"the trail is densely overgrown, and the air is dripping with the aroma of over ripe","False","False","True","False","paragraph"
"guava. Waterfalls and streams cascade unceasingly down along the trail from","False","False","True","False","paragraph"
"Mount Waialeale, the wettest spot on earth. (4) Vegetation grows thickly on the","False","False","True","False","paragraph"
"near vertical slopes above and below the trail, lending a sense of false security to","False","False","True","False","paragraph"
"the path, which at its widest measures ten feet across. (5)The landscape on the","False","False","True","False","paragraph"
"second half of the trail, the leeward side, changes dramatically from jungle to","False","False","True","False","paragraph"
"semi-arid desert. (6)Now, the cliffs are bare rock, and a three-foot wide ledge is","False","False","True","False","paragraph"
"all that protects the wary hiker from the black shoreline below.(7) Nevertheless,","False","False","True","False","paragraph"
"the white sand beach that marks the end of the trail is more than ample reward","False","False","True","False","paragraph"
"for the dangers survived.(8) The colors of this last valley, the Kalalau Valley, are","False","False","True","False","paragraph"
"a vivid red and green against a cloudless blue sky. (9)This, however, is not the","False","False","True","False","paragraph"
"end of the trip. The only trail out is the trail in. Not for the faint of heart, the","False","False","True","False","paragraph"
"Kalalua Trail on Kauai’s north shore is eleven miles of rugged adventure. (from","False","False","True","False","paragraph"
"an essay by Noreen Edgar, used with permission)","False","False","True","False","paragraph"
"This writer, too, makes liberal use of sense words (roaring, dark, lush, thickly etc.) and vivid","False","False","False","False","paragraph"
"action verbs (snakes, traverse, cascade). In addition, she uses a spatial arrangement that moves","False","False","False","False","paragraph"
"much in the way a hiker might, from a distant view, to a description of the first half of the trail,","False","False","True","False","paragraph"
"and then to the second half. The topic sentence, (sentence 9) as in the first sample, is found at","False","False","True","False","paragraph"
"the end instead of the beginning of the paragraph.","False","False","True","False","paragraph"
