"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Single-Item Questions","False","True","True","True","heading"
"USMLE STEP 1 TEST QUESTION FORMATS","False","True","True","True","heading"
"A single patient-centered vignette is associated with one question followed by four or more response options.","False","False","True","False","paragraph"
"The response options are lettered (A, B, C, D, E). A portion of the questions require interpretation of graphic","False","False","True","False","paragraph"
"or pictorial materials. You are required to select the best answer to the question. Other options may be","False","False","True","False","paragraph"
"partially correct, but there is only ONE BEST answer. This is the traditional, most frequently used multiple-","False","False","True","False","paragraph"
"choice question format on the examination.","False","False","True","False","paragraph"
"S trategies for Answering Single One-Best-Answer Test Questions","False","True","True","False","paragraph"
"T he following are strategies for answering one-best-answer items:","False","False","True","False","paragraph"
"Read each patient vignette and question carefully. It is important to understand what is being asked.","False","False","True","False","paragraph"
"Try to generate an answer and then look for it in the response option list.","False","False","True","False","paragraph"
"Alternatively, read each response option carefully, eliminating those that are clearly incorrect.","False","False","True","False","paragraph"
"Of the remaining options, select the one that is most correct.","False","False","True","False","paragraph"
"If unsure about an answer, it is better to guess since unanswered questions are automatically counted","False","False","True","False","paragraph"
"as wrong answers.","False","False","True","False","paragraph"
"Example Item","False","True","True","True","heading"
"A 32-year-old woman with type 1 diabetes mellitus has had progressive renal failure over the past 2 years. She","False","False","True","False","paragraph"
"has not yet started dialysis. Examination shows no abnormalities. Her hemoglobin concentration is 9 g/dL,","False","False","True","False","paragraph"
"hematocrit is 28%, and mean corpuscular volume is 94 μm3. A blood smear shows normochromic, normocytic","False","False","True","False","paragraph"
"cells. Which of the following is the most likely cause?","False","False","True","False","paragraph"
"( A) Acute blood loss","False","False","True","False","paragraph"
"(B) Chronic lymphocytic leukemia","False","False","True","False","paragraph"
"(C) Erythrocyte enzyme deficiency","False","False","True","False","paragraph"
"(D) Erythropoietin deficiency","False","False","True","False","paragraph"
"(E) Immunohemolysis","False","False","True","True","paragraph"
"( Answer: D)","False","False","True","True","paragraph"
"(F) Microangiopathic hemolysis","False","False","True","False","paragraph"
"(G) Polycythemia vera","False","False","True","True","paragraph"
"(H) Sickle cell disease","False","False","True","False","paragraph"
"(I) Sideroblastic anemia","False","False","True","False","paragraph"
"(J) β-Thalassemia trait","False","False","True","False","paragraph"
"NOTE: Some item types that appear on the Step 1 examination are NOT depicted in the sample items provided","False","False","True","False","paragraph"
"in this booklet, eg, items with multimedia features, such as audio. Also, when additional item formats are","False","False","True","False","paragraph"
"added to the exam, notice will be provided at the USMLE website: http://www.usmle.org. You must monitor","False","False","True","False","paragraph"
"the website to stay informed about the types of items that occur in the exam, and you must practice with the","False","False","True","False","paragraph"
"downloadable sample test items available on the USMLE website to be fully prepared for the examination.","False","False","True","False","paragraph"
"3","False","True","True","True","paragraph"
