"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","False","False","True","False","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","False","False","True","False","paragraph"
"s imply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","False","False","True","False","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","False","False","True","False","paragraph"
"scrambled it to make a type specimen book. It has survived not only five centuries, but also the","False","False","True","False","paragraph"
"leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 196","False","False","True","False","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","False","False","True","False","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","False","False","True","False","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","False","False","True","False","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","False","False","True","False","paragraph"
"unchanged. It was popularised in the 196","False","False","True","False","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","False","False","True","False","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","False","False","True","False","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","False","False","True","False","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","False","False","True","False","paragraph"
"unchanged. It was popularised in the 196.","False","False","True","False","paragraph"
"simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","False","False","True","False","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","False","False","True","False","paragraph"
"scrambled it to make a type specimen book. It has sur","False","False","True","False","paragraph"
"s imply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","False","False","True","False","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","False","False","True","False","paragraph"
"scrambled it to make a type specimen book. It has survived not only five centuries, but also the","False","False","True","False","paragraph"
"leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 196","False","False","True","False","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","False","False","True","False","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","False","False","True","False","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","False","False","True","False","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","False","False","True","False","paragraph"
"unchanged. It was popularised in the 196","False","False","True","False","paragraph"
"Simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the","False","False","True","False","paragraph"
"industry's standard dummy text ever since the 1500s, when an unknown printer took a","False","False","True","False","paragraph"
"galley of type and scrambled it to make a type specimen book. It has survived not only","False","False","True","False","paragraph"
"five centuries, but also the leap into electronic typesetting, remaining essentially","False","False","True","False","paragraph"
"unchanged. It was popularised in the 196","False","False","True","False","paragraph"
"s imply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's","False","False","True","False","paragraph"
"standard dummy text ever since the 1500s, when an unknown printer took a galley of type and","False","False","True","False","paragraph"
"scrambled it to make a type specimen book. It has sur","False","False","True","False","paragraph"
