"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Guía de facturación para Vodafone España","True","True","True","False","heading"
"A l emitir una factura, tenga en cuenta que la factura debe cumplir con todos los requisitos","False","False","True","False","paragraph"
"fiscales relevantes y contener toda la información obligatoria.","False","False","True","False","paragraph"
"P ara su información hemos resumido los principios relativos a los requisitos de facturación.","False","False","True","False","paragraph"
"Estos son los campos requeridos para el correcto procesamiento de sus facturas:","False","False","True","False","paragraph"
"Fecha de factura (fecha de emisión de la factura).","False","False","True","False","paragraph"
"Único y secuencial número de factura.","False","False","True","False","paragraph"
"Número de NIF para cada sociedad de Vodafone conforme a lo indicado en su pedido","False","False","True","False","paragraph"
"o en su contrato.","False","False","True","False","paragraph"
"Su número de identificación fiscal.","False","False","True","False","paragraph"
"Su nombre de proveedor y su dirección completa.","False","False","True","False","paragraph"
"La cantidad y descripción de los bienes y / o servicios suministrados.","False","False","True","False","paragraph"
"Precios unitarios netos, importe neto y bruto de la factura.","False","False","True","False","paragraph"
"El porcentaje aplicable del Impuesto sobre el Valor Añadido (IVA) y el importe total","False","False","True","False","paragraph"
"del IVA.","False","False","True","True","paragraph"
"El número de orden de compra proporcionado por Vodafone (en caso de que la","False","False","True","False","paragraph"
"factura se emita con pedido). Si no se hace referencia a ningún número de pedido en","False","False","True","False","paragraph"
"la factura, se rechazará a excepción de los siguientes servicios: Alquiler, electricidad,","False","False","True","False","paragraph"
"interconexión, roaming, servicios públicos y contenidos. Si el pedido tiene varias","False","False","True","False","paragraph"
"líneas, la línea de pedido también debe especificarse en la factura.","False","False","True","False","paragraph"
"C2 General","False","False","True","True","paragraph"
"El Tipo de documento: factura / nota de abono/ Factura rectificativa (en el caso de","False","False","True","False","paragraph"
"una nota de abono/ factura rectificativa, el número de factura correspondiente a la","False","False","True","False","paragraph"
"nota de abono/ factura rectificativa debe ser indicado).","False","False","True","False","paragraph"
"Tipo de cambio (si corresponde).","False","False","True","False","paragraph"
"Si correspondiera: si se aplica el mecanismo de cobro revertido, debe mencionarse","False","False","True","False","paragraph"
"""cargo revertido"" en la factura.","False","False","True","False","paragraph"
"Si correspondiera: referencia a la exención del IVA aplicado o entrega","False","False","True","False","paragraph"
"intracomunitaria.","False","False","True","False","paragraph"
"Envío de sus facturas","False","True","True","False","heading"
"La facturación electrónica es la opción de facturación principal, debido a las","False","False","False","False","paragraph"
"facilidades que otorga. Estas son las principales:","False","False","True","False","paragraph"
"a. Pagos a tiempo,","False","False","True","False","paragraph"
"b. Menos facturas rechazadas,","False","False","True","False","paragraph"
"c. Mejor conciliación de cuentas,","False","False","True","False","paragraph"
"d. Posibilidad de revisar el status de tus facturas,","False","False","True","False","paragraph"
"Los proveedores que están registrados en la solución de facturación electrónica de","False","False","True","False","paragraph"
"Taulia deben enviar sus facturas electrónicamente. Para obtener más información o","False","False","True","False","paragraph"
"para registrarse en nuestra solución de facturación electrónica, por favor póngase en","False","False","True","False","paragraph"
"contacto con business-support.es@vodafone.com.","False","False","False","False","paragraph"
"Únicamente si no puede enviar sus facturas a través del portal de facturación","False","False","True","False","paragraph"
"electrónica, por favor envíe sus facturas en papel a las direcciones de envío abajo","False","False","True","False","paragraph"
"indicadas, pero tenga en cuenta que esta opción no garantiza la recepción y pago a","False","False","True","False","paragraph"
"tiempo de sus facturas.","False","False","True","False","paragraph"
"C ertificado de residencia","False","True","True","False","paragraph"
"P or favor asegúrese de enviar el certificado de residencia en el extranjero al siguiente buzón:","False","False","True","False","paragraph"
"business-support.es@vodafone.com","False","True","True","False","paragraph"
"D e otra manera procederemos al pago de sus facturas aplicando la retención oportuna.","False","False","True","False","paragraph"
"C2 General","False","False","True","True","paragraph"
