"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"A Short Paper Proposing That We Need to Write Shorter Papers","False","True","True","True","heading"
"Stephen Krashen Language and Language Teaching 1,2: 38-39. 2012","False","False","True","True","paragraph"
"W hen we ask the time, we don't want to know how watches are constructed. Georg Christoph","False","False","True","False","paragraph"
"Lichtenberg (1742-1799)","False","False","True","True","paragraph"
"O ur current journals in language education are full of long papers. A typical journal","False","False","True","False","paragraph"
"might have, at most, five major papers. Sometimes we have to write long papers, but","False","False","True","False","paragraph"
"much of the time, it's unnecessary: the papers often contain long introductions more","False","False","True","False","paragraph"
"suitable for doctoral dissertations or review (""state of the art"") papers, apparently","False","False","True","False","paragraph"
"designed to provide evidence that the author is well-read, and long conclusions, with a","False","False","True","False","paragraph"
"repetition of the findings and the author's detailed and lengthy speculations about what","False","False","True","False","paragraph"
"the results might mean for theory and application.","False","False","True","False","paragraph"
"R eaders of professional journals don’t need this. Introductions should only give enough","False","False","True","False","paragraph"
"to alert the reader to what the article is above, and provide a few citations in case the","False","False","True","False","paragraph"
"reader needs more information. If the articles cited in the introduction are readily","False","False","True","False","paragraph"
"available, readers are free to consult them, and a brief indication of implications is","False","False","True","False","paragraph"
"generally more than enough for experienced readers. Also, if the results section is clear,","False","False","True","False","paragraph"
"no repetition of the findings is necessary in the conclusion.","False","False","True","False","paragraph"
"W atson and Crick's Nobel Prize winning paper on the double helix was only one page.","False","False","True","False","paragraph"
"Their conclusion: ""It has not escaped our notice that the specific pairing we have","False","False","True","False","paragraph"
"postulated immediately suggests a possible copying mechanism for the genetic material""","False","False","True","False","paragraph"
"(p. 737).","False","False","True","True","paragraph"
"L ong papers drain intellectual energy from both readers and writers and waste","False","True","True","False","paragraph"
"their time.","False","True","True","False","heading"
"T hey take longer to write, and much of the energy in writing them is dedicated to sections","False","False","True","False","paragraph"
"that don't engage the writer: Writing is a powerful tool to solve problems, and can result","False","False","True","False","paragraph"
"in substantial cognitive development (it can make you smarter), but to do this, the writing","False","False","True","False","paragraph"
"must be directed at a difficult problem (Langer and Applebee, 1987).","False","False","True","False","paragraph"
"L ong papers take longer to read. Even readers who try to skim long papers have to","False","False","True","False","paragraph"
"devote time and energy to find the essential parts, and run the danger of missing the","False","False","True","False","paragraph"
"details.","False","False","True","False","paragraph"
"A Disservice to the Profession and to the Scholar","False","True","True","True","heading"
"T oo-long papers hurt the spread of knowledge in two ways: They waste our time in both","False","False","True","False","paragraph"
"reading and writing, and they promote sloppy reading. Many readers are content just to","False","False","True","False","paragraph"
"read the abstract and perhaps the summary of technical papers, with a glance at a table.","False","False","True","False","paragraph"
"This means, of course, that significant details on methodology and the analysis, buried in","False","False","True","False","paragraph"
"the paper, are missed, and crucial points and often errors are perpetuated.","False","False","True","False","paragraph"
"Too-long papers also take up space. A journal with five too-long papers could easily","False","False","True","False","paragraph"
"include 20 short papers. This space limitation hurts the dissemination of knowledge,","False","False","True","False","paragraph"
"because less genuine information is available, and makes it much harder for junior","False","False","True","False","paragraph"
"scholars to publish and to get tenure and promotion, especially when universities require","False","False","True","False","paragraph"
"publication in certain journals. This problem will be alleviated as more journals are done","False","False","True","False","paragraph"
"on the internet, of course.","False","False","True","False","paragraph"
"C onclusion","False","True","True","False","paragraph"
"A gain, sometimes papers have to be long. But often they don't, and the problem is usually","False","False","True","False","paragraph"
"long introductions and conclusions that go far beyond the needs of the paper.","False","False","True","False","paragraph"
"L anguage education has clearly taken its tradition from the humanities, which favors","False","False","True","False","paragraph"
"dissertation-style prose, rather than the sciences, where papers are usually much shorter.","False","False","True","False","paragraph"
"I t is probably no coincidence that citation rates in the sciences are much higher: Hamilton","False","False","True","False","paragraph"
"(1991) reported that about 91% of papers published in atomic, molecular and chemical","False","False","True","False","paragraph"
"physics, and 86% in virology had been cited at least once. In language and linguistics,","False","False","True","False","paragraph"
"only 20% had been cited and in American literature, less than 1%.","False","False","True","False","paragraph"
"R eferences","False","True","True","False","paragraph"
"W atson, J. and Crick, F. 1953. A Structure for Deoxyribose Nucleic Acid, Nature 171,","False","False","True","False","paragraph"
"737-738.","False","False","True","True","paragraph"
"Hamilton, D. 1991. Research papers: Who's united now? Science 251: 25.","False","False","True","False","paragraph"
"Langer, J. and Applebee, A. 1987. How Writing Shapes Thinking. Urbana, IL: National","False","False","True","True","paragraph"
"Council of Teachers of English.","False","False","True","True","paragraph"
