"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"/ DIRECTORS’ REPORT","True","False","True","True","heading"
"PRINCIPAL ACTIVITIES","True","False","True","True","heading"
"The principal activity of the Bega Cheese Group in the course of the","False","False","True","False","paragraph"
"ﬁnancial year was receiving, processing, manufacturing and","False","False","True","False","paragraph"
"distributing dairy and associated products. A number of key events","False","False","True","False","paragraph"
"in relation to the activities of the Group during the year ended 30","False","False","True","False","paragraph"
"June 2016 are set out in the Executive Chairman’s review and the","False","False","True","False","paragraph"
"Chief Executive Ofﬁcer’s review of operations and activities, which is","False","False","True","False","paragraph"
"to be read in conjunction with this Directors’ report.","False","False","True","False","paragraph"
"DIVIDENDS","True","False","True","True","heading"
"The dividends paid to shareholders during the ﬁnancial year were:","False","False","True","False","paragraph"
"2016 2015","False","True","True","True","paragraph"
"$’000 $’000","False","True","True","True","paragraph"
"Interim ordinary dividend for the year","False","False","True","False","paragraph"
"6,867 -","False","False","True","True","paragraph"
"ended 30 June 2016 of 4.5 cents","False","False","True","False","paragraph"
"Final ordinary dividend for the year","False","False","True","False","paragraph"
"6,867 -","False","False","True","True","paragraph"
"ended 30 June 2015 of 4.5 cents","False","False","True","False","paragraph"
"Interim ordinary dividend for the year","False","False","True","False","paragraph"
"6,104","False","False","True","True","paragraph"
"ended 30 June 2015 of 4.0 cents","False","False","True","False","paragraph"
"Final ordinary dividend for the year","False","False","True","False","paragraph"
"6,867","False","False","True","True","paragraph"
"ended 30 June 2014 of 4.5 cents","False","False","True","False","paragraph"
"In addition to the above dividends, since the end of the ﬁnancial year","False","False","True","False","paragraph"
"the Directors have recommended payment of a ﬁnal ordinary","False","False","True","False","paragraph"
"dividend of $7,630,000 (5.0 cents per fully paid share) to be paid on","False","False","True","False","paragraph"
"15 September 2016.","False","False","True","True","paragraph"
"REVIEW OF OPERATIONS","True","False","True","True","heading"
"A comprehensive review of operations is set out in the Chief","False","False","True","False","paragraph"
"Executive Ofﬁcer’s review of operations and activities.","False","False","True","False","paragraph"
"SIGNIFICANT CHANGES IN THE","True","False","True","True","heading"
"STATE OF AFFAIRS","True","False","True","True","heading"
"Other than that disclosed in the Executive Chairman’s review and the","False","False","True","False","paragraph"
