"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"2 8 June 2019","False","False","True","True","paragraph"
"T O: ALL REGISTERED FINANCIAL CORPORATIONS (RFCs)","False","True","True","False","paragraph"
"ECONOMIC AND FINANCIAL STATISTICS – RESPONSE","False","True","True","True","heading"
"PROPOSED CHANGES TO REPORTING","False","True","True","True","heading"
"SPECIAL PURPOSE VEHICLES (SPVs)","False","True","True","False","heading"
"CONSOLIDATION","False","True","True","True","heading"
"TO SUBMISSIONS ON","False","True","True","True","heading"
"FOR SECURITISATION","False","True","True","True","heading"
"In May 2019, the Australian Bureau of Statistics, the Reserve Bank of Australia and the","False","False","True","True","paragraph"
"Australian Prudential Regulation Authority (APRA) (collectively ‘the agencies’) consulted on","False","False","True","False","paragraph"
"proposed changes to reporting requirements for registered financial corporations (RFCs) that","False","False","True","False","paragraph"
"are not a related party of an authorised deposit-taking institution (ADI). APRA proposed","False","False","True","False","paragraph"
"changes to the Economic and Financial","False","False","True","False","paragraph"
"consolidation of securitisation SPVs.","False","False","True","False","paragraph"
"Statistics (EFS) data collection relating to the","False","False","True","False","paragraph"
"This letter contains APRA’s response to consultation feedback. Based on the submission","False","False","True","False","paragraph"
"received, APRA will proceed with the proposed changes to Reporting Standard ARS 701.0","False","False","False","False","paragraph"
"ABS/RBA Definitions for the EFS Collection (ARS 701.0) and consequential changes to","False","False","False","False","paragraph"
"Reporting Practice Guide RPG 701.0 ABS/RBA Reporting Concepts for the EFS Collection","False","False","True","True","paragraph"
"(RPG 701.0) as outlined in May 2019.","False","False","True","False","paragraph"
"Background","False","True","True","True","heading"
"In March 2018, amendments to the Financial Sector (Collection of Data) Act 2001 (FSCODA)","False","False","False","False","paragraph"
"broadened the scope of entities that must register under the FSCODA and enabled APRA to","False","False","True","False","paragraph"
"collect information from non-ADI lenders. These amendments were made to allow APRA and","False","False","True","False","paragraph"
"the Council of Financial Regulators to better monitor the financial stability impacts of non-ADI","False","False","True","False","paragraph"
"lenders and to determine appropriate actions if needed to address a potential increase of risk","False","False","True","False","paragraph"
"in this sector.","False","False","True","False","paragraph"
"In May 2019, the agencies commenced consultation on proposed changes to the treatment of","False","False","True","False","paragraph"
"SPVs in the EFS data collection to improve the collection of RFC data. The agencies proposed","False","False","True","False","paragraph"
"changes to ARS 701.0 and consequential changes to RPG 701.0. These changes require a","False","False","True","False","paragraph"
"RFC that is not a related party of an ADI to consolidate the positions and transactions of all","False","False","True","False","paragraph"
"securitisation SPVs in a single set of reporting for EFS. These changes do not apply to a RFC","False","False","True","False","paragraph"
"that is a related party to an ADI.","False","False","True","False","paragraph"
"The assets and liabilities of securitisation SPVs would therefore be consolidated on to a RFC’s","False","False","True","False","paragraph"
"domestic books. Assets originated into, or transferred to, an SPV are included in the RFC’s","False","False","True","False","paragraph"
"reporting.","False","False","True","False","paragraph"
"The requirement for an external auditor’s report as set out in Standard RRS 710 Audit","False","False","False","False","paragraph"
"Requirements for Registered Financial Corporations","False","False","True","True","paragraph"
"reporting RFC, and not the individual SPVs.","False","False","True","False","paragraph"
"Submissions received","False","True","True","False","heading"
"EFS collection will apply to the","False","False","False","False","paragraph"
"APRA received one submission from an industry body. The submission agreed that APRA’s","False","False","True","False","paragraph"
"proposed changes to","False","False","True","False","paragraph"
"securitisation industry","False","False","True","False","paragraph"
"the EFS collection were the best way to capture the bulk of the","False","False","True","False","paragraph"
"as intended. The submission noted issues to consider around the","False","False","True","False","paragraph"
"structure and control relationship of SPVs, and also suggested a change to reporting dates for","False","False","True","False","paragraph"
"RFCs.","False","False","True","True","paragraph"
"Structure and control of SPVs","False","True","True","False","heading"
"The submission indicated a number of entities may require APRA to further tailor their","False","False","True","False","paragraph"
"reporting requirements to cater for their unique structures. If this is the case, APRA","False","False","True","False","paragraph"
"encourages affected entities to contact APRA by email at DataAnalytics@apra.gov.au .","False","False","False","False","paragraph"
"Reporting date","False","True","True","True","heading"
"The submission also raised concerns regarding the due date for reporting from smaller RFCs,","False","False","True","False","paragraph"
"citing inconsistencies with the burden imposed on their larger peers. APRA and the agencies","False","False","True","False","paragraph"
"will consider this matter further and will revert at a later date.","False","False","True","False","paragraph"
"Reporting timeline","False","True","True","False","heading"
"In line with the original proposal, the first reporting period will be for the period ending July","False","False","True","False","paragraph"
"2019.","False","False","True","True","paragraph"
"The agencies acknowledge that this is an abbreviated timeline. However, given the importance","False","False","True","False","paragraph"
"of this data, priority is being placed on commencing reporting as soon as possible. APRA","False","False","True","False","paragraph"
"encourages entities that have concerns with meeting the reporting timeline to contact APRA","False","False","True","False","paragraph"
"by email at DataAnalytics@apra.gov.au to discuss alternative reporting arrangements.","False","False","False","False","paragraph"
"Finalised reporting standard and guidance","False","True","True","False","heading"
"Copies of ARS 701.0 and RPG 701.0 are available on the APRA website at","False","False","True","False","paragraph"
"https://www.apra.gov.au/modernised-economic-and-financial-statistics-efs. Entities that","False","False","False","False","paragraph"
"require additional guidance are encouraged","False","False","True","False","paragraph"
"DataAnalytics@apra.gov.au.","False","False","True","True","paragraph"
"Yours sincerely,","False","False","True","False","paragraph"
"A lison Bliss","False","False","True","False","paragraph"
"General Manager","False","False","True","True","paragraph"
"Data Analytics","False","False","True","True","paragraph"
"AUSTRALIAN PRUDENTIAL REGULATION AUTHORITY","False","True","True","True","paragraph"
"to contact APRA by email at","False","False","True","False","paragraph"
"2","False","True","True","True","paragraph"
