"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Own plant tools and","True","True","True","False","heading"
"equipment section –","True","True","True","False","heading"
"Tradesmen","True","True","True","True","heading"
"AXA Business Insurance","True","True","True","True","heading"
"Meaning of defined terms","True","True","True","False","paragraph"
"What is covered","True","True","True","False","heading"
"What is not covered","True","True","True","False","heading"
"Page 182 of 186","False","False","False","True","paragraph"
"Own plant tools and equipment section – Tradesmen","True","True","True","False","heading"
"Your schedule will show if this section is covered","True","True","False","False","heading"
"Meanings of defined terms","True","True","True","False","heading"
"These definitions apply to this section and are in addition to the policy definitions that have already","False","False","True","False","paragraph"
"been described in the Essential Information document. If a word or phrase has a defined meaning it","False","False","True","False","paragraph"
"will be underlined and will have the same meaning wherever it is used in this section","False","False","True","False","paragraph"
"Damage","False","True","True","True","heading"
"Loss or destruction or damage.","False","False","True","False","paragraph"
"Hacking","False","True","True","True","heading"
"Unauthorised access to any computer or other equipment, component, system or item","False","False","True","False","paragraph"
"which processes, stores, transmits or retrieves data whether your property or not","False","False","True","False","paragraph"
"Phishing","False","True","True","True","heading"
"Any access or attempted access to data or information made by means of","False","False","True","False","paragraph"
"misrepresentation or deception.","False","False","True","False","paragraph"
"Own plant tools and equipment","False","True","True","False","heading"
"Constructional plant, machinery, trailers, tools, equipment, site huts, or caravans","False","False","True","False","paragraph"
"(including their contents) belonging to you","False","False","False","False","paragraph"
"Portable tools and equipment including electronic communication and computing","False","False","True","False","paragraph"
"equipment the personal property of partners, principals, directors or employees up","False","False","True","False","paragraph"
"to the value of £500 any one person, which are ordinarily used or needed on the site","False","False","True","False","paragraph"
"of any contract carried out by you in connection with the business","False","False","False","False","paragraph"
"a) anywhere within the policy territories","False","False","False","False","paragraph"
"b) elsewhere within the European Union in connection with temporary work by","False","False","False","False","paragraph"
"persons ordinarily resident within the policy territories for a period or periods of","False","False","False","False","paragraph"
"up to 180 days in total, during any one period of insurance.","False","False","False","False","paragraph"
"Stock in trade belonging to you, referred to in your schedule as ’stock in trade’,","False","False","True","False","paragraph"
"while at your premises, or in a securely locked store or compound within the policy","False","False","False","False","paragraph"
"territories, or in transit by road, rail or inland waterway.","False","False","False","False","paragraph"
