"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"TABLE 5J : ESTIMATED AREA UNDER PADDY TREATED WITH AZETOBACTOR BY SIZE GROUPS.","False","False","True","True","paragraph"
"DISTRICT : ADILABAD","False","False","True","True","paragraph"
"AREA UNDER THE CROP","False","False","True","True","paragraph"
"HYV OTHERS TOTAL","False","False","True","True","paragraph"
"(5) (6) (7)","False","False","True","True","paragraph"
"NOTE: I-IRRIGATED","False","False","True","False","paragraph"
"UI-UNIRRIGATED","False","False","True","True","paragraph"
"T = TOTAL OF I & UI IN CASE OF COLUMNS 3 AND 4","False","False","True","True","paragraph"
"HYV OTHERS TOTAL","False","False","True","True","paragraph"
"(8) (9) (10)","False","False","True","True","paragraph"
