"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Chapter 14","True","True","True","True","heading"
"Virtual Doppelgangers: Psychological Effects","True","True","True","True","heading"
"of Avatars Who Ignore Their Owners","True","True","True","True","heading"
"Jeremy N. Bailenson and Kathryn Y. Segovia","False","True","True","True","heading"
"Imagine a world where multiple versions of yourself exist. These other versions","False","False","True","False","paragraph"
"of you may look like you but need not behave like you. Famous authors and","False","False","True","False","paragraph"
"screenwriters have depicted this type of scenario multiple times in movies and","False","False","True","False","paragraph"
"literary works. For example, in the film Being John Malkovich, the actor","False","False","False","False","paragraph"
"Malkovich wakes up in a restaurant and looks across the table (Jonze 1999).","False","False","False","False","paragraph"
"There is a woman wearing a revealing evening dress, but as his gaze pans up, he","False","False","True","False","paragraph"
"is stunned to see his own head on top of the voluptuous female form. Seconds","False","False","True","False","paragraph"
"later, a waiter walks by and is also wearing his head. His psychological response","False","False","True","False","paragraph"
"is predictably dire, and the terror only increases as he pans across the room and","False","False","True","False","paragraph"
"realizes that every single person in the restaurant, ranging from jazz singers to","False","False","True","False","paragraph"
"midgets, is wearing his head. He is literally trapped in a room full of identical","False","False","True","False","paragraph"
"twins behaving independently of his own intentions and actions. In Edgar Allan","False","False","True","False","paragraph"
"Poe’s William Wilson, the main character William meets another boy who shares","False","False","False","False","paragraph"
"his name (Poe 1839). Throughout the story, William’s double changes to act and","False","False","False","False","paragraph"
"look more like William. William grows frustrated with his double who is con-","False","False","True","False","paragraph"
"stantly mimicking him and giving him unsolicited advice and eventually stabs his","False","False","True","False","paragraph"
"double to death. Additionally, in a powerful scene in William Gibson’s","False","False","True","False","paragraph"
"Neuromancer (1984), one of the main characters, Riviera, forces a character","False","False","False","False","paragraph"
"named Molly to witness a hologram of herself perform a number of unspeakable","False","False","True","False","paragraph"
"acts. Molly’s physical self observes the interaction, but she cannot control the","False","False","True","False","paragraph"
"actions of the other version of herself.","False","False","True","False","paragraph"
"The above scenarios may seem like situations that would only be possible in","False","False","True","False","paragraph"
"science fiction, but if we take a close look at today’s digital media, we find that","False","False","True","False","paragraph"
"virtual versions of ourselves exist in many different places.","False","False","True","False","paragraph"
"J.N. Bailenson and K.Y. Segovia","False","False","True","True","paragraph"
"Stanford University","False","False","True","True","paragraph"
"e-mails: bailenson@gmail.com; kathrynyr@gmail.com","False","False","True","False","paragraph"
"W.S. Bainbridge (ed.), Online Worlds: Convergence of the Real and the Virtual, 175","False","False","False","False","paragraph"
"Human-Computer Interaction Series, DOI 10.1007/978-1-84882-825-4_14,","False","False","True","True","paragraph"
"© Springer-Verlag London Limited 2010","False","False","True","True","paragraph"
"176","False","False","True","True","paragraph"
"Doppelgangers","True","True","True","True","heading"
"J.N. Bailenson and K.Y. Segovia","False","False","True","True","paragraph"
"Doppelganger is the term that we will use throughout this chapter to refer to virtual","False","False","False","False","paragraph"
"versions of the self. Doppelganger is derived from the German language and is defined","False","False","True","False","paragraph"
"as any double or look-alike of a person. Throughout history, several famous individuals","False","False","True","False","paragraph"
"have reported seeing their doppelganger. For example, in 1860 as the U.S. presidential","False","False","True","False","paragraph"
"election results were rolling in, Abraham Lincoln reported seeing two versions of him-","False","False","True","False","paragraph"
"self in the reflection of a long piece of glass – one version’s face much paler than the","False","False","True","False","paragraph"
"other. After sharing this encounter with his wife, she supposedly predicted that the","False","False","True","False","paragraph"
"image of the doppelganger signified that Abraham would be elected to a second term","False","False","True","False","paragraph"
"as president but that he would not survive the second term (Sandburg 1954).","False","False","False","False","paragraph"
"A loose definition of digital doppelgangers exists in online and video games. In","False","False","True","False","paragraph"
"the Massively Multiplayer Online games (MMOs), which are described in a number","False","False","True","False","paragraph"
"of chapters in this volume, players get to design the appearance of their avatar that","False","False","True","False","paragraph"
"moves through the 3D virtual game. In many of these games, there are very few","False","False","True","False","paragraph"
"constraints for avatar creation and with the drag of a slider bar players can control","False","False","True","False","paragraph"
"their identity – height, weight, age, and even species.","False","False","True","False","paragraph"
"We also see avatars in traditional console video games. For example, players of","False","False","True","False","paragraph"
"the Nintendo Wii can design a virtual representation (“mii”) that resembles them on","False","False","True","False","paragraph"
"many dimensions (Ratan et al. 2007). The Play Station skateboarding video game,","False","False","False","False","paragraph"
"Tony Hawk’s Underground 2 Remix, also allows players to personalize their avatars","False","False","False","False","paragraph"
"by uploading photographs of their own face to the game console (Lum 2005). After","False","False","False","False","paragraph"
"the photographs are mapped onto the face of a generic character, players can then","False","False","True","False","paragraph"
"control their virtual representation just as any other generic video game character.","False","False","True","False","paragraph"
"In the previous examples, users could create and control avatars that looked like","False","False","True","False","paragraph"
"them. However, in many cases, users are not in control of their look-alike avatars;","False","False","True","False","paragraph"
"sometimes other players or algorithms take control. This is the case in which avatars","False","False","True","False","paragraph"
"become doppelgangers. In the online video game World of Warcraft (Morhaime","False","False","False","False","paragraph"
"2009), for example, players’ avatars can be “mind-controlled” by other players. In","False","False","False","False","paragraph"
"this situation, the player loses all control of his/her personal avatar and must watch","False","False","True","False","paragraph"
"for several seconds while his/her avatar is manipulated by another player – often","False","False","True","False","paragraph"
"with intentions of sabotage. We also see players’ avatars acting autonomously in","False","False","True","False","paragraph"
"some sports video games. In hockey and football games, the player can only control","False","False","True","False","paragraph"
"one player at a time. When a player relinquishes control of one avatar to take","False","False","True","False","paragraph"
"control of another, he/she passes the control of the first avatar to a computer algo-","False","False","True","False","paragraph"
"rithm. The avatar is still part of the player’s team, but is autonomously controlled.","False","False","True","False","paragraph"
"In another World of Warcraft example, some players possess pets that are semi-","False","False","False","False","paragraph"
"autonomous avatars. These pets mostly operate under the control of the player, but","False","False","True","False","paragraph"
"on occasion the pet will be sent on a mission where it must act autonomously. A com-","False","False","True","False","paragraph"
"puter algorithm guides the behavior of the pet during these missions while the","False","False","True","False","paragraph"
"player merely observes (not controls) the pet’s behavior. In sum, today’s video","False","False","True","False","paragraph"
"games allow for character building of characters, which look like the user, and also","False","False","True","False","paragraph"
"for algorithms to “take over” the behavior of the user.","False","False","True","False","paragraph"
"In the commercial world, digital doppelgangers can also be designed to","False","False","True","False","paragraph"
"look strikingly similar to the self. Through the use of digital photographs and","False","False","True","False","paragraph"
"14 Virtual Doppelgangers: Psychological Effects of Avatars Who Ignore Their Owners 177","False","False","True","True","paragraph"
"Fig. 14.1 Images and modeling techniques used in creating three-dimensional heads","False","False","False","False","paragraph"
"head-modeling software, an individual’s visage may be replicated. In one commer-","False","False","True","False","paragraph"
"cial example, Bruce Willis created multiple versions of himself in the online game","False","False","True","False","paragraph"
"Second Life to advertise his movie Die Hard (Kingdon 2007). In a recent popcorn","False","False","False","False","paragraph"
"commercial, an ad agency created a virtual version of the late Orville Redenbacher","False","False","True","False","paragraph"
"using old photographs (Advertising Age 2007). The virtual Orville was then portrayed","False","False","False","False","paragraph"
"as wearing a slim, new MP3 player – something the real Orville Redenbacher mostly","False","False","True","False","paragraph"
"likely had never done in his lifetime.","False","False","True","False","paragraph"
"Scholars in the Virtual Human Interaction Lab at Stanford University have been","False","False","True","True","paragraph"
"using similar modeling techniques to create digital doppelgangers for research","False","False","True","False","paragraph"
"purposes for the past decade. Figure 14.1 depicts an example of how digital dop-","False","False","False","False","paragraph"
"pelgangers are developed from photographs (Bailenson et al. 2004, 2008). The top","False","False","False","False","paragraph"
"left panel shows two photographs of a person, and the bottom left shows the anchor","False","False","True","False","paragraph"
"points manually placed on the photographs with photogrammetric software. The","False","False","True","False","paragraph"
"right panel shows the resulting 3D head, which is a mesh model with a texture","False","False","True","False","paragraph"
"wrapped around it. Although this transference is not flawless, it creates relatively","False","False","True","False","paragraph"
"accurate models of the human form.","False","False","True","False","paragraph"
"Theoretical Underpinnings","True","True","True","True","heading"
"As doppelgangers that behave autonomously, that is, independent of the users they were","False","False","True","False","paragraph"
"modeled after, become increasingly present in new forms of media, scholars in the field","False","False","True","False","paragraph"
"need to leverage traditional psychological theories to understand how humans may","False","False","True","False","paragraph"
"be affected by the seemingly bizarre concept of being confronted by a virtual version","False","False","True","False","paragraph"
"of one’s self. Below, we outline several relevant theories from the past 50 years.","False","False","True","False","paragraph"
"178","False","False","True","True","paragraph"
"J.N. Bailenson and K.Y. Segovia","False","False","True","True","paragraph"
"Social cognitive theory, originally known as social learning theory, posits that","False","False","True","False","paragraph"
"people learn by observing the behavior of models (Bandura 1977, 2001). Several","False","False","False","False","paragraph"
"factors, including the similarity of the model, the observer’s perceived ability to","False","False","True","False","paragraph"
"perform the behavior, and the rewards and punishments associated with that behavior,","False","False","True","False","paragraph"
