"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Bharti AXA General Insurance","True","False","True","True","heading"
"Company Limited","True","False","True","True","heading"
"( 080-49123900","False","False","False","True","paragraph"
": customer.service@bharti-axagi.co.in","False","False","False","False","paragraph"
"È SMS <SERVICE> to 5667700","False","False","False","False","paragraph"
"Smart DriveDrive - Two Wheeler","True","False","False","True","paragraph"
"- Policy Wordings","True","True","True","True","heading"
"Insurance","True","True","True","True","heading"
": www.bharti-axagi.co.in","False","False","False","False","paragraph"
"Policy","True","True","True","True","heading"
"Whereas the Insured by a proposal and declaration dated as stated in the","False","False","True","False","paragraph"
"Schedule which shall be the basis of this contract and is deemed to be","False","False","True","False","paragraph"
"incorporated herein has applied to Bharti AXA General Insurance Co. Ltd.","False","False","True","False","paragraph"
"(hereinafter referred to as “the Company”) for insurance hereinafter contained","False","False","True","False","paragraph"
"and has paid the premium mentioned in the schedule as consideration for such","False","False","True","False","paragraph"
"insurance in respect of accident loss or damage occurring during the Period of","False","False","True","False","paragraph"
"Insurance.","False","False","True","True","paragraph"
"(The term two wheeler referred to in this Tariff will include motor","False","False","False","False","paragraph"
"cycle/scooter/auto cycle or any other motorized two wheeled vehicle mentioned","False","False","True","False","paragraph"
"in the Schedule.)","False","False","True","True","paragraph"
"Now This Policy Witnesseth:","False","False","True","True","heading"
"That subject to the Terms Exceptions and Conditions contained herein or","False","False","True","False","paragraph"
"endorsed or otherwise expressed hereon.","False","False","True","False","paragraph"
"Section I: Loss of or Damage to The Vehicle Insured","False","False","True","True","heading"
"The Company will indemnify the insured against loss or damage to the vehicle","False","False","True","False","paragraph"
"insured hereunder and/or its accessories whilst thereon","False","False","True","False","paragraph"
"i) by fire explosion self ignition or lightning;","False","False","True","False","paragraph"
"ii) by burglary housebreaking or theft;","False","False","True","False","paragraph"
"iii) by riot and strike;","False","False","True","False","paragraph"
"iv) by earthquake (fire and shock damage);","False","False","True","False","paragraph"
"v) by flood typhoon hurricane","False","False","True","False","paragraph"
"hailstorm frost;","False","False","True","False","paragraph"
"vi) by accidental external means;","False","False","True","False","paragraph"
"vii) by malicious act;","False","False","True","False","paragraph"
"viii) by terrorist activity;","False","False","True","False","paragraph"
"storm tempest inundation cyclone","False","False","True","False","paragraph"
"ix) whilst in transit by road rail inland- waterway lift elevator or air;","False","False","True","False","paragraph"
"x) by landslide rockslide.","False","False","True","False","paragraph"
"Subject to a deduction for depreciation at the rates mentioned below in respect","False","False","True","False","paragraph"
"of parts replaced;","False","False","True","False","paragraph"
"For all rubber/ nylon/ plastic parts, tyres,","False","False","True","False","paragraph"
"tubes and batteries","False","False","True","False","paragraph"
"50%","False","False","True","True","paragraph"
"For fibre glass components 30%","False","False","True","False","paragraph"
"For all parts made of glass","False","False","True","False","paragraph"
"Rate of depreciation for all other","False","False","True","False","paragraph"
"will be as per the following schedule:","False","False","True","False","paragraph"
"Bharti AXA General Insurance Co. Ltd.","False","False","True","True","paragraph"
"Nil","False","False","True","True","paragraph"
"parts including wooden parts","False","False","True","False","paragraph"
"First Floor, Ferns Icon, Survey No. 28, Doddanekundi, Bangalore- 560 037.","False","False","True","True","paragraph"
"ST Registration No.: AADCB2008DST001 Co. Registration No.: U66030KA2007PLC043362","False","False","True","True","paragraph"
"Rate of Depreciation for painting: In the case of painting, the depreciation rate","False","False","False","False","paragraph"
"of 50% shall be applied only on the material cost of total painting charges. In case","False","False","True","False","paragraph"
"of a consolidated bill for painting charges, the material component shall be","False","False","True","False","paragraph"
"considered as 25% of total painting charges for the purpose of applying the","False","False","True","False","paragraph"
"depreciation.","False","False","True","False","paragraph"
"The Company shall not be liable to make any payment in respect of:","False","False","True","False","paragraph"
"a) Consequential loss, depreciation, wear and tear, mechanical or","False","False","True","False","paragraph"
"electrical breakdown failures or breakages;","False","False","True","False","paragraph"
"b) Damage to Tyres and Tubes unless the vehicle insured is damaged at","False","False","True","False","paragraph"
"the same time in which case the liability of the Company shall be limited","False","False","True","False","paragraph"
"to 50% of the cost of replacement.","False","False","True","False","paragraph"
"c) Loss of or damage to accessories by burglary housebreaking or theft","False","False","True","False","paragraph"
"unless the vehicle is stolen at the same time; and","False","False","True","False","paragraph"
"d) Any accidental loss or damage suffered whilst the insured or any","False","False","True","False","paragraph"
"person driving the vehicle with the knowledge and consent of the","False","False","True","False","paragraph"
"insured is under the influence of intoxicating liquor or drugs.","False","False","True","False","paragraph"
"In the event of the vehicle being disabled by reason of loss or damage covered","False","False","True","False","paragraph"
"under this Policy the Company will bear the reasonable cost of protection and","False","False","True","False","paragraph"
"removal to the nearest repairer and of redelivery to the Insured but not exceeding","False","False","True","False","paragraph"
"in all Rs.300/- in respect of any one accident.","False","False","True","False","paragraph"
"The insured may authorise the repair of the vehicle necessitated by damage for","False","False","True","False","paragraph"
"which the Company may be liable under this Policy provided that:-","False","False","True","False","paragraph"
"a) the estimated cost of such repair including replacements, if any, does","False","False","True","False","paragraph"
"not exceed Rs.150/-","False","False","True","False","paragraph"
"b) the Company is furnished forthwith a detailed estimate of the cost of","False","False","True","False","paragraph"
"repairs and","False","False","True","False","paragraph"
"c) the insured shall give the Company every assistance to see that such","False","False","True","False","paragraph"
"repair is necessary and the charges are reasonable.","False","False","True","False","paragraph"
"1 of 4","True","False","False","True","paragraph"
