"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"THE BUDGET MESSAGE","True","False","True","True","heading"
"To The Congress of The UniTed sTaTes:","False","False","False","False","paragraph"
"OF THE PRESIDENT","True","False","True","True","heading"
"In one year of working together, we have laid the foundation for a new era of American Greatness.","False","False","True","False","paragraph"
"We have boosted economic growth, created more than two million jobs, and added nearly $5 trillion","False","False","True","False","paragraph"
"in new wealth to the stock market. Unemployment is at a 17-year low, wages are rising, and jobs","False","False","True","False","paragraph"
"are returning to America. Starting this month, hardworking Americans are going to see increased","False","False","True","False","paragraph"
"take home pay because of the massive tax cuts and tax reform legislation we enacted at the end of","False","False","True","False","paragraph"
"last year.","False","False","True","False","paragraph"
"America is back to winning again. A great spirit of optimism continues to sweep across our","False","False","True","False","paragraph"
"Nation. Americans can once again be truly confident that our brightest days are ahead of us.","False","False","True","False","paragraph"
"This year’s Budget builds upon our incredible successes over the past year and rests on the fol-","False","False","True","False","paragraph"
"lowing pillars of reform:","False","False","True","False","paragraph"
"Ending Wasteful Spending. The United States is laboring under the highest level of debt held","False","False","False","False","paragraph"
"by the public since shortly after the Second World War. The current fiscal path is unsustainable,","False","False","True","False","paragraph"
"and future generations deserve better. The Budget makes the hard choices needed to stop wasteful","False","False","True","False","paragraph"
"spending, lower the national debt, and focus Government on what matters most—protecting the","False","False","True","False","paragraph"
"Nation.","False","False","True","True","paragraph"
"Expanding Economic Growth and Opportunity. The Budget continues our efforts to grow","False","False","False","False","paragraph"
"the economy, create millions of new jobs, and raise wages. To accompany our efforts to cut spending","False","False","True","False","paragraph"
"and implement massive tax cuts and reforms for American families, workers, and businesses, we","False","False","True","False","paragraph"
"will continue to relentlessly target unnecessary regulations for elimination. We will also continue","False","False","True","False","paragraph"
"driving America toward energy dominance and making the United States a net energy exporter by","False","False","True","False","paragraph"
"2026.","False","False","True","True","paragraph"
"The Budget also redefines what is possible, by putting the American economy on a path to sus-","False","False","True","False","paragraph"
"tainable 3-percent long-term economic growth. Over the next decade, a steady rate of 3-percent eco-","False","False","True","False","paragraph"
"nomic growth will infuse trillions of additional dollars into our economy, fueling the dreams of the","False","False","True","False","paragraph"
"American people and sustaining a new era of American Greatness.","False","False","True","False","paragraph"
"Preserving Peace Through Strength. The Budget recognizes that we confront political, eco-","False","False","False","False","paragraph"
"nomic, and military adversaries and competitors that have required us to adjust our national se-","False","False","True","False","paragraph"
"curity strategy. Foremost, the Budget rebuilds and modernizes the military—to fulfill a core con-","False","False","True","False","paragraph"
"stitutional responsibility of the Federal Government. The Budget provides resources to enhance","False","False","True","False","paragraph"
"missile defense and to build the planes, tanks, warships, and cyber tools that the brave men and","False","False","True","False","paragraph"
"women who defend us need to deter aggression and, when necessary, to fight and win. Most impor-","False","False","True","False","paragraph"
"tantly, the Budget provides funds to increase the size of our Armed Forces and to give our men and","False","False","True","False","paragraph"
"women in uniform a well-earned pay raise. The Budget recognizes that we must deftly employ all","False","False","True","False","paragraph"
"of our tools of statecraft—diplomatic, intelligence-related, military, and economic—to compete and","False","False","True","False","paragraph"
"1","False","False","True","True","paragraph"
"2","False","False","True","True","paragraph"
"THE BUDGET MESSAGE OF THE PRESIDENT","False","False","True","True","heading"
"advance American influence. A world that supports American interests and reflects our values makes","False","False","True","False","paragraph"
"America more secure and prosperous.","False","False","True","False","paragraph"
"Building the Wall, Dismantling Transnational Criminal Organizations, and Enforcing","False","False","True","True","paragraph"
"Our Immigration Laws. The Budget reflects my Administration’s serious and ongoing commit-","False","False","False","False","paragraph"
"ment to fully secure our border, take the fight to criminal gangs like MS-13, and make our immigra-","False","False","True","False","paragraph"
"tion system work for Americans. The Budget provides funding for a wall on our Southwest border","False","False","True","False","paragraph"
"and additional resources for law enforcement at the Departments of Homeland Security and Justice.","False","False","True","False","paragraph"
"The Budget also funds an increase in the number of Immigration and Customs Enforcement officers,","False","False","True","False","paragraph"
"Border Patrol agents, and immigration judges to improve enforcement at the border and within the","False","False","True","False","paragraph"
"United States.","False","False","True","True","paragraph"
"Rebuilding our Infrastructure. World-class infrastructure is possible for the American people.","False","False","False","False","paragraph"
"Together we will build stunning new bridges, railways, waterways, tunnels, water treatment facili-","False","False","True","False","paragraph"
"ties, and highways. The Budget reflects a new vision for American infrastructure that would generate","False","False","True","False","paragraph"
"$1 trillion in infrastructure investment and speed its delivery to the American people.","False","False","True","False","paragraph"
"Supporting American Working Families. Due to changes in family structures, labor force com-","False","False","False","False","paragraph"
"position, and participation rates, the demands on American families have never been more complex","False","False","True","False","paragraph"
"or expensive to address. In addition to the middle income tax relief achieved with the passage of tax","False","False","True","False","paragraph"
"reform, the Budget reflects the importance of investing in American working families by making paid","False","False","True","False","paragraph"
"family leave available to new parents, investing in effective approaches to skills training like formal","False","False","True","False","paragraph"
"apprenticeships, and maintaining Federal funding and leveraging additional State dollars for pro-","False","False","True","False","paragraph"
"grams that help America’s working families access and afford child care. With these strategic invest-","False","False","True","False","paragraph"
"ments, the Budget empowers Americans to thrive in our modern economy.","False","False","True","False","paragraph"
"Protecting Our Veterans. The Budget fulfills our promise and obligation to care for our veterans","False","False","False","False","paragraph"
"and their families—men and women who answered our Nation’s call for help and sacrificed so much","False","False","True","False","paragraph"
"to defend us. Our veterans have earned nothing less than the absolute best care and benefits after","False","False","True","False","paragraph"
"their service has ended, and the Budget provides the funding necessary to treat them with the honor","False","False","True","False","paragraph"
"and respect they deserve. It is our Nation’s duty to ensure veterans have access to the medical treat-","False","False","True","False","paragraph"
"ment they need, when they need it—and that they have a choice when it comes to their care. The","False","False","True","False","paragraph"
"Budget also ensures that veterans receive training and support to re-enter the workforce and find","False","False","True","False","paragraph"
"well-paying jobs.","False","False","True","False","paragraph"
"Combatting Opioid Addiction. More Americans died from drug overdoses in 2016 than those","False","False","False","False","paragraph"
"who lost their lives in the Vietnam War. Opioids caused the overwhelming majority of these deaths,","False","False","True","False","paragraph"
"which is why my Administration has declared a nationwide Public Health Emergency with respect to","False","False","True","False","paragraph"
"opioids. The Budget reflects a solemn and unshakable commitment to liberate communities from the","False","False","True","False","paragraph"
"scourge of opioids and drug addiction.","False","False","True","False","paragraph"
"Fighting High Medical Drug Prices. Many patients face illness that could be cured or man-","False","False","False","False","paragraph"
"aged with the right medical drugs. But the prices for the drugs they need are often exorbitant.","False","False","True","False","paragraph"
"Unnecessarily high drug prices force many patients to choose between going without the medicines","False","False","True","False","paragraph"
"they need or making tremendous financial sacrifices. In addition, taxpayers all too often are left","False","False","True","False","paragraph"
"to pay inflated prices for drugs for patients who obtain them through Government programs. The","False","False","True","False","paragraph"
"Budget proposes new strategies to address high drug prices and increase access to drugs by address-","False","False","True","False","paragraph"
"ing perverse payment incentives and exposing drug companies to more aggressive competition, all","False","False","True","False","paragraph"
"while continuing to promote innovation and extend American dominance in the pharmaceutical field.","False","False","True","False","paragraph"
"Moving from Welfare to Work. Millions of our fellow Americans have been robbed of the dig-","False","False","False","False","paragraph"
"nity and independence that comes through the opportunity to work. Despite significant economic","False","False","True","False","paragraph"
"THE BUDGET FOR FISCAL YEAR 2019","False","False","True","True","paragraph"
"3","False","False","True","True","paragraph"
"improvements and a strong recovery in the job market, enrollment in welfare programs remains","False","False","True","False","paragraph"
"stubbornly high in many places around the Nation. Millions of Americans are in a tragic state of de-","False","False","True","False","paragraph"
"pendency on a welfare system that does not reward work, and in many cases, pays people not to work.","False","False","True","False","paragraph"
"These programs, expanded during the previous administration, must now be reformed. While mov-","False","False","True","False","paragraph"
"ing able-bodied Americans back into the workforce, welfare reform must also protect public resources","False","False","True","False","paragraph"
"for the truly needy, especially the low-income elderly, children, and Americans with disabilities. The","False","False","True","False","paragraph"
"Budget includes sensible reforms to problems in our current welfare system, and aims to end debili-","False","False","True","False","paragraph"
"tating dependency while ensuring that our safety net is reserved for those Americans who truly need","False","False","True","False","paragraph"
"help.","False","False","True","False","paragraph"
"More Pathways to Affordable Education and Well-Paying Jobs. The Budget takes impor-","False","False","False","False","paragraph"
"tant steps to expand opportunities for Americans to access affordable, employment-relevant educa-","False","False","True","False","paragraph"
"tion that puts them on the path to a well-paying job and, ultimately, a fulfilling career. The Budget","False","False","True","False","paragraph"
"promotes formal apprenticeships, an evidence-based system that allows individuals to “earn-while","False","False","True","False","paragraph"
"they learn.” The Budget also makes important investments in science, technology, engineering, and","False","False","True","False","paragraph"
"mathematics (STEM) education in K-12 schools, and supports career and technical education in high","False","False","True","False","paragraph"
"schools and postsecondary institutions.","False","False","True","False","paragraph"
"Promoting School Choice. So many of America’s poorest children—especially African-American","False","False","False","False","paragraph"
"and Hispanic children—attend failing public schools that afford them little hope of fulfilling their","False","False","True","False","paragraph"
"great potential. That is why families should be free to choose the public, private, charter, magnet,","False","False","True","False","paragraph"
"religious, or home school option that is right for them. The Budget empowers parents, especially of","False","False","True","False","paragraph"
"our disadvantaged youth, to choose the very best school for their children.","False","False","True","False","paragraph"
"* * * * *","False","False","True","True","paragraph"
"The Budget reflects our commitment to the safety, prosperity, and security of the American people.","False","False","True","False","paragraph"
"The more room our economy has to grow, and the more American companies are freed from constrict-","False","False","True","False","paragraph"
"ing over-regulation, the stronger and safer we become as a Nation.","False","False","True","False","paragraph"
"It is now up to the Congress to act. I pledge my full cooperation in unleashing the incredible and","False","False","True","False","paragraph"
"unparalleled potential of the American people. There is no limit to the promise of America when we","False","False","True","False","paragraph"
"keep our commitments to our fellow Americans and continue to put their interests first. Working","False","False","True","False","paragraph"
"together, we will do just that.","False","False","True","False","paragraph"
"The WhiTe hoUse,","False","False","True","False","paragraph"
"febrUary 2018","False","False","False","False","paragraph"
"DONALD J. TRUMP","False","False","True","True","paragraph"
