"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"raloorit","True","False","True","False","paragraph"
"PLACA DE","True","False","False","True","paragraph"
"fea","True","False","True","True","paragraph"
"bar","True","False","True","True","heading"
"LA PAU, S/N","True","False","False","True","paragraph"
"08940 CORNELLA DE","True","False","False","True","paragraph"
"www.","True","False","True","True","paragraph"
"faborit.com","True","False","True","False","paragraph"
"LLOBREGA","True","False","True","True","paragraph"
"WIFI: faborit","True","False","False","False","paragraph"
"CLAU:","True","False","True","True","paragraph"
"FACT.SMPL: T001/374135","True","False","False","True","paragraph"
"C.E:F.: CEF]","True","False","False","False","paragraph"
"Set","True","False","True","True","paragraph"
"MENU ESMORZAR","True","False","True","True","paragraph"
"| CAPPUCCINO MUG","True","False","False","True","paragraph"
"| CROISSANT","True","False","False","True","paragraph"
"ee pre see ert","False","False","False","True","paragraph"
"ue","False","False","True","True","paragraph"
"ER T","False","False","False","True","paragraph"
"ae","False","False","True","True","paragraph"
"Co Gien cbt srt ert rt eet","True","False","False","True","paragraph"
"dt AU mr","True","False","False","True","paragraph"
"heu mous mi","True","False","False","True","paragraph"
"mt","False","False","True","True","paragraph"
"=","False","False","True","True","paragraph"
"in","True","False","True","True","paragraph"
"mn","False","False","True","True","paragraph"
"ram","False","False","True","True","paragraph"
"BASE au","True","False","False","True","paragraph"
"a","False","False","True","True","paragraph"
"caferesponsable","True","False","True","False","paragraph"
"DATA: 28/11/2019","True","False","False","True","paragraph"
"HORA: 12:08","True","False","False","True","paragraph"
"=","True","False","True","True","paragraph"
"IMPORT","True","False","True","True","paragraph"
"2, 60","True","False","False","True","paragraph"
"2,60","True","False","True","True","paragraph"
"0,70","True","False","True","True","paragraph"
"IMPOSABLE A PA ie","True","False","False","True","paragraph"
"Gale aS On pm","True","False","False","True","paragraph"
"am","False","False","True","True","paragraph"
"‘","False","False","True","True","paragraph"
"0,70","True","False","True","True","paragraph"
"iene mm ent pote count att","False","False","True","False","paragraph"
"[Se","False","False","True","True","paragraph"
"nes joe Lot mate","False","False","True","True","paragraph"
"mé","False","False","True","True","paragraph"
"amené etes","False","False","True","False","paragraph"
"3,00","True","False","True","True","paragraph"
"IMPUESTO","True","False","True","True","paragraph"
"10%","True","False","True","True","paragraph"
"0,30","True","False","True","True","paragraph"
"tL","True","False","True","True","paragraph"
"ddl","True","False","True","True","paragraph"
"ae","True","False","True","True","paragraph"
"B87702999","True","False","True","True","paragraph"
"TARGETA","True","False","True","True","paragraph"
"[MPOSTOS","True","False","True","False","paragraph"
"AGRAIM LA","True","False","False","True","paragraph"
"LLTURAT","True","False","True","True","paragraph"
"3,30","True","False","True","True","heading"
"INCLOSOS","True","False","True","True","paragraph"
"SEVA VISITA","True","False","False","True","paragraph"
"FABORIT WIC CORNELLA,","True","False","False","True","paragraph"
"CANVI","True","False","True","True","paragraph"
"0,00","True","False","True","True","paragraph"
"ax","True","False","True","True","paragraph"
"S.L.U.","True","False","True","False","paragraph"
"ALLER","True","False","True","True","paragraph"
"ee moe ee eee eee","False","False","False","True","paragraph"
"md","False","False","True","True","paragraph"
"ben ue teres mee, Des","False","False","False","False","paragraph"
"bon pi nt pr eee ie _—","False","False","False","True","paragraph"
"ee","False","False","True","True","paragraph"
