"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"The sample size required for each State for various investigations among different","False","False","True","False","paragraph"
"target groups of individuals are given below:","False","False","True","False","paragraph"
"Investigations No. of","False","True","True","True","paragraph"
"HHs","False","True","True","True","paragraph"
"Anthropometry","False","False","True","True","paragraph"
"Age/Sex/","False","True","True","True","paragraph"
"Physiological Group","False","True","True","True","paragraph"
"Preva- C.I* Relative Sample size","False","True","True","True","paragraph"
"lence Precision per State","False","True","True","False","paragraph"
"Clinical Examination","False","False","True","True","paragraph"
"History of morbidity","False","False","True","False","paragraph"
"Diet survey","False","False","True","False","paragraph"
"Blood Pressure #","False","False","True","True","paragraph"
"Fasting blood glucose","False","False","True","False","paragraph"
"Knowledge &","False","False","True","True","paragraph"
"Practices on HTN &","False","False","True","True","paragraph"
"DM","False","False","True","True","paragraph"
"2400 All the available individuals","False","False","True","False","paragraph"
"1200 All the individuals partaking meals in the HH","False","False","True","False","paragraph"
"Men (≥ 18yrs)","False","False","True","True","paragraph"
"2400","False","False","True","True","paragraph"
"Women (≥ 18 yrs)","False","False","True","True","paragraph"
"Men (≥ 18 yrs)","False","False","True","True","paragraph"
"2400","False","False","True","True","paragraph"
"Women (≥ 18 yrs)","False","False","True","True","paragraph"
"2400 Men (≥ 18 yrs)","False","False","True","True","paragraph"
"2400 Women (≥ 18 yrs)","False","False","True","True","paragraph"
"1728","False","False","True","True","paragraph"
"10% 95% 20%","False","False","True","True","paragraph"
"1728","False","False","True","True","paragraph"
"1825","False","False","True","True","paragraph"
"5% 95% 20%","False","False","True","True","paragraph"
"1825","False","False","True","True","paragraph"
"- - 1728","False","False","True","True","paragraph"
"- - 1728","False","False","True","True","paragraph"
"*CI: Confidence Interval # Design effect 2","False","False","True","False","paragraph"
"3.4.2. Measurement of blood pressure","False","True","True","False","paragraph"
"Earlier studies have revealed that the prevalence of hypertension among the rural","False","False","True","False","paragraph"
"adults of ≥18 years in the State of Gujarat was 10%3 which was lowest compared to","False","False","True","False","paragraph"
"other NNMB States. Assuming 10% prevalence of hypertension among rural adults,","False","False","True","False","paragraph"
"with 95% confidence interval, 20% relative precision and design effect of 2, the sample","False","False","True","False","paragraph"
"size computed for each State was 1,728 adults in each gender.","False","False","True","False","paragraph"
"3.4.3. Estimation of fasting blood glucose","False","True","True","False","heading"
"Earlier studies have revealed that the overall prevalence of diabetes among the","False","False","True","False","paragraph"
"rural adults of ≥18 years was about 5%3. Assuming 5% prevalence of diabetes among","False","False","True","False","paragraph"
"rural adults, with 95% confidence interval and 20% relative precision, the sample size","False","False","True","False","paragraph"
"computed was 1,825 adults in each gender.","False","False","True","False","paragraph"
"3.5. Investigations","False","True","True","True","heading"
"The following investigations were carried out in the selected HHs:","False","False","True","False","paragraph"
"3.5.1. Socio-economic and demographic particulars of households","False","True","True","False","heading"
"Socioeconomic and demographic particulars, such as age, sex, occupation, annual","False","False","True","False","paragraph"
"family income, family size, type of family, literacy level of individuals, information about","False","False","True","False","paragraph"
"possession of agricultural land, types of crops raised, their yield during previous year,","False","False","True","False","paragraph"
"live stock, type of dwelling, environmental sanitation etc. from all the selected 20 HHs","False","False","True","False","paragraph"
"were collected using pre-tested questionnaires.","False","False","True","False","paragraph"
"NNMB","False","False","True","True","paragraph"
"3 Rural-Third Repeat Survey 2011-12","False","False","True","True","paragraph"
