"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"at","False","False","True","True","paragraph"
"|","True","False","True","True","paragraph"
"|","True","False","True","True","paragraph"
"!","False","False","True","True","paragraph"
"Av.","False","False","True","True","paragraph"
"Cw 7 :","False","False","False","True","paragraph"
"#","False","False","True","True","paragraph"
"8] A /","True","False","False","True","paragraph"
"O L/","True","False","False","True","paragraph"
"CaixaBank","True","False","True","True","heading"
"Sandra Tamborero","True","False","False","True","heading"
"Store Parallel","False","False","False","True","paragraph"
"stamborero@caixabank.com","False","False","True","False","paragraph"
"Paral-lel, 122","True","False","False","True","paragraph"
"Tel. +34","True","False","False","True","paragraph"
"Bis 08015 Barcelona","False","False","False","True","paragraph"
"659 512 916","True","False","False","True","paragraph"
"=","False","False","True","True","paragraph"
"www.CaixaBank.es","True","False","True","False","paragraph"
"SS.","True","False","True","True","paragraph"
"|","False","False","True","True","paragraph"
