"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"What is the Cost of Building a Subway?","True","False","True","True","heading"
"Alon Levy","False","False","True","True","paragraph"
"Table of Contents","True","False","True","True","heading"
"Introduction","False","False","True","True","heading"
"Literature Review","False","False","True","True","heading"
"The Data","False","False","True","True","heading"
"Analysis","False","False","True","True","paragraph"
"Synthesis","False","False","True","True","heading"
"Further Research","False","False","True","True","heading"
"Introduction","True","False","True","True","heading"
"In the 2010s, New York opened two subway extensions (7","False","False","True","False","paragraph"
"extension, Second Avenue Subway) for $1.3-1.6 billion/km.","False","False","True","False","paragraph"
"This decade, Paris has built several M´etro extensions (M4, M12 in","False","False","True","False","paragraph"
"service; M1, M11, GPX under construction) for around $250","False","False","True","False","paragraph"
"million/km.","False","False","True","False","paragraph"
"The most recent Madrid Metro extensions (L2, L9) cost $85","False","False","True","False","paragraph"
"million/km.","False","False","True","False","paragraph"
"The big question: why?","False","False","False","False","paragraph"
"What does this mean?","True","False","True","False","heading"
"New York is planning to have spent around $35 billion between","False","False","True","False","paragraph"
"2005 and 2030 on subway and commuter rail expansion. But it’s","False","False","True","False","paragraph"
"only getting 15 km of new tunnel!","False","False","True","False","paragraph"
"Paris is spending a similar amount over the same period: e40","False","False","True","False","paragraph"
"billion, for a total of 228 km, 187 underground.","False","False","True","False","paragraph"
"Madrid, a much smaller city, spent e10 billion in 1995-2015 on","False","False","True","False","paragraph"
"234 km, around 180 underground.","False","False","True","False","paragraph"
"The limiting factor to subway expansion is cost.","False","False","True","False","paragraph"
"Why?","True","False","True","True","heading"
"This is the $2 billion question! The data can help answer","False","False","True","False","paragraph"
"important questions:","False","False","True","False","paragraph"
"Is New York building inherently more diﬃcult projects?","False","False","True","False","paragraph"
"Where else are costs high? Where are they low?","False","False","True","False","paragraph"
"Are high costs caused by geological and geographic factors?","False","False","True","False","paragraph"
"Are deep institutional factors (e.g. health care, legal system)","False","False","True","False","paragraph"
"involved?","False","False","True","False","paragraph"
"Is this about cheaper construction methods?","False","False","True","False","paragraph"
"Can anything be done about the problem?","False","False","True","False","paragraph"
"Good news: it appears the problem is, at least in theory, solvable!","False","False","True","False","paragraph"
"Lit review: cost overruns","True","False","True","False","paragraph"
"There has been extensive study of cost overruns from the initial","False","False","False","False","paragraph"
"budget:","False","False","True","False","paragraph"
"Pickrell 1990, 1992: American urban rail; see more recent","False","False","True","False","paragraph"
"revision by Hardy-Doh-Yuan-Zhou-Button 2009.","False","False","True","False","paragraph"
"Fouracre-Allport-Thomson 1990: developing-world metros.","False","False","True","False","paragraph"
"Flyvbjerg on strategic misrepresentation (i.e. lying):","False","False","True","False","paragraph"
"Flyvbjerg-Bruzelius-Rothengatter’s Megaprojects and Risk","False","False","False","True","paragraph"
"2003, Flyvberg-Holm-Buhl 2002-5, etc.","False","False","True","True","paragraph"
"These studies ﬁnd that costs tend to run over, but don’t compare","False","False","True","False","paragraph"
"absolute costs. But they give us one caution: we should be wary of","False","False","True","False","paragraph"
"old ex ante data.","False","False","False","False","paragraph"
"Lit review: absolute costs","True","False","True","False","heading"
"Some studies of absolute costs of urban rail:","False","False","False","False","paragraph"
"Flyvbjerg-Bruzelius-van Wee 2008: small N, all in developed","False","False","False","False","paragraph"
"countries, mixed subways/els. This study ﬁnds a small US","False","False","True","False","paragraph"
"premium, but the US lines compared are easier to build than","False","False","True","False","paragraph"
"some of the European lines.","False","False","True","False","paragraph"
"Gordon-Schleicher 2015: bigger N, covering poor and rich","False","False","False","False","paragraph"
"countries, about 1990-2015. They ﬁnd a large US premium","False","False","True","False","paragraph"
"and a small but signiﬁcant positive regression of GDP per","False","False","True","False","paragraph"
"capita on costs.","False","False","True","False","paragraph"
"RPA 2018: several case studies in North America and Europe.","False","False","True","False","paragraph"
"Madrid’s formula","True","False","True","False","paragraph"
"Manuel Melis Maynar was president of Madrid Metro in","False","False","True","False","paragraph"
"1998-2009. In 2003, he gave a report on how Madrid expanded its","False","False","True","False","paragraph"
"Metro for such low cost:","False","False","True","False","paragraph"
"Contracts are awarded based on a technical score (50%),","False","False","True","False","paragraph"
"speed (20%), and cost (30%).","False","False","True","False","paragraph"
"Designs are streamlined, conservative, and reused between","False","False","True","False","paragraph"
"diﬀerent lines.","False","False","True","False","paragraph"
"Stations are built as shallow as possible.","False","False","True","False","paragraph"
"Contracts are itemized, not awarded by lump sum, so change","False","False","True","False","paragraph"
"orders come pre-negotiated (see also Ryan 2019 on Indian","False","False","True","False","paragraph"
"power plants).","False","False","True","False","paragraph"
"Design and construction are awarded to diﬀerent ﬁrms—no","False","False","True","False","paragraph"
"design-build.","False","False","True","False","paragraph"
"In-house oversight—no consultants.","False","False","True","False","paragraph"
"The data","True","False","True","True","heading"
"The primary source for this talk is a new dataset of diﬀerent urban","False","False","True","False","paragraph"
"rail lines and their costs. Some key attributes:","False","False","True","False","paragraph"
"The table covers 205 distinct items totaling 3,600 km of","False","False","True","False","paragraph"
"urban rail.","False","False","True","False","paragraph"
"About 40 countries are represented. The dataset is fairly","False","False","True","False","paragraph"
"complete in the developed world for lines built since the 1990s","False","False","True","False","paragraph"
"but has gaps elsewhere, especially in China.","False","False","True","False","paragraph"
"Most lines are recent: about 2/3 are still under construction or","False","False","True","False","paragraph"
"in planning, forcing the use of ex ante and in medio sources.","False","False","False","False","paragraph"
"The sources are predominantly popular and trade media, and","False","False","True","False","paragraph"
"secondarily agency plans and public documents.","False","False","True","False","paragraph"
"Figures exclude rolling stock whenever possible.","False","False","True","False","paragraph"
"Important line characteristics","True","False","True","False","heading"
"The data table focuses on cost/km, but mentions three additional","False","False","True","False","paragraph"
"characteristics to avoid confounders:","False","False","True","False","paragraph"
"The proportion of the line that is in tunnel.","False","False","True","False","paragraph"
"Number of stations: stations are a key part of construction","False","False","True","False","paragraph"
"costs, esp. at the high end (about 75% of SAS’s costs).","False","False","True","False","paragraph"
"Whether the line is regional rail (RR) or metro: RR","False","False","True","False","paragraph"
"consistently costs more (RER vs. M´etro, Crossrail vs.","False","False","True","False","paragraph"
"Underground, Gateway/ESA vs. SAS, etc.).","False","False","True","False","paragraph"
"The analysis focuses on metros, since few items in the table are","False","False","True","False","paragraph"
"RR.","False","False","True","True","paragraph"
"Line centrality","True","False","True","False","heading"
"Two additional characteristics, not mentioned in the table:","False","False","True","False","paragraph"
"Line centrality: hard to deﬁne precisely, but tunnels cost more","False","False","True","False","paragraph"
"in city center (inc. RR) than in outlying areas. One potential","False","False","True","False","paragraph"
"metric: number of crossings of older lines.","False","False","True","False","paragraph"
"Construction method: cut-and-cover is cheaper than bored","False","False","True","False","paragraph"
"tunnel with cut-and-cover stations (by a factor of 1.5-2),","False","False","True","False","paragraph"
"which is cheaper than bored tunnel with mined stations. But","False","False","True","False","paragraph"
"this data isn’t available in every city.","False","False","True","False","paragraph"
"These are related: city center costs are higher partly because it’s","False","False","True","False","paragraph"
"harder to cut-and-cover. Paris M1 and M12 extension stations cost","False","False","True","False","paragraph"
"e90 million apiece, but RER E La D´efense is e450 million.","False","False","True","False","paragraph"
"SAS Phase 1 stations were deep-mined at around $750 million","False","False","True","False","paragraph"
"each, but they could have been built as shallow cut-and-cover!","False","False","True","False","paragraph"
"Analysis: preliminary observations","True","False","True","False","paragraph"
"Several preliminary observations:","False","False","True","False","paragraph"
"Costs are citywide, that is similar across subways in the same","False","False","False","False","paragraph"
"city.","False","False","True","False","paragraph"
