"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"References","True","False","True","True","heading"
"[1] Narendra Ahuja and Sinisa Todorovic. Learning the taxonomy and models of categories present in arbi-","False","False","True","False","paragraph"
"trary images. In International Conference on Computer Vision, 2007.","False","False","False","False","paragraph"
"[2] Yoshua Bengio. Learning deep architectures for ai.","False","False","True","False","paragraph"
"2(1):1–127, 2009.","False","False","True","True","paragraph"
"Foundations and Trends R? in Machine Learning,","False","False","False","True","paragraph"
"[3] Dan Ciresan, Alessandro Giusti, Juergen Schmidhuber, et al. Deep neural networks segment neuronal","False","False","True","False","paragraph"
"membranes in electron microscopy images. In Advances in Neural Information Processing Systems 25,","False","False","False","False","paragraph"
"2012.","False","False","True","True","paragraph"
"[4] Navneet Dalal and Bill Triggs. Histograms of oriented gradients for human detection. In Computer Vision","False","False","False","False","paragraph"
"and Pattern Recognition, 2005.","False","False","False","True","paragraph"
"[5] J. Deng, W. Dong, R. Socher, L.-J. Li, K. Li, and L. Fei-Fei. ImageNet: A Large-Scale Hierarchical","False","False","True","False","paragraph"
"Image Database. In Computer Vision and Pattern Recognition, 2009.","False","False","False","True","paragraph"
"[6] John Duchi, Elad Hazan, and Yoram Singer. Adaptive subgradient methods for online learning and","False","False","True","False","paragraph"
"stochastic optimization. In Conference on Learning Theory. ACL, 2010.","False","False","False","False","paragraph"
"[7] M. Everingham, L. Van Gool, C. K. I. Williams, J. Winn, and A. Zisserman. The pascal visual object","False","False","True","False","paragraph"
"classes (voc) challenge. International Journal of Computer Vision, 88(2):303–338, 2010.","False","False","False","False","paragraph"
"[8] Cl´ement Farabet, Camille Couprie, Laurent Najman, and Yann LeCun. Learning hierarchical features","False","False","True","False","paragraph"
"for scene labeling. IEEE Transactions on Pattern Analysis and Machine Intelligence, 35(8):1915–1929,","False","False","False","False","paragraph"
"2013.","False","False","True","True","paragraph"
"[9] Pedro F Felzenszwalb, Ross B Girshick, David McAllester, and Deva Ramanan. Object detection with","False","False","True","False","paragraph"
"discriminatively trained part-based models. IEEE Transactions on Pattern Analysis and Machine Intelli-","False","False","False","False","paragraph"
"gence, 32(9):1627–1645, 2010.","False","False","False","False","paragraph"
"[10] Sanja Fidler and Aleˇs Leonardis. Towards scalable representations of object categories: Learning a hier-","False","False","True","False","paragraph"
"archy of parts. In Computer Vision and Pattern Recognition, 2007.","False","False","False","False","paragraph"
"[11] R. B. Girshick, P. F. Felzenszwalb, and D. McAllester. Discriminatively trained deformable part models,","False","False","True","False","paragraph"
"release 5. http://people.cs.uchicago.edu/ rbg/latent-release5/.","False","False","True","False","paragraph"
"[12] Geoffrey E Hinton and Ruslan R Salakhutdinov.","False","False","True","True","paragraph"
"works. Science, 313(5786):504–507, 2006.","False","False","False","False","paragraph"
"Reducing the dimensionality of data with neural net-","False","False","True","False","paragraph"
"[13] Iasonas Kokkinos and Alan Yuille. Inference and learning with hierarchical shape models. International","False","False","False","False","paragraph"
"Journal of Computer Vision, 93(2):201–225, 2011.","False","False","False","True","paragraph"
"[14] Alex Krizhevsky, Ilya Sutskever, and Geoff Hinton. Imagenet classiﬁcation with deep convolutional","False","False","True","False","paragraph"
"neural networks. In Advances in Neural Information Processing Systems 25, 2012.","False","False","False","False","paragraph"
"[15] Quoc V Le, Marc’Aurelio Ranzato, Rajat Monga, Matthieu Devin, Kai Chen, Greg S Corrado, Jeff Dean,","False","False","True","True","paragraph"
"and Andrew Y Ng. Building high-level features using large scale unsupervised learning. In International","False","False","False","False","paragraph"
"Conference on Machine Learning, 2012.","False","False","False","True","paragraph"
"[16] Yann LeCun and Yoshua Bengio. Convolutional networks for images, speech, and time series. The","False","False","False","False","paragraph"
"handbook of brain theory and neural networks, 1995.","False","False","False","False","paragraph"
"[17] Jorge S´anchez and Florent Perronnin. High-dimensional signature compression for large-scale image","False","False","True","False","paragraph"
"classiﬁcation. In Computer Vision and Pattern Recognition, 2011.","False","False","False","False","paragraph"
"[18] Hannes Schulz and Sven Behnke. Object-class segmentation using deep convolutional neural networks.","False","False","True","False","paragraph"
"In Proceedings of the DAGM Workshop on New Challenges in Neural Computation, 2011.","False","False","False","True","paragraph"
"[19] Long Zhu, Yuanhao Chen, Alan Yuille, and William Freeman. Latent hierarchical structural learning for","False","False","True","False","paragraph"
"object detection. In Computer Vision and Pattern Recognition, 2010.","False","False","False","False","paragraph"
"[20] Song Chun Zhu and David Mumford. A stochastic grammar of images. Computer Graphics and Vision,","False","False","False","False","paragraph"
"2(4):259–362, 2007.","False","False","True","True","paragraph"
"9","True","False","True","True","paragraph"
