"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"The dos and","True","True","True","True","heading"
"Design Professional","True","False","True","True","heading"
"don’ts of NDAs","True","True","True","False","heading"
"Signing an owner’s nondisclosure agreement may be an accepted part of doing business,","True","False","True","False","heading"
"but some of the terms owners seek to impose on designers are just plain unacceptable.","True","False","True","False","heading"
"While many people might associate nondisclosure agreements,","False","False","True","False","paragraph"
"or NDAs, with Silicon Valley startups or Hollywood studios that","False","False","True","False","paragraph"
"don’t want their next big ideas made public, there are also many","False","False","True","False","paragraph"
"reasons why project owners request that design professionals sign","False","False","True","False","paragraph"
"NDAs: to keep proprietary information out of competitors’ hands;","False","False","True","False","paragraph"
"to keep deliberations over various means, methods or solutions","False","False","True","False","paragraph"
"secret; or to prevent others from learning about an entity’s overall","False","False","True","False","paragraph"
"strategy until absolutely necessary.","False","False","True","False","paragraph"
"Typically, an owner will request that a designer sign an NDA before","False","False","True","False","paragraph"
"negotiating or finalizing a contract in an attempt to keep the","False","False","True","False","paragraph"
"project details—or even its existence—secret, whether or not the","False","False","True","False","paragraph"
"designer ends up participating in the project.","False","False","True","False","paragraph"
"AXA XL’s Design Professional team cautions design professionals","False","False","True","False","paragraph"
"to regard NDAs as they do contracts, i.e., read them carefully","False","False","True","False","paragraph"
"before signing. We’ve seen cases in which the A/E has signed an","False","False","True","False","paragraph"
"NDA without fully understanding its implications.","False","False","True","False","paragraph"
"“Some architects or engineers willingly sign NDAs without","False","False","True","False","paragraph"
"examining the language and comprehending the penalties they","False","False","True","False","paragraph"
"are accepting, including agreeing to penalties without proof of a","False","False","True","False","paragraph"
"breach,” says Nancy Rigassio, Executive Claims Counsel for AXA","False","False","True","False","paragraph"
"XL’s Design Professional team. “My guess is that when owners","False","False","True","False","paragraph"
"propose confidentiality agreements while the parties work out the","False","False","True","False","paragraph"
"professional services agreement, many design professionals see","False","False","True","False","paragraph"
"the confidentiality agreement as a preliminary—and temporary—","False","False","True","False","paragraph"
"step in the process.”","False","False","True","False","paragraph"
"While most designers might not intentionally divulge confidential","False","False","True","False","paragraph"
"information, there are plenty of situations in which someone","False","False","True","False","paragraph"
"might unintentionally let the cat out of the bag. For example,","False","False","True","False","paragraph"
"let’s say you were invited to discuss the building of a new big-box","False","False","True","False","paragraph"
"store in a town that has traditionally patronized local businesses.","False","False","True","False","paragraph"
"After your meeting, someone overhears you and your colleagues","False","False","True","False","paragraph"
"discussing the project in a nearby restaurant. Even worse, one","False","False","True","False","paragraph"
"of your junior staff members, after hearing about this potential","False","False","True","False","paragraph"
"feather in your firm’s cap, decides to post the news on social","False","False","True","False","paragraph"
"media. Before you know it, local merchants have formed an","False","False","True","False","paragraph"
"organization to protest the project.","False","False","True","False","paragraph"
"Another possible scenario is that your firm might suffer a data","False","False","True","False","paragraph"
"breach. In such a case, the owner’s confidential material could","False","False","True","False","paragraph"
"be stolen and, once the theft was discovered, you would have to","False","False","True","False","paragraph"
"notify the owner of the breach as required by law. Since the owner","False","False","True","False","paragraph"
"would likely accuse you of violating the NDA, you’d find yourself","False","False","True","False","paragraph"
"in the most difficult position of having to prove that the owner’s","False","False","True","False","paragraph"
"confidential material was not stolen.","False","False","True","False","paragraph"
"What’s “confidential”?","True","True","True","False","heading"
"The problem with many, if not most, of these owner-written NDAs","False","False","True","False","paragraph"
"is that they’re so broad in scope that a designer of any tenure","False","False","True","False","paragraph"
"would have a tough time not violating the terms, no matter how","False","False","True","False","paragraph"
"careful the designer, because everything about the project could","False","False","True","False","paragraph"
"be deemed confidential.","False","False","True","False","paragraph"
"Rather than precisely limit the information the owner wants to","False","False","True","False","paragraph"
"be kept confidential, these troublesome NDAs cast as wide a net","False","False","True","False","paragraph"
"as possible. Consider, for example, the following passage from an","False","False","True","False","paragraph"
"NDA a designer was asked to sign:","False","False","True","False","paragraph"
"…Confidential Information is defined as all data and","False","False","True","False","paragraph"
"information relating to the Owner’s activities, operations,","False","False","True","False","paragraph"
"practices, or customers that the Consultant learns during its","False","False","True","False","paragraph"
"interactions with the Owner…shall include but is not limited to","False","False","True","False","paragraph"
"the following…financial plans and data; product development;","False","False","True","False","paragraph"
"trade secrets; business plans; operational methods; marketing","False","False","True","False","paragraph"
"plans or strategies; pricing information; customer files; material","False","False","True","False","paragraph"
"and product specifications; personnel and compensation","False","False","True","False","paragraph"
"policies…and other similar information.","False","False","True","False","paragraph"
"At least this NDA sets forth a definition of what is to be deemed","False","False","True","False","paragraph"
"confidential—most NDAs don’t. But note the use of “other","False","False","True","False","paragraph"
"similar information.” That only adds to this clause’s already-too-","False","False","True","False","paragraph"
"expansive definition of “confidential information.”","False","False","True","False","paragraph"
"“Owners deliberately want a very broad definition to include","False","False","True","False","paragraph"
"information not even contemplated at the early phase of the","False","False","True","False","paragraph"
"project,” Rigassio says. “But defining confidential information as","False","False","True","False","paragraph"
"broadly as possible places an unfair burden on the designer.”","False","False","True","False","paragraph"
"It’s up to you to revise the agreement to define confidential","False","False","True","False","paragraph"
"information as that information the owner specifically designates","False","False","True","False","paragraph"
"to you as confidential.","False","False","True","False","paragraph"
"Public responsibility","True","True","True","False","heading"
"As a licensed design professional, you have an ethical obligation","False","False","True","False","paragraph"
"to protect public health and safety, a duty which overrides","False","False","True","False","paragraph"
"any obligation to the owner. However, if you were to discover","False","False","True","False","paragraph"
"something, or if the owner were to ask you to do something,","False","False","True","False","paragraph"
"that you believed would be contrary to the ethical code, and you","False","False","True","False","paragraph"
"decided to report it, you could find yourself in violation of the","False","False","True","False","paragraph"
"NDA.","False","False","True","True","paragraph"
"Potential costs","True","True","True","False","heading"
"In this next clause, a different owner’s proposed NDA describes","False","False","True","False","paragraph"
"the consequences of disclosing what the owner subjectively","False","False","True","False","paragraph"
"considers confidential information:","False","False","True","False","paragraph"
"In the event of any breach of this Agreement by Consultant,","False","False","True","False","paragraph"
"Consultant shall pay the Company liquidated damages equal","False","False","True","False","paragraph"
"to $25,000 for each such breach. The Parties hereby agree","False","False","True","False","paragraph"
"that in the event of such a breach, actual damages would be","False","False","True","False","paragraph"
"impractical or impossible to ascertain, such liquidated damages","False","False","True","False","paragraph"
"The dos and don’ts of NDAs • Page 2","False","False","True","False","paragraph"
"Many owner-written NDAs are","True","False","True","False","paragraph"
"so broad in scope that even the most","True","False","True","False","paragraph"
"careful A/E would have a tough time","True","False","True","False","paragraph"
"not violating them.","True","False","True","False","paragraph"
"represent a reasonable estimate of the breach’s actual damages","False","False","True","False","paragraph"
"to the Company, and such amount represents liquidated","False","False","True","False","paragraph"
"damages and not a penalty.","False","False","True","False","paragraph"
"The attempt to impose an arbitrary amount of damages makes an","False","False","True","False","paragraph"
"assumption that the disclosure of information caused the owner","False","False","True","False","paragraph"
"irreparable harm, and improperly shifts the burden of proof from","False","False","True","False","paragraph"
"the owner to the designer. This shift will require the designer","False","False","True","False","paragraph"
"to carry the burden of, in effect, proving a negative—that the","False","False","True","False","paragraph"
"disclosure did not involve information that was confidential, and","False","False","True","False","paragraph"
"that the disclosure did not cause harm to the owner.","False","False","True","False","paragraph"
"According to Rigassio, “Owners don’t want the burden of having","False","False","True","False","paragraph"
"to prove the elements of causation or damages. They just want","False","False","True","False","paragraph"
"the A/E to concede, ‘Yes, our actions have caused you irreparable","False","False","True","False","paragraph"
"harm and the damages would be so severe they’re impossible to","False","False","True","False","paragraph"
"determine, so we will agree to your imposition of damages in the","False","False","True","False","paragraph"
"amount of $X per breach.’”","False","False","True","False","paragraph"
"Under these terms, if your intended lead designer on the","False","False","True","False","paragraph"
"proposed project disclosed confidential information on","False","False","True","False","paragraph"
"Monday and your intended project manager disclosed different","False","False","True","False","paragraph"
"confidential information on Tuesday, you’d already owe $50,000","False","False","True","False","paragraph"
"(a sum that may not be covered by your professional liability","False","False","True","False","paragraph"
"insurance policy). And you may not even win the project!","False","False","True","False","paragraph"
"Managing your risk","True","True","True","True","heading"
"One thing to keep in mind is that NDAs, like contracts and so many","False","False","True","False","paragraph"
"other aspects of a designer’s services, are negotiable. “There’s","False","False","True","False","paragraph"
"nothing wrong with signing an NDA,” Rigassio says, “What can get","False","False","True","False","paragraph"
"you into trouble is signing one that fails to require the owner to","False","False","True","False","paragraph"
"specifically identify what information is confidential, and allows","False","False","True","False","paragraph"
"the owner to take a shortcut around proving the elements of","False","False","True","False","paragraph"
"causation and damages.” To that end, AXA XL offers the following","False","False","True","False","paragraph"
"loss prevention advice:","False","False","True","False","paragraph"
" Read the non-disclosure agreement word-for-word. Just","False","False","False","False","paragraph"
"because it looks like a standard agreement, don’t be fooled","False","False","True","False","paragraph"
"into complacency. That “fine print” you may be tempted to","False","False","True","False","paragraph"
"ignore (particularly if you’re asked to sign the agreement at the","False","False","True","False","paragraph"
"beginning of a meeting, while everyone’s waiting) is exactly","False","False","True","False","paragraph"
"where the owner may have tucked the right to obtain injunctive","False","False","True","False","paragraph"
"relief without having to carry the burden of proof, or the","False","False","True","False","paragraph"
"liquidated damages remedy.","False","False","True","False","paragraph"
"When reviewing, keep an eye out for language such as “any and","False","False","True","False","paragraph"
"all data and information,” “other similar information,” or other","False","False","True","False","paragraph"
"language that is so broad that it covers a disclosure of practically","False","False","True","False","paragraph"
"anything.","False","False","True","False","paragraph"
" Include language that obligates the owner to specifically","False","False","False","False","paragraph"
"designate the information deemed confidential. The owner","False","False","True","False","paragraph"
"should be able to tell you which information you can’t disclose","False","False","True","False","paragraph"
"and which you can.","False","False","True","False","paragraph"
" Make sure the agreement places the burden on the owner to","False","False","False","False","paragraph"
"prove the elements of a cause of action, including the existence","False","False","True","False","paragraph"
"of irreparable harm to the owner and the monetary value. Some","False","False","True","False","paragraph"
"NDAs will define confidential information as “information not","False","False","True","False","paragraph"
"generally known by the public.” That means if you disclose","False","False","True","False","paragraph"
"something you believe is public information and the owner","False","False","True","False","paragraph"
"cries foul, then the burden will be on you to prove that it isn’t","False","False","True","False","paragraph"
"confidential, which can be difficult and time-consuming.","False","False","True","False","paragraph"
" Make sure you have NDAs with your subconsultants. You","False","False","False","False","paragraph"
"don’t want to get into a situation in which it’s alleged that you","False","False","True","False","paragraph"
"inappropriately shared confidential information with an HVAC","False","False","True","False","paragraph"
"engineer that never executed an NDA with you.","False","False","True","False","paragraph"
" To avoid violating the NDA by reporting a public health and","False","False","False","False","paragraph"
"safety-endangering request from the owner, include a public","False","False","True","False","paragraph"
"responsibility provision in the NDA. In effect, the clause should","False","False","True","False","paragraph"
"read that the owner will not ask you to take any action that","False","False","True","False","paragraph"
"conflicts with your professional code of ethics and that, should","False","False","True","False","paragraph"
"the owner do so, it is agreed that if you report the request to","False","False","True","False","paragraph"
"the appropriate parties, the owner will not pursue legal action","False","False","True","False","paragraph"
"against you for violating the NDA.","False","False","True","False","paragraph"
"The dos and don’t of NDAs • Page 3","False","False","True","False","paragraph"
" If you sign an NDA and want to protect yourself against the","False","False","False","False","paragraph"
"risk of a data breach resulting in the owner’s confidential","False","False","True","False","paragraph"
"information being made public, you’ll want to consider","False","False","True","False","paragraph"
"obtaining cyber insurance coverage. Speak to an AXA XL broker","False","False","True","False","paragraph"
"or agent to learn about our Cyber Suite for Design Professionals","False","False","True","False","paragraph"
"enhancement to your existing AXA XL policy or our standalone","False","False","True","False","paragraph"
"cyber risk coverage.","False","False","True","False","paragraph"
"Nondisclosure agreements play an important role in the","False","False","True","False","paragraph"
"relationship between owners and design professionals. In some","False","False","True","False","paragraph"
"ways, they help protect not just the owner, but also the designer,","False","False","True","False","paragraph"
"by underlining the importance of keeping certain information","False","False","True","False","paragraph"
"confidential to promote the project objectives. The key is to","False","False","True","False","paragraph"
"become fully aware of what you’re signing and its implications","False","False","True","False","paragraph"
