"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Figure 7.1 Cumulative Aggregate Concentration Curves","False","False","True","True","paragraph"
"0.6","False","False","True","True","paragraph"
"turnover","False","False","True","False","paragraph"
"0.4","False","False","True","True","paragraph"
"retail","False","False","True","False","paragraph"
"1996","False","False","True","True","paragraph"
"EU","False","False","True","True","paragraph"
"1993","False","False","True","True","paragraph"
"of","False","False","True","True","paragraph"
"proportion 0.2","False","False","False","False","paragraph"
"0","False","False","True","True","paragraph"
"Ultimately, the most","False","False","True","True","paragraph"
"number of firms ranked in descending order of size","False","False","True","False","paragraph"
"important comparison is inter-temporal - how is aggregate EU retail food","False","False","True","False","paragraph"
"concentration changing over time? Unfortunately, here, we are confined to just a comparison of our own","False","False","True","False","paragraph"
"estimates for 1993 and 1996. Nevertheless, even over this relatively short three year period, there appears","False","False","True","False","paragraph"
"to have been a significant increase in EU concentration. As shown in the table, there was an increase of","False","False","True","False","paragraph"
"4.2% points in the share of the top 20 between 1993 and 1996. Moreover, the table and figure 1, which","False","False","True","False","paragraph"
"show the cumulative concentration curves for the two years, reveal that the increased share of matrix firms","False","False","True","False","paragraph"
"is almost entirely attributable to the top 20. Indeed, the next 30 firms actually suffered a joint loss of 0.4%","False","False","True","False","paragraph"
"points between the two years. This is due, presumably, in part to the rapid growth of the very largest firms,","False","False","True","False","paragraph"
"but also in part to the exit of some important medium-large firms, as described in the previous section.","False","False","True","False","paragraph"
"7.4. Concentration within individual member states","False","True","True","False","heading"
"Tables 7.4 to 7.6 turn the focus on to concentration within the individual member states. Table 7.4","False","False","True","False","paragraph"
"confirms that the above increase in concentration at the EU level is mirrored by typically increasing","False","False","True","False","paragraph"
"concentration in the individual member state- by about 3% points on average between 1993 and 1996.","False","False","True","False","paragraph"
"It also confirms important differences between member states. Broadly speaking, the ranking of member","False","False","True","False","paragraph"
"states is as described in the previous chapter. The highest 5 Firm concentration ratios are to be found in","False","False","True","False","paragraph"
"Finland and Sweden, and the lowest in the southern countries - Greece, Spain, Italy. The UK, France and","False","False","True","False","paragraph"
"Germany lie within the middle of the range. Perhaps most interestingly, there appear to have been","False","False","True","False","paragraph"
"significant increases in concentration in Portugal, Spain, Austria, Greece and the UK. Moreover, since","False","False","True","False","paragraph"
"these estimates refer to 1996, they will not reflect the effects of continued merger activity post-1996 in","False","False","True","False","paragraph"
"63","True","False","True","True","paragraph"
"Spain, Portugal and the Netherlands in particular.","False","False","True","False","paragraph"
"than shown in the table.","False","False","True","False","paragraph"
"In those countries, concentration is probably now higher","False","False","True","False","paragraph"
"Table 7.4: Five Firm National Concentration Ratios (%)","False","True","True","True","paragraph"
"Table 7. 5 Comparisons of C5 from different sources","False","True","True","False","heading"
"Other Sources: LDA","False","False","True","True","paragraph"
"AIM","False","False","True","True","paragraph"
"PBUK","False","False","True","True","paragraph"
"EH","False","False","True","True","paragraph"
"La Distribution alimentaire","False","False","True","False","paragraph"
"AIM","False","False","True","True","paragraph"
"UK Pocketbook","False","False","True","True","paragraph"
"European Handbook","False","False","True","True","paragraph"
"OXIRM referred to in ""Food Retailing in Southern European Countries"", European","False","False","True","False","paragraph"
"Regional Review, 1998 (date of estimate not reported in source)","False","False","True","False","paragraph"
"HBS Harvard Business School (date of estimate not reported in source)","False","False","True","False","paragraph"
"As a reference point, Table 7.5 digresses briefly by comparing our estimates with those from previous","False","False","True","False","paragraph"
"64","True","False","True","True","paragraph"
