"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"WAI MI |","False","False","False","True","paragraph"
"Cale 4 AO)","True","False","False","True","paragraph"
"€","False","False","True","True","paragraph"
"O(:b] :PJ0U","True","False","True","False","paragraph"
"VT [822498","False","False","False","True","paragraph"
"GZ SSTIDVINOD","True","False","False","True","paragraph"
"vivid","False","False","True","False","paragraph"
"LL As","False","False","True","True","paragraph"
".","True","False","True","True","heading"
"Si ià VAS","False","False","False","True","paragraph"
"|","True","False","True","True","paragraph"
"SPGeseehedesece","True","False","True","True","paragraph"
"""JT IN TO000:U2.)","True","False","False","True","paragraph"
"BSSVECOPEOD ‘Ad L","True","False","False","True","paragraph"
"16618090 ODUM","True","False","False","True","paragraph"
"GOT] WENO)","True","False","False","True","paragraph"
"|","True","False","True","True","paragraph"
"pUDqUEÉ Je","True","False","False","False","paragraph"
"&","False","False","True","True","paragraph"
">","True","False","True","True","paragraph"
"TES WO","True","False","False","True","paragraph"
