"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Mr. Pierre-Loic Doulcet","False","True","True","True","paragraph"
"Av Haldimand 71","False","True","True","True","paragraph"
"Yverdon-Les-Bains 1400","False","True","True","True","paragraph"
"Switzerland","False","True","True","True","paragraph"
"Date Description","False","True","True","True","paragraph"
"Room No. :711","False","False","True","True","paragraph"
"Arrival :10-24-19","False","False","True","True","paragraph"
"Departure :10-31-19","False","False","True","True","paragraph"
"Page No. : 1 of 2","False","False","True","True","paragraph"
"Folio No. :458133","False","False","True","True","paragraph"
"Conf. No. :33046504 /","False","False","True","True","paragraph"
"HQTSJSNZ","False","False","True","True","paragraph"
"Cashier No. : 129","False","False","True","True","paragraph"
"User ID : 0922ROLEG","False","False","True","True","paragraph"
"Date :10-31-19","False","False","True","True","paragraph"
"Charges Credits","False","True","True","True","paragraph"
"Mr. Pierre-Loic Doulcet","False","True","True","True","paragraph"
"Av Haldimand 71","False","True","True","True","paragraph"
"Yverdon-Les-Bains 1400","False","True","True","True","paragraph"
"Switzerland","False","True","True","True","paragraph"
"Date Description","False","True","True","True","paragraph"
"Signature","True","True","True","True","paragraph"
"Total","False","True","True","True","paragraph"
"Balance","False","True","True","True","paragraph"
"Charges Credits","False","True","True","True","paragraph"
