"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Offre de : Vente","True","False","True","True","paragraph"
"DESCRIPTION","False","False","True","True","heading"
"Elle vous accueillera avec ses prestations haut de gamme par","False","False","True","False","paragraph"
"son beau séjour/cuisine de 44m², à l'étage elle se compose de","False","False","True","False","paragraph"
"deux chambres, une salle de bain ainsi qu'une chambre","False","False","True","False","paragraph"
"parentale avec dressing et salle d'eau. Vous disposerez de","False","False","True","False","paragraph"
"deux places de parking extérieur ainsi que d'un garage. Vous","False","False","True","False","paragraph"
"serez sur l'axe direct pour aller à Genève, à 10 minutes du","False","False","True","False","paragraph"
"centre de Thonon. Les commodités (boulangerie, écoles, bus,","False","False","True","False","paragraph"
"pharmacie…) sont accessibles à pied. Le CEVA sera à 5","False","False","True","False","paragraph"
"minutes en voiture. N'attendez plus et venez visiter !","False","False","True","False","paragraph"
"DESCRIPTIF","False","False","True","True","heading"
"Année de construction","True","False","True","False","paragraph"
"Nombre de pièces","True","False","True","False","paragraph"
"Nombre de chambres","True","False","True","False","paragraph"
"Nombre de salles de bain","True","False","True","False","paragraph"
"Nombre de WC","True","False","True","True","paragraph"
"SECTEUR","False","False","True","True","heading"
"INFORMATIONS","False","False","True","True","heading"
"Taxe Habitation","False","False","True","True","paragraph"
"Taxe Foncière","False","False","True","True","paragraph"
"SURFACES","False","False","True","True","heading"
"Surface habitable","True","False","True","False","paragraph"
"Surface du terrain","True","False","True","False","paragraph"
"Surface carrez","True","False","True","False","paragraph"
"Surface Séjour","True","False","True","True","paragraph"
"RDC","False","True","True","True","paragraph"
"Entr","False","False","True","True","paragraph"
"Autre surface","False","False","True","False","paragraph"
"Cuisine","False","False","True","True","paragraph"
"Chambre","False","False","True","True","paragraph"
"Salle de bain","False","False","True","True","paragraph"
"Entr","False","False","True","True","paragraph"
"Entr","False","False","True","True","paragraph"
"VOTRE AGENCE","False","False","True","True","heading"
"HOME ET PATRIMOINE SCIEZ Sciez","False","True","True","True","paragraph"
"103 Route de Marignan Sciez 74140","False","False","True","True","paragraph"
"Tél : 04 50 70 57 14","False","False","False","True","paragraph"
"Mail : contact@home-patrimoine.com","False","False","False","False","paragraph"
"www.home-patrimoine.com","False","False","True","False","paragraph"
"Mlle. Zoe GARNIER","False","True","True","True","paragraph"
"contact@home-patrimoine.com","False","False","True","False","paragraph"
"Tél : 04 50 70 57 14","False","False","False","True","paragraph"
"Mandat n° : 155263","True","False","True","True","paragraph"
"389 000 €","True","True","True","True","heading"
"Maison - SCIEZ - 113.85 m²","True","False","True","True","paragraph"
"Sciez 74140","True","False","True","True","heading"
": 2016","True","False","False","True","paragraph"
": 5","True","False","False","True","paragraph"
": 3","True","False","False","True","paragraph"
": 2","True","False","False","True","paragraph"
": 2","True","False","False","True","paragraph"
": 768€","False","False","False","True","paragraph"
": 670€","False","False","False","True","paragraph"
": 113.85 m²","True","False","False","True","paragraph"
": 264 m²","True","False","False","True","paragraph"
": 113.85 m²","True","False","False","True","paragraph"
": 35 m²","True","False","False","True","paragraph"
": 5 m²","False","True","True","True","paragraph"
": 3 m²","False","True","True","True","paragraph"
": 8 m²","False","True","True","True","paragraph"
": 14 m²","False","True","True","True","paragraph"
": 6 m²","False","True","True","True","paragraph"
": 5 m²","False","True","True","True","paragraph"
": 5 m²","False","True","True","True","paragraph"
"Home et Patrimoine, SIRET : 75300019900038, RCS : 753000199 , SARL au capital de 40 000 € | carte professionnelle N° CPI 7401 2018 000 026 086 délivrée par CCI de","False","False","True","False","paragraph"
"Haute Savoie le 2018-03-12 | Garant : QBE Insurance","False","False","True","True","paragraph"
"by TCPDF (www.tcpdf.org) Powered","False","False","True","False","paragraph"
