"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"iOS Security","True","False","True","True","heading"
"Contents","True","False","True","True","heading"
"Secure boot chain","False","False","True","False","heading"
"System Software Authorization","False","False","True","True","heading"
"Secure Enclave","False","False","True","True","heading"
"Touch ID","False","False","True","True","heading"
"Face ID","False","False","True","True","heading"
"Hardware security features","False","False","True","False","paragraph"
"File Data Protection","False","False","True","True","paragraph"
"Passcodes","False","False","True","True","paragraph"
"Data Protection classes","False","False","True","False","paragraph"
"Keychain Data Protection","False","False","True","True","paragraph"
"Access to Safari saved passwords","False","False","True","False","paragraph"
"Keybags","False","False","True","True","paragraph"
"Security Certifications and programs","False","False","True","False","paragraph"
"App code signing","False","False","True","False","paragraph"
"Runtime process security","False","False","True","False","paragraph"
"Extensions","False","False","True","True","paragraph"
"App Groups","False","False","True","True","paragraph"
"Data Protection in apps","False","False","True","True","paragraph"
"Accessories","False","False","True","True","paragraph"
"HomeKit","False","False","True","True","paragraph"
"SiriKit","False","False","True","True","paragraph"
"HealthKit","False","False","True","True","paragraph"
"ReplayKit","False","False","True","True","paragraph"
"Secure Notes","False","False","True","True","paragraph"
"Shared Notes","False","False","True","True","paragraph"
"Apple Watch","False","False","True","True","paragraph"
"TLS","False","False","True","True","paragraph"
"VPN","False","False","True","True","paragraph"
"Wi-Fi","False","False","True","True","paragraph"
"Bluetooth","False","False","True","True","paragraph"
"Single Sign-on","False","False","True","True","paragraph"
"AirDrop security","False","False","True","False","paragraph"
"Wi-Fi password sharing","False","False","True","False","paragraph"
"Apple Pay components","False","False","True","False","paragraph"
"How Apple Pay uses the Secure Element","False","False","True","True","paragraph"
"How Apple Pay uses the NFC controller","False","False","True","False","paragraph"
"Credit, debit, and prepaid card provisioning","False","False","True","False","paragraph"
"Payment authorization","False","False","True","False","paragraph"
"2","False","False","True","True","paragraph"
"Transaction-specific dynamic security code","False","False","True","False","paragraph"
"Contactless payments with Apple Pay","False","False","True","False","paragraph"
"Paying with Apple Pay within apps","False","False","True","False","paragraph"
