"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Beginner’s Guide to","True","True","False","True","heading"
"PARTICIPATING IN ICANN","True","True","False","True","heading"
"INTRODU CTIO N","True","True","True","True","paragraph"
"WELCOME TO THE VOLUNTEER COMMUNITY OF THE INTERNET CORPORATION FOR","True","True","True","True","paragraph"
"ASSIGNED NAMES AND NUMBERS (ICANN). ICANN IS AN INTERNATIONAL AND NOT-FOR-","True","True","True","False","paragraph"
"PROFIT ORGANIZATION THAT BRINGS TOGETHER INDIVIDUALS, INDUSTRY, NON-COMMERCIAL","True","True","True","True","paragraph"
"AND GOVERNMENT REPRESENTATIVES TO DISCUSS, DEBATE AND DEVELOP POLICIES","True","True","True","True","paragraph"
"ABOUT THE TECHNIC AL COORDINATION OF THE INTERNET’S DOMAIN NAME SYSTEM.","True","True","True","True","paragraph"
"THIS BEGINNER’S GUIDE IS DESIGNED TO PROVIDE YOU WITH THE TOOLS AND RESOURCES","True","True","True","True","paragraph"
"YOU NEED TO BE AN EFFEC TIVE PARTICIPANT IN IC ANN’S COMMUNIT Y-BASED POLIC Y-","True","True","True","False","paragraph"
"MAKI NG PROCE SS.","True","True","True","True","paragraph"
"TABLE OF CONTENTS","True","True","True","True","heading"
"At-Large Advisory Committee .......................................................................................................................................................................................9","True","False","True","False","paragraph"
"Governmental Advisory Committee ..............................................................................................................................................................................","True","False","True","False","paragraph"
"Root Server System Advisory Committee ......................................................................................................................................................................","True","False","True","False","paragraph"
"Security and Stability Advisory Committee ...................................................................................................................................................................","True","False","True","False","paragraph"
"ICANN Staff ................................................................................................................................................................... ","True","False","False","False","paragraph"
"Ombudsman .................................................................................................................................................................. ","True","False","False","False","paragraph"
"Quick Tips/Engagement Tools ......................................................................................................................................... ","True","False","False","False","paragraph"
"What You’ll Find at ICANN.ORG and MyICANN.ORG ............................................................................................................ ","True","False","False","False","paragraph"
"Glossary/Acronym List .................................................................................................................................................... ","True","False","False","False","paragraph"
"HOW CAN I VOICE","True","True","True","True","heading"
"MY OPI NION?","True","True","True","True","paragraph"
"At each ICANN meeting,","False","False","True","False","paragraph"
"anyone can make comments","False","False","True","False","paragraph"
"and ask questions on the main","False","False","True","False","paragraph"
"topics directly to the Board at","False","False","True","False","paragraph"
"the Public Forum. During the","False","False","True","True","paragraph"
"Public Forum, you may speak","False","False","True","False","paragraph"
"on behalf of your organization","False","False","True","False","paragraph"
"or as an individual.","False","False","True","False","paragraph"
"The Public Forum usually lasts","False","False","True","False","paragraph"
"several hours on Thursday after-","False","False","True","False","paragraph"
"noon of every ICANN meeting.","False","False","True","False","paragraph"
"Commenters line up behind a","False","False","True","False","paragraph"
"microphone that is placed near","False","False","True","False","paragraph"
"the front of the room to ask a","False","False","True","False","paragraph"
"question or make a comment.","False","False","True","False","paragraph"
"Attendees are encouraged to","False","False","True","False","paragraph"
"be brief and concise to enable","False","False","True","False","paragraph"
"as many perspectives to be","False","False","True","False","paragraph"
"heard as possible. You don’t","False","False","True","False","paragraph"
"have to be physically present","False","False","True","False","paragraph"
"to participate – you can follow","False","False","True","False","paragraph"
"along online via ICANN’s Re-","False","False","True","False","paragraph"
"mote Participation services and","False","False","True","False","paragraph"
"submit questions or comments","False","False","True","False","paragraph"
"to be read out in the meeting","False","False","True","False","paragraph"
"room by a staff member.","False","False","True","False","paragraph"
"You can also provide feedback","False","False","True","False","paragraph"
"through public comment","False","False","True","False","paragraph"
"periods. See page 4.","False","False","True","False","paragraph"
"2","False","True","True","True","heading"
"What is ICANN?","True","True","True","True","heading"
"ICANN is a not-for-profit, public-benefit organization formed in 1998. Its staff operates the Internet’s","False","False","True","False","paragraph"
"Domain Name System, coordinates allocation and assignment of the Internet’s unique identifiers,","False","False","True","False","paragraph"
"such as Internet Protocol addresses, accredits generic top-level domain (gTLD) name registrars, and","False","False","True","False","paragraph"
