"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Links to sample legislation and resource documents","True","False","True","False","heading"
"References to the national and sub-national legislations currently in force that most closely","False","False","True","False","paragraph"
"conform to these best practice guidelines are provided below:","False","False","True","False","paragraph"
"(a) United Kingdom of Great Britain and Northern Ireland, Health Act 2006,","False","False","True","True","paragraph"
"http://www.opsi.gov.uk/acts/acts2006/20060028.htm","False","False","True","False","paragraph"
"(b) New Zealand, Smoke-free Environments Amendment Act","False","False","True","True","paragraph"
"2003, http://www.legislation.govt.nz/browse_vw.asp?content-set=pal_statutes","False","False","True","False","paragraph"
"(c) Norway, Act No. 14 of 9 March 1973 relating to Prevention of the Harmful Effects","False","False","True","False","paragraph"
"of Tobacco,","False","False","True","True","paragraph"
"http://odin.dep.no/hod/engelsk/regelverk/p20042245/042041990030/dok-","False","False","True","False","paragraph"
"bn.html (It should be noted, however, that the option of smoking sections is not","False","False","False","False","paragraph"
"recommended under these guidelines.)","False","False","True","False","paragraph"
"(d) Scotland,","False","False","True","True","paragraph"
"Act 2005,","False","False","True","True","paragraph"
"Smoking, Health and Social Care (Scotland)","False","False","True","False","paragraph"
"http://www.opsi.gov.uk/legislation/scotland/acts2005/20050013.htm","False","False","True","False","paragraph"
"Regulations: http://www.opsi.gov.uk/si/si2006/20061115.htm","False","False","False","False","paragraph"
"(e) Uruguay,","False","False","True","True","paragraph"
"Decreto","False","False","True","True","paragraph"
"40/006,","False","False","True","True","paragraph"
"http://www.globalsmokefreepartnership.org/files/132.doc","False","False","True","False","paragraph"
"(f) Ireland, Public Health (Tobacco) (Amendment) Act 2004,","False","False","True","False","paragraph"
"http://193.178.1.79/2004/en/act/pub/0006/index.html","False","False","True","False","paragraph"
"(g) Bermuda,","False","False","True","True","paragraph"
"Act 2005,","False","False","True","True","paragraph"
"Tobacco Products (Public Health) Amendment","False","False","True","False","paragraph"
"http://www.globalsmokefreepartnership.org/files/139.DOC","False","False","True","False","paragraph"
"Resource documents","False","False","True","False","paragraph"
"WHO policy recommendations: protection from exposure to second-hand tobacco smoke.","False","False","True","False","paragraph"
"Geneva, World Health Organization, 2007.","False","False","True","True","paragraph"
"Available at:","False","False","True","True","paragraph"
"http://www.who.int/tobacco/resources/publications/wntd/2007/who_protection_exposure_final","False","False","True","False","paragraph"
"_ 25June2007.pdf","False","False","True","True","paragraph"
"Tobacco smoke and involuntary smoking. IARC Monographs on the Evolution of Carcinogenic","False","False","True","False","paragraph"
"Risks to Humans, Vol. 83, Lyon, France, World Health Organization and International Agency","False","False","True","True","paragraph"
"for Research on Cancer, 2004. Available at: THIS LINK","False","False","False","True","paragraph"
"The health consequences of involuntary exposure to tobacco smoke: a report of the Surgeon","False","False","True","False","paragraph"
"General. Washington, DC, United States Department of Health and Human Services, 2006.","False","False","True","True","paragraph"
"Available at: http://www.surgeongeneral.gov/library/secondhandsmoke/","False","False","False","False","paragraph"
"1","False","False","True","True","paragraph"
"Proposed identification of environmental tobacco smoke as a toxic air contaminant. San","False","False","True","False","paragraph"
"Francisco, United States","False","False","True","True","paragraph"
"Resources Board, 2005.","False","False","True","True","paragraph"
"of America, California Environmental","False","False","True","True","paragraph"
"Available at: http://repositories.cdlib.org/tc/surveys/CALEPA2005/","False","False","False","False","paragraph"
"Protection Agency: Air","False","False","True","True","paragraph"
"Joint briefing paper: Proposed guidelines for the implementation of Article 8 of the WHO","False","False","True","False","paragraph"
"Framework Convention on Tobacco Control. Framework Convention Alliance and the Global","False","False","True","True","paragraph"
"Smokefree Partnership, 2007.","False","False","True","True","paragraph"
"Available at: http://www.fctc.org/x/documents/Article8_COP2_Briefing_English.pdf","False","False","False","False","paragraph"
"Global Smokefree Partnership web site. A resource on smoke free success stories and","False","False","True","False","paragraph"
"challenges, this link includes perspectives on smoke free policies, links to evaluation reports,","False","False","True","False","paragraph"
"legislation and public information campaigns, as well as implementation guidelines. Available","False","False","True","False","paragraph"
"at: www.globalsmokefreepartnership.org","False","False","False","False","paragraph"
"After the smoke has cleared: evaluation of the impact of a new smoke free law. Wellington,","False","False","True","False","paragraph"
"New Zealand Ministry of Health, 2006.","False","False","True","True","paragraph"
"Available at:","False","False","True","True","paragraph"
"http://www.moh.govt.nz/moh.nsf/by+unid/A9D3734516F6757ECC25723D00752D50?O","False","False","True","False","paragraph"
"pen","False","False","True","True","paragraph"
