"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Mariano Rodriguez .","False","False","True","True","paragraph"
"Gran via de les corts catalanes 164 2º puerta 1","False","False","True","False","paragraph"
"08034, barcelona","False","False","True","False","paragraph"
"barcelona","False","False","True","False","paragraph"
"Hola Mariano, esta es tu factura de pago","True","False","True","False","heading"
"0 €","True","False","True","True","paragraph"
"Total a pagar: (IVA incluido)","False","False","True","False","paragraph"
"Detalle de la factura","True","False","True","False","heading"
"Producto","False","False","True","True","paragraph"
"Importe (base imponible) Impuestos (21% de IVA) Importe total","False","False","True","False","paragraph"
"Data 12GB - Voice 150 min","False","False","True","True","paragraph"
"0.00 € 0.00 € 0.00 €","False","False","True","True","paragraph"
"* Se aplicará un descuento de 2.48 €","False","False","True","False","paragraph"
"Tus datos personales","True","False","True","False","heading"
"Datos de tu factura","True","False","True","False","heading"
"Nombre: Mariano","False","False","False","True","paragraph"
"Importe SIM: 2.48 €","False","False","False","True","paragraph"
"Apellidos: Rodriguez .","False","False","False","True","paragraph"
"Descuento SIM: -2.48 €","False","False","False","True","paragraph"
"Identificación: Y7610630J","False","False","False","True","paragraph"
"Total a pagar: 0.00 €","False","False","False","False","paragraph"
"Dirección: Gran via de les corts catalanes 164 2º Pedido nº: S001590557","False","False","False","False","paragraph"
"puerta 1","False","False","True","False","paragraph"
"Fecha de emisión: 07/12/2019","False","False","False","False","paragraph"
"Código postal: 08034","False","False","False","False","paragraph"
"Factura nº: 4011401880","False","False","False","True","paragraph"
"Población: barcelona","False","False","False","False","paragraph"
"Forma de pago: Tarjeta de crédito","False","False","False","False","paragraph"
"Provincia: barcelona","False","False","False","False","paragraph"
"Teléfono de contacto: 661028470","False","False","False","False","paragraph"
