"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Clave","False","True","True","True","paragraph"
"Nombre Entidad","False","True","True","True","paragraph"
"Entidad","False","True","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"01 Aguascalientes","False","False","True","True","paragraph"
"Clave","False","True","True","True","paragraph"
"Nombre Municipio","False","True","True","True","paragraph"
"Municipio","False","True","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"001 Aguascalientes","False","False","True","True","paragraph"
"Clave","False","True","True","True","paragraph"
"Nombre Localidad","False","True","True","True","paragraph"
"Localidad","False","True","True","True","paragraph"
"0094 Granja Adelita","False","False","True","True","paragraph"
"0096 Agua Azul","False","False","True","True","paragraph"
"0100 Rancho Alegre","False","False","True","True","paragraph"
"0102 Los Arbolitos [Rancho]","False","False","True","False","paragraph"
"0104 Ardillas de Abajo (Las Ardillas)","False","False","True","True","paragraph"
"0106 Arellano","False","False","True","True","paragraph"
"0112 Bajío los Vázquez","False","False","True","True","paragraph"
"0113 Bajío de Montoro","False","False","True","True","paragraph"
"0114 Residencial San Nicolás [Baños la Cantera]","False","False","True","False","paragraph"
"0120 Buenavista de Peñuelas","False","False","True","True","paragraph"
"0121 Cabecita 3 Marías (Rancho Nuevo)","False","False","True","False","paragraph"
"0125 Cañada Grande de Cotorina","False","False","True","True","paragraph"
"0126 Cañada Honda [Estación]","False","False","True","False","paragraph"
"0127 Los Caños","False","False","True","True","paragraph"
"0128 El Cariñán","False","False","True","True","paragraph"
"0129 El Carmen [Granja]","False","False","True","False","paragraph"
"0135 El Cedazo (Cedazo de San Antonio)","False","False","True","False","paragraph"
"0138 Centro de Arriba (El Taray)","False","False","True","True","paragraph"
"0139 Cieneguilla (La Lumbrera)","False","False","True","True","paragraph"
"0141 Cobos","False","False","True","True","paragraph"
"0144 El Colorado (El Soyatal)","False","False","True","True","paragraph"
"0146 El Conejal","False","False","True","True","paragraph"
"0157 Cotorina de Abajo","False","False","True","True","paragraph"
"0162 Coyotes","False","False","True","True","paragraph"
"0166 La Huerta (La Cruz)","False","False","True","True","paragraph"
"0170 Cuauhtémoc (Las Palomas)","False","False","True","True","paragraph"
"0171 Los Cuervos (Los Ojos de Agua)","False","False","True","True","paragraph"
"0172 San José [Granja]","False","False","True","False","paragraph"
"0176 La Chiripa","False","False","True","True","paragraph"
"0182 Dolores","False","False","True","True","paragraph"
"0183 Los Dolores","False","False","True","True","paragraph"
"0190 El Duraznillo","False","False","True","True","paragraph"
"0191 Los Durón","False","False","True","True","paragraph"
"0197 La Escondida","False","False","True","True","paragraph"
"0201 Brande Vin [Bodegas]","False","False","True","False","paragraph"
