"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"PDF 32000-1:2008","True","True","True","True","paragraph"
"7 Syntax","True","True","True","True","heading"
"7.1 General","True","True","True","True","heading"
"This clause covers everything about the syntax of PDF at the object, file, and document level. It sets the stage","False","False","True","False","paragraph"
"for subsequent clauses, which describe how the contents of a PDF file are interpreted as page descriptions,","False","False","True","False","paragraph"
"interactive navigational aids, and application-level logical structure.","False","False","True","False","paragraph"
"PDF syntax is best understood by considering it as four parts, as shown in Figure 1:","False","False","True","False","paragraph"
"Objects. A PDF document is a data structure composed from a small set of basic types of data objects.","False","False","False","False","paragraph"
"Sub-clause 7.2, ""Lexical Conventions,"" describes the character set used to write objects and other","False","False","True","False","paragraph"
"syntactic elements. Sub-clause 7.3, ""Objects,"" describes the syntax and essential properties of the objects.","False","False","True","False","paragraph"
"Sub-clause 7.3.8, ""Stream Objects,"" provides complete details of the most complex data type, the stream","False","False","True","False","paragraph"
"object.","False","False","True","False","paragraph"
"File structure. The PDF file structure determines how objects are stored in a PDF file, how they are","False","False","False","False","paragraph"
"accessed, and how they are updated. This structure is independent of the semantics of the objects. Sub-","False","False","True","False","paragraph"
"clause 7.5, ""File Structure,"" describes the file structure. Sub-clause 7.6, ""Encryption,"" describes a file-level","False","False","True","False","paragraph"
"mechanism for protecting a document’s contents from unauthorized access.","False","False","True","False","paragraph"
"Document structure. The PDF document structure specifies how the basic object types are used to","False","False","False","False","paragraph"
"represent components","False","False","True","False","paragraph"
"""Document Structure,""","False","False","True","False","paragraph"
"of a PDF document: pages, fonts, annotations, and so forth. Sub-clause 7.7,","False","False","True","False","paragraph"
"describes the overall document structure; later clauses address the detailed","False","False","True","False","paragraph"
"semantics of the components.","False","False","True","False","paragraph"
"Content streams. A PDF content stream contains a sequence of instructions describing the appearance of","False","False","False","False","paragraph"
"a page or other graphical entity. These instructions, while also represented as objects, are conceptually","False","False","True","False","paragraph"
"distinct from the objects that represent the document structure and are described separately. Sub-clause","False","False","True","False","paragraph"
"7.8, ""Content Streams and Resources,"" discusses PDF content streams and their associated resources.","False","False","True","False","paragraph"
"Figure 1 – PDF Components","False","True","True","True","heading"
"In addition, this clause describes some data structures, built from basic objects, that are so widely used that","False","False","True","False","paragraph"
"they can almost be considered basic object types in their own right. These","False","False","True","False","paragraph"
"""Common Data Structures""; 7.10, ""Functions""; and 7.11, ""File Specifications.""","False","False","True","False","paragraph"
"objects are covered in: 7.9,","False","False","True","False","paragraph"
"NOTE Variants of PDF’s object and file syntax are also used as the basis for other file formats. These include the","False","False","True","False","paragraph"
"Forms Data Format (FDF), described in 12.7.7, ""Forms Data Format"", and the Portable Job Ticket Format","False","False","True","False","paragraph"
"(PJTF), described in Adobe Technical Note #5620, Portable Job Ticket Format.","False","False","False","False","paragraph"
"7.2 Lexical Conventions","True","True","True","True","heading"
"7.2.1 General","False","True","True","True","heading"
"At the most fundamental level, a PDF file is a sequence of bytes. These bytes can be grouped into tokens","False","False","False","False","paragraph"
"according to the syntax rules described in this sub-clause. One or more tokens are assembled to form higher-","False","False","True","False","paragraph"
"© Adobe Systems Incorporated 2008 – All rights reserved","True","False","False","False","paragraph"
"11","False","False","True","True","paragraph"
"PDF 32000-1:2008","True","True","True","True","paragraph"
"level syntactic entities, principally objects, which are the basic data values from which a PDF document is","False","False","False","False","paragraph"
"constructed.","False","False","True","False","paragraph"
"A non-encrypted PDF can be entirely represented using byte values corresponding to the visible printable","False","False","True","False","paragraph"
"subset of the character set defined in ANSI X3.4-1986, plus white space characters. However, a PDF file is not","False","False","True","False","paragraph"
"restricted to the ASCII character set; it may contain arbitrary bytes, subject to the following considerations:","False","False","True","False","paragraph"
"The tokens that delimit objects and that describe the structure of a PDF file shall use the ASCII character","False","False","True","False","paragraph"
"set. In addition all the reserved words and the names used as keys in PDF standard dictionaries and","False","False","True","False","paragraph"
"certain types of arrays shall be defined using the ASCII character set.","False","False","True","False","paragraph"
"The data values of strings and streams objects may be written either entirely using the ASCII character set","False","False","True","False","paragraph"
"or entirely in binary data. In actual practice, data that is naturally binary, such as sampled images, is","False","False","True","False","paragraph"
"usually represented in binary for compactness and efficiency.","False","False","True","False","paragraph"
"A PDF file containing binary data shall be transported as a binary file rather than as a text file to insure that","False","False","True","False","paragraph"
