"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"YOUR E-TICKET","True","False","True","False","heading"
"VALLORBE > PARIS GARE LYON","True","True","True","True","paragraph"
"91,00 EUR","False","False","True","True","paragraph"
"Surname: DOULCET","True","False","False","True","paragraph"
"First Name: PIERRE LOIC","True","False","False","True","paragraph"
"Passenger: ADULT","True","False","True","True","paragraph"
"REFERENCE NUMBER: UMUZPV","True","True","False","True","paragraph"
"Customer reference number: 0029090169271559463","True","False","True","False","paragraph"
"No. e-ticket: 499910121","True","False","True","False","paragraph"
"Reinforced security in stations: identity and luggage checks are implemented on certain lines, please remember to travel with a valid identity","False","False","False","False","paragraph"
"document. It may take longer to access platforms due to these measures, therefore we advise you to take this into account in your travel time.","False","False","True","False","paragraph"
"1187","False","True","True","True","paragraph"
"CIV","False","True","True","True","paragraph"
"-","False","True","True","True","heading"
"GAGBAT2Y","False","True","True","True","paragraph"
"Please arrive at the indicated departure platform at least 2 minutes prior to departure.","False","True","True","False","paragraph"
"You have purchased your e-ticket on","False","False","True","False","paragraph"
"SNCF wishes you a pleasant journey!","True","False","True","False","paragraph"
"THIS E-TICKET CONFIRMATION IS NOT REQUIRED","True","True","True","False","paragraph"
"TO BE STAMPED","True","True","True","True","paragraph"
"HOW TO MANAGE MY BOOKING?","True","False","True","True","heading"
"Your trip can be canceled or exchanged until the time of departure (subject to","False","True","True","False","paragraph"
"conditions).","False","True","True","False","paragraph"
"By phone: 0033 892 35 35 35 (cost of an international call and additional charges from","False","False","True","False","paragraph"
"your service provider)","False","False","True","False","paragraph"
"On French train stations: via a ticket window or at the Borne Libre Service self-service","False","False","True","False","paragraph"
"terminal","False","False","True","False","paragraph"
"E-TICKET CONDITIONS OF USE(1)","True","False","True","False","heading"
"NOMINATIVE, INDIVIDUAL AND CAN NOT BE TRANSFERRED TO THIRD PARTIES","False","True","True","True","paragraph"
"Only valid for the train, date, class and designated route.","False","False","True","False","paragraph"
"To be valid, the electronic ticket confirmation should be:","False","True","True","False","paragraph"
"accompanied by a valid identity card with photo(2).","False","True","True","False","paragraph"
"presented when boarding the train and during ticket control.","False","True","True","False","paragraph"
"printed on white A4 paper, without changing the print size. A good quality printing","False","True","True","False","paragraph"
"is required.","False","True","True","False","paragraph"
"the ticket can be re-printed at the train station.","False","True","True","False","paragraph"
"To ensure timely departure of TGV and Intercités we ask you to be present on the platform","False","False","True","False","paragraph"
"of departure at least 2 minutes before the departure time.","False","False","True","False","paragraph"
"After, access to the train can no longer be guaranteed.","False","False","True","False","paragraph"
"We remind you that it is obligatory to label your luggage.","False","False","True","False","paragraph"
"(1) The electronic ticket is not valid if conditions are not met. In that case,","False","False","True","False","paragraph"
"SNCF reserves the right to charge you a fine corresponding to a full fare","False","False","True","False","paragraph"
"ticket for the train taken (see traveler's fare).","False","False","True","False","paragraph"
"(2) ID card, passport or residency permit","False","False","True","False","paragraph"
