"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"TABLE 125: STATE-WISE COMPOSITION OF OUTSTANDING LIABILITIES - 1997 (Contd.)","True","False","False","False","heading"
"(As at end-March)","True","False","True","False","heading"
"States Total Market NSSF WMA","False","True","True","True","paragraph"
"Internal Loans from","False","True","True","True","paragraph"
"Debt","False","True","True","True","paragraph"
"RBI","False","True","True","True","paragraph"
"- - -","False","False","True","True","paragraph"
"Karnataka 22.44 19.59 - -","False","False","True","True","paragraph"
"Kerala","False","False","True","True","paragraph"
"- - -","False","False","True","True","paragraph"
"Uttar Pradesh 80.62 74.89 - 4.34","False","False","True","True","paragraph"
"West Bengal 34.23 32.19 - -","False","False","True","True","paragraph"
"NCT Delhi","False","False","True","True","paragraph"
"- - -","False","False","True","True","paragraph"
"ALL STATES 513.38 436.02 - 25.57","False","False","False","True","paragraph"
"2 Includes `2.45 crore outstanding under “Market Loan Suspense”.","False","False","False","False","paragraph"
"Loans Loans Loans","False","True","True","True","paragraph"
"from from from","False","True","True","True","paragraph"
"Banks LIC GIC","False","True","True","True","paragraph"
"& FIs","False","True","True","True","paragraph"
"0.19 -","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"0.38 0.31 -","False","False","True","True","paragraph"
"2.64 1.17 -","False","False","True","True","paragraph"
"1.8 0.55 -","False","False","True","True","paragraph"
"0.53 0.13 -","False","False","True","True","paragraph"
"7.23 0.66 -","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"2.86 1.22 -","False","False","True","True","paragraph"
"4.11 1.77 -","False","False","True","True","paragraph"
"3.56 0.38 -","False","False","True","True","paragraph"
"4.39 0.21 -","False","False","True","True","paragraph"
"0.29 0.08 -","False","False","True","True","paragraph"
"0.04 -","False","False","True","True","paragraph"
"0.43 0.11 -","False","False","True","True","paragraph"
"0.39 0.24 -","False","False","True","True","paragraph"
"2.06 0.56 -","False","False","True","True","paragraph"
"7.23 0.17 -","False","False","True","True","paragraph"
"3.16 0.57 -","False","False","True","True","paragraph"
"0.16 0.03 -","False","False","True","True","paragraph"
"2.7 1.3 -","False","False","True","True","paragraph"
"0.41 0.41 -","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"1.34 0.6 -","False","False","True","True","paragraph"
"2.04 0.77 -","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"51.06 14.18 -","False","False","True","True","paragraph"
"(` Billion)","False","False","True","True","paragraph"
"Loans Loans Loans","False","True","True","True","paragraph"
"from from SBI from","False","True","True","True","paragraph"
"NABARD & Other NCDC","False","True","True","True","paragraph"
"Banks","False","True","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"0.01 0.24","False","False","True","True","paragraph"
"-0.36 0.2","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"0.07 - -","False","False","True","True","paragraph"
"1.11 - 0.44","False","False","True","True","paragraph"
"0.64 - 0.49","False","False","True","True","paragraph"
"0.05 - 0.25","False","False","True","True","paragraph"
"0.02 6.08 -","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"0.89 - 0.69","False","False","True","True","paragraph"
"0.48 - 1.45","False","False","True","True","paragraph"
"1.86 - 1.28","False","False","True","True","paragraph"
"0.02 2.89","False","False","True","True","paragraph"
"- 0.09","False","False","True","True","paragraph"
"- 0.03","False","False","True","True","paragraph"
"- 0.03","False","False","True","True","paragraph"
"- 0.04","False","False","True","True","paragraph"
"0.66 - 0.2","False","False","True","True","paragraph"
"0.71 5.9 0.46","False","False","True","True","paragraph"
"1.64 - 0.81","False","False","True","True","paragraph"
"- 0.01","False","False","True","True","paragraph"
"0.6 - 0.68","False","False","True","True","paragraph"
"- 0.02","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
"0.18 0.03","False","False","True","True","paragraph"
"0.06 - 0.51","False","False","True","True","paragraph"
"- -","False","False","True","True","paragraph"
