"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"T ESLA’S PROBLEM: OVERESTIMATING","True","False","True","True","paragraph"
"AUTOMATION, UNDERESTIMATING HUMANS","True","False","True","True","heading"
"E LON MUSK'S TESLA HAS SERIOUS PRODUCTION PROBLEMS","True","False","True","True","paragraph"
"By IMD Professor Bettina Büchel, with Dario Floreano","True","False","True","True","heading"
"IMD","False","False","True","True","paragraph"
"Chemin de Bellerive 23","False","False","True","True","paragraph"
"PO Box 915,","False","False","True","True","paragraph"
"CH-1001 Lausanne","False","False","True","True","paragraph"
"Switzerland","False","False","True","True","paragraph"
"Tel: +41 21 618 01 11","False","False","True","True","paragraph"
"Fax: +41 21 618 07 07","False","False","True","True","paragraph"
"info@imd.org","False","False","True","False","paragraph"
"www.imd.org","False","False","True","False","paragraph"
"Copyright © 2006-2018 IMD - International Institute for Management Development. All rights, including copyright, pertaining","False","False","True","False","paragraph"
"to the content of this website/publication/document are owned or controlled for these purposes by IMD, except when expressly","False","False","True","False","paragraph"
"stated otherwise. None of the materials provided on/in this website/publication/document may be used, reproduced or","False","False","True","False","paragraph"
"transmitted, in whole or in part, in any form or by any means, electronic or mechanical, including photocopying, recording or","False","False","True","False","paragraph"
"the use of any information storage and retrieval system, without permission in writing from IMD. To request such permission","False","False","True","False","paragraph"
"and for further inquiries, please contact IMD at pressroom@imd.org. Where it is stated that copyright to any part of the IMD","False","False","False","False","paragraph"
"website/publication/document is held by a third party, requests for permission to copy, modify, translate, publish or otherwise","False","False","True","False","paragraph"
"make available such part must be addressed directly to the third party concerned.","False","False","True","False","paragraph"
"TESLA’S PROBLEM: OVERESTIMATING AUTOMATION, UNDERESTIMATING HUMANS | Elon Musk's Tesla has serious","False","False","True","False","paragraph"
"production problems","False","False","True","False","paragraph"
"T esla was hoping to produce 5,000 new Model 3 electric cars each week in 2018. So far, it has","False","False","True","False","paragraph"
"failed to manufacture even half that number. Questioned on the matter, the company’s CEO, Elon","False","False","False","False","paragraph"
"Musk, claimed that “excessive automation was a mistake” and that “humans are underrated”.","False","False","False","False","paragraph"
"He’s not wrong – the recent drive for full automation has overlooked the importance of adaptability.","False","False","True","False","paragraph"
"Humans are still far more able to adapt to change than artificial intelligence (AI). In the long-term, AI","False","False","True","False","paragraph"
"has the potential to replace human workers, but for now leaders need to determine the right speed","False","False","True","False","paragraph"
"of change.","False","False","True","False","paragraph"
"The Tesla factory in Silicon Valley is highly automated. Early on, Musk understood that any process","False","False","True","False","paragraph"
"following a sequence of predefined steps and taking place on a fairly controlled environment, such","False","False","True","False","paragraph"
"as a factory floor, could be automated by artificial intelligence and robots. And this is something he","False","False","True","False","paragraph"
"should be credited for.","False","False","True","False","paragraph"
"But while autonomous systems are developing rapidly, humans remain far better at adapting to","False","False","True","False","paragraph"
"unforeseen changes. When it comes to complex factory work, this is something that should not be","False","False","True","False","paragraph"
"underestimated. Looking back on Tesla’s productivity issues, Musk undoubtedly missed the","False","False","True","False","paragraph"
"importance of adaptability in manufacturing. The probability of small errors and unforeseen","False","False","True","False","paragraph"
"situations is proportional to the complexity of the process, especially when the process takes place","False","False","True","False","paragraph"
"in the physical world.","False","False","True","False","paragraph"
"Adaptive intelligence","False","True","True","False","heading"
"Humans and other forms of intelligent life evolved to survive in a constantly changing world. For this","False","False","True","False","paragraph"
"reason, they can cope remarkably well with unforeseen situations and discrepancies between","False","False","True","False","paragraph"
"expected and actual events. As cognitive scientist Gary Marcus emphasises, there are a lot of","False","False","False","False","paragraph"
"things “that go into human intelligence, like our ability to attend to the right things at the same time,","False","False","True","False","paragraph"
"to reason about them to build models of what’s going on in order to anticipate what might happen","False","False","True","False","paragraph"
"next and so forth.”","False","False","True","False","paragraph"
"Humans and animals can also adapt their bodies to radically different situations in order to achieve","False","False","True","False","paragraph"
"their goals. For example, we can move forward by walking, swimming, jumping, climbing and","False","False","True","False","paragraph"
"crawling – and we can do so even if we lose the use of a limb. These dynamic aspects of biological","False","False","True","False","paragraph"
"systems help them cope with radical change under highly complex situations.","False","False","True","False","paragraph"
"Machine learning, on the other hand, is not yet at the level of human intelligence and adaptability.","False","False","True","False","paragraph"
"Sure, we have made great progress. Today, advanced AI algorithms, inspired by nervous systems,","False","False","True","False","paragraph"
"can learn to recognise similar situations like a traffic light turning red or a ball falling on the street","False","False","True","False","paragraph"
"even better than humans. Developments in robotics also mean that new robots made of soft","False","False","False","False","paragraph"
"materials can physically adapt to unforeseen objects in the physical environment. But in both cases,","False","False","False","False","paragraph"
"adaptability is limited to variations within a restricted category of objects or events.","False","False","True","False","paragraph"
"The truth is that we have not yet mastered the design of robots and AI that are resilient enough to","False","False","True","False","paragraph"
"respond to unpredictable environments. Take the example of robots used in the packaging industry.","False","False","False","False","paragraph"
"Automated guided vehicles with limited on-board intelligence can only follow simple programming","False","False","True","False","paragraph"
"instructions taking them along fixed routes in a defined environment. These robots might be able to","False","False","True","False","paragraph"
"pick up a product and place it into a carton, without the ability to do anything more complex. When","False","False","True","False","paragraph"
"the job changes, the robot will have to be replaced.","False","False","True","False","paragraph"
"More complex mobile robots are also in use. They have built-in sensors and scanners, as well as","False","False","True","False","paragraph"
"software that allows them to detect their surroundings and choose the most efficient route so that a","False","False","True","False","paragraph"
"product is not necessarily placed in the same location every time. These more complex robots are","False","False","True","False","paragraph"
"more flexible and adaptable, but they are still quite far away from what biological systems can do.","False","False","True","False","paragraph"
"IMD – www.imd.org","False","False","False","False","paragraph"
"Page 2/3","False","False","True","True","paragraph"
"TESLA’S PROBLEM: OVERESTIMATING AUTOMATION, UNDERESTIMATING HUMANS | Elon Musk's Tesla has serious","False","False","True","False","paragraph"
"production problems","False","False","True","False","paragraph"
"T his could be a problem for overly automated factories where small physical discrepancies (a","False","False","True","False","paragraph"
"broken wheel, wear and tear on the ground, imprecisely positioned parts) can rapidly accumulate","False","False","True","False","paragraph"
"and result in unpredictable situations (a component is not where it should be, a robot is missing).","False","False","True","False","paragraph"
"When a process changes or the factory starts making a new product, then there is a need to","False","False","True","False","paragraph"
"reconfigure the equipment and find a different solution. This is not yet entirely within reach of AI and","False","False","True","False","paragraph"
"robotics.","False","False","True","False","paragraph"
"Full automation","False","True","True","False","heading"
"Musk has publicly noted his desire to create a fully autonomous factory. His underlying goal is to","False","False","False","False","paragraph"
"overcome the limits of human speed. With greater speed, higher outputs can be achieved. But in","False","False","True","False","paragraph"
"complex environments, such as a highly automated factory, there is a need for highly adaptable","False","False","True","False","paragraph"
"robots that can respond to unforeseen situations and to each other like biological systems do.","False","False","True","False","paragraph"
"Introducing that sort of biological resilience in robotics and AI requires further research.","False","False","True","False","paragraph"
"The first involves testing robotic automation within a defined set of processes, such as picking raw","False","False","True","False","paragraph"
"material and placing it on the assembly line. The second involves expanding that test to multiple","False","False","True","False","paragraph"
"functions and processes, such as combining the raw material and packaging the product. The third","False","False","True","False","paragraph"
"stage is to deploy robotic co-workers and adaptive AI as human assistants. Today, this is the best","False","False","True","False","paragraph"
"we can aim for.","False","False","True","True","paragraph"
"It is not yet clear when we will have the technology for full automation without human intervention","False","False","True","False","paragraph"
"(stage four) and what form it will take but Musk should be praised for trying. He may have","False","False","True","False","paragraph"
"underestimated humans but what he is learning is precious and will help him to drive ahead of","False","False","True","False","paragraph"
"others in the future.","False","False","True","False","paragraph"
"B ettina Büchel is Professor of Strategy and Organization at IMD.","False","False","False","False","paragraph"
"D ario Floreano is Professor of Robotics and A.I., EPFL- École Polytechnique Fédérale de Lausanne","False","False","True","False","paragraph"
"Swiss Federal Institute of Technology in Lausanne","False","False","True","True","paragraph"
"IMD and EPFL jointly run TransformTECH, to help participants use new technology in their business","False","False","False","False","paragraph"
"transformations.","False","False","True","False","paragraph"
"T his article was originally published in The Conversation.","False","False","False","False","paragraph"
"IMD – www.imd.org","False","False","False","False","paragraph"
"Page 3/3","False","False","True","True","paragraph"
