"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"AXA AND","True","False","True","True","heading"
"tomorrowtoday","True","True","True","False","paragraph"
"THE SHARING","True","False","True","True","heading"
"Insight","True","True","True","True","heading"
"The sharing economy helps","False","False","True","False","paragraph"
"people save money and","False","False","True","False","paragraph"
"earn extra income, so it is","False","False","False","False","paragraph"
"unsurprisingly attracting","False","False","True","False","paragraph"
"more and more consumers.","False","False","True","False","paragraph"
"In today’s gloomy environment,","False","False","True","False","paragraph"
"this new economic model,","False","False","True","False","paragraph"
"which is redrawing the","False","False","True","False","paragraph"
"boundaries between","False","False","True","False","paragraph"
"ownership and use, is here","False","False","True","False","paragraph"
"to stay. Global revenue","False","False","True","False","paragraph"
"generated by the sharing","False","False","True","False","paragraph"
"economy is expected to","False","False","True","False","paragraph"
"increase from €15 billion in","False","False","True","False","paragraph"
"2013 to almost €335 billion","False","False","True","False","paragraph"
"in 2025.*","False","False","True","True","paragraph"
"* Consumer Intelligence Series:","False","False","True","True","paragraph"
"The Sharing Economy, published","False","False","True","False","paragraph"
"by PwC in April 2015.","False","False","True","True","heading"
"€335 BILLION","False","False","True","True","heading"
"IS THE EXPECTED","False","False","True","True","heading"
"VALUE OF THE SHARING","False","False","True","True","heading"
"ECONOMY IN 2025.","False","False","True","True","heading"
"24","False","False","True","True","paragraph"
"E C O N O M Y","True","False","True","True","paragraph"
"Challenge","True","True","True","True","heading"
"Insurance is a structural","False","False","True","False","paragraph"
"component of the large-scale","False","False","True","False","paragraph"
"sharing economy. Once a","False","False","False","False","paragraph"
"community grows beyond","False","False","True","False","paragraph"
"a certain point, it has to find","False","False","True","False","paragraph"
"an external system to foster","False","False","True","False","paragraph"
"trust. Companies in the","False","False","True","False","paragraph"
"sector are therefore looking","False","False","True","False","paragraph"
"for effective, tailored","False","False","True","False","paragraph"
"insurance solutions.","False","False","True","False","paragraph"
"4 MILLION","False","False","True","True","heading"
"SHARED RIDES","False","False","True","True","heading"
"INSURED BY AXA","False","False","True","True","heading"
"IN 2015.","False","False","True","True","heading"
"Strategy","True","True","True","True","heading"
"AXA aims to become","False","False","True","False","paragraph"
"the leading insurer of","False","False","True","False","paragraph"
"the sharing economy.","False","False","True","False","paragraph"
"This goal involves a strategy","False","False","True","False","paragraph"
"of developing ambitious,","False","False","True","False","paragraph"
"stimulating partnerships for","False","False","True","False","paragraph"
"the Group. With BlaBlaCar,","False","False","True","True","paragraph"
"AXA offers the world leader","False","False","True","False","paragraph"
"in ridesharing an insurance","False","False","True","False","paragraph"
"solution. After just a few","False","False","True","False","paragraph"
"months, it is already","False","False","True","False","paragraph"
"available in five countries","False","False","True","False","paragraph"
"and insured almost 4 million","False","False","True","False","paragraph"
"shared rides in 2015. In early","False","False","True","False","paragraph"
"2016, AXA also became the","False","False","True","False","paragraph"
"insurer of OuiCar in France","False","False","True","False","paragraph"
"and SocialCar in Spain.","False","False","True","True","paragraph"
"5 COUNTRIES","False","False","True","True","heading"
"ARE COVERED BY","False","False","True","True","heading"
"THE PARTNERSHIP BETWEEN","False","False","True","True","heading"
"AXA AND BLABLACAR.","False","False","True","True","heading"
