"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"2525 AXB Kidd Home from Home Policy.qxp:AvD 29/12/2011 15:16 Page 15","False","False","True","True","paragraph"
"If any part of this exclusion is not valid or cannot be enforced, the other parts","False","False","True","False","paragraph"
"will still be effective.","False","False","True","False","paragraph"
"4 Excess","False","True","True","True","heading"
"We will not pay the first €350 of any claim (unless otherwise shown in the","False","False","True","False","paragraph"
"policy or schedule).","False","False","True","False","paragraph"
"We will not pay for the first €5,000 of any claim for subsidence, landslip or","False","False","True","False","paragraph"
"ground heave.","False","False","True","False","paragraph"
"Claims for water escaping from , or frost damage, to a fixed water, drainage or","False","False","True","False","paragraph"
"heating installation, washing machine, dish washer, fridge freezer, waterbed or","False","False","True","False","paragraph"
"fish tank are subject to a €1,000 excess.","False","False","True","False","paragraph"
"5 Date change exclusion","False","True","True","False","heading"
"We will not pay for any loss of or damage to any computer equipment,","False","False","True","False","paragraph"
"software or microchip-controlled electrical appliance you own or control, or","False","False","True","False","paragraph"
"for any data lost from any computer, software, database or similar equipment,","False","False","True","False","paragraph"
"caused by or arising from that equipment failing to treat any calendar date as","False","False","True","False","paragraph"
"the correct date.","False","False","True","False","paragraph"
"6 Risks to computers","False","True","True","False","heading"
"This policy does not apply to liability, loss, damage, costs or expense directly","False","False","True","False","paragraph"
"or indirectly caused by or in connection with:","False","False","True","False","paragraph"
"a the loss or alteration of or damage to; or","False","False","True","False","paragraph"
"b a reduction in how a system works of","False","False","True","False","paragraph"
"a computer system, hardware programme, software, data-information","False","False","True","False","paragraph"
"store, microchip, integrated circuit or similar device in computer equipment","False","False","True","False","paragraph"
"or non-computer equipment that results from deliberately or negligently","False","False","True","False","paragraph"
"transferring (electronic or otherwise) a computer programme that contains","False","False","True","False","paragraph"
"any damaging code including computer viruses, worms, logic bombs,","False","False","True","False","paragraph"
"or trojan horses.","False","False","True","False","paragraph"
"7 Wear and Tear","False","True","True","True","heading"
"Your policy is intended to cover you against unforeseen events like fire or theft.","False","False","True","False","paragraph"
"It does not cover wear and tear or damage that occurs gradually over time.","False","False","True","False","paragraph"
"[ 15 ]","False","False","True","True","paragraph"
