"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Training Certification","True","True","True","True","heading"
"Brochure Of The EBX Development Bronze Certification For Individuals","True","True","True","True","paragraph"
"Objectives","False","True","True","True","heading"
"Test","False","True","True","True","heading"
"Customers using the EBX product often need the services of","False","False","True","False","paragraph"
"partners of TIBCO Software to build their EBX applications.","False","False","True","False","paragraph"
"This brochure describes a certification intended to let:","False","False","True","False","paragraph"
"A customer trust selected knowledge and skills of a partner,","False","False","True","False","paragraph"
"A partner highlight selected knowledge and skills to a customer.","False","False","True","False","paragraph"
"This certification can be taken by an employee of a partner,","False","False","True","False","paragraph"
"willing to be candidate.","False","False","True","False","paragraph"
"The selected knowledge and skills span, at elementary level,","False","False","True","False","paragraph"
"the content domain of the EBX Development training.","False","False","True","False","paragraph"
"Candidates","False","True","True","True","heading"
"This certification is intended mainly for these candidate profiles:","False","False","True","False","paragraph"
"Developers","False","False","True","True","paragraph"
"Architects","False","False","True","True","paragraph"
"Project managers","False","False","True","False","paragraph"
"Prerequisites","False","True","True","True","heading"
"To take this certification, a candidate is required to have passed:","False","False","True","False","paragraph"
"The EBX Foundations Bronze certification.","False","False","True","False","paragraph"
"Process","False","True","True","True","heading"
"To take this certification, a candidate has to follow these steps:","False","False","True","False","paragraph"
"Browsing the certification website for information.","False","False","True","False","paragraph"
"Selecting a test date and location in the website calendar.","False","False","True","False","paragraph"
"Registering for this test using the website registration form.","False","False","True","False","paragraph"
"Preparing thoroughly the test in the entire content domain.","False","False","True","False","paragraph"
"Taking the test at the chosen date and location.","False","False","True","False","paragraph"
"Receiving the test result within 1 week following the test.","False","False","True","False","paragraph"
"If passed, receiving the certificate attached to the test result.","False","False","True","False","paragraph"
"If failed, retaking a test after a delay of at least 1 month.","False","False","True","False","paragraph"
"Preparation","False","True","True","True","heading"
"To prepare a test, a candidate is recommended these actions:","False","False","True","False","paragraph"
"Attending the EBX Development training,","False","False","True","False","paragraph"
"Studying the training material in the entire content domain,","False","False","True","False","paragraph"
"Using the product in the content domain,","False","False","True","False","paragraph"
"Studying the product documentation in the content domain.","False","False","True","False","paragraph"
"A test has this format:","False","False","True","False","paragraph"
"The form is multiple choice.","False","False","True","False","paragraph"
"The language is English.","False","False","True","False","paragraph"
"There are 40 questions.","False","False","True","False","paragraph"
"The allowed time is 60 minutes.","False","False","True","False","paragraph"
"The passing score is 70%.","False","False","True","False","paragraph"
"Validity","False","True","True","True","heading"
"A certificate is valid within the 3 years following the passed test.","False","False","True","False","paragraph"
"Confidentiality","False","True","True","True","heading"
"TIBCO Software may not publish any test result of a candidate","False","False","True","False","paragraph"
"to anyone, unless authorized by the candidate.","False","False","True","False","paragraph"
"A candidate may publish any of his test results to anyone, in","False","False","True","False","paragraph"
"particular to any customer.","False","False","True","False","paragraph"
"Anyone, in particular any customer, may request TIBCO","False","False","True","False","paragraph"
"Software to authenticate any test result of a candidate.","False","False","True","False","paragraph"
"Price","False","True","True","True","heading"
"Euro zone: 600 € per participant and test","False","False","True","False","paragraph"
"United States: $700 per participant and test","False","False","True","False","paragraph"
"Website","False","True","True","True","heading"
"www.orchestranetworks.com/certification","False","False","True","False","paragraph"
"Contact","False","True","True","True","heading"
"ebx-training-cert@tibco.com","False","False","True","False","paragraph"
"TIBCO Software - ebx-training-cert@tibco.com - www.tibco.com","False","False","False","False","paragraph"
"Content domain","False","True","True","False","heading"
"The content domain of a test contains the following topics.","False","False","True","False","paragraph"
"A test has the elementary level: It contains primarily knowledge questions and secondarily skill questions.","False","False","True","False","paragraph"
"The reference material is that of the EBX 5.8.0 Development training.","False","False","True","False","paragraph"
"Libraries","False","False","True","True","paragraph"
"Directory structure","False","False","True","False","paragraph"
"EBX Core library","False","False","True","False","paragraph"
"EBX Add-Ons libraries","False","False","True","False","paragraph"
"Third party libraries","False","False","True","False","paragraph"
"Repository","False","False","True","True","paragraph"
"Directory structure","False","False","True","False","paragraph"
"EBX configuration file","False","False","True","False","paragraph"
"Server","False","False","True","True","paragraph"
"Required libraries","False","False","True","False","paragraph"
"Directory structure","False","False","True","False","paragraph"
"Deployed shared libraries","False","False","True","False","paragraph"
"Deployed web applications","False","False","True","False","paragraph"
"Server configuration file","False","False","True","False","paragraph"
"Eclipse run configuration","False","False","True","False","paragraph"
"Ant tasks","False","False","True","False","paragraph"
"Module","False","False","True","True","paragraph"
"Required libraries","False","False","True","False","paragraph"
"Directory structure","False","False","True","False","paragraph"
"Step 1. Project creation","False","False","True","False","paragraph"
"Step 2. Ant task definition","False","False","True","False","paragraph"
"Step 3. Module registration","False","False","True","False","paragraph"
"Step 4. Module configuration","False","False","True","False","paragraph"
"Step 5. Module deployment","False","False","True","False","paragraph"
"Step 6. Server execution","False","False","True","False","paragraph"
"Step 7. Data model association","False","False","True","False","paragraph"
"Step 8. Data model publication","False","False","True","False","paragraph"
"Step 9. Data set creation","False","False","True","False","paragraph"
"Step10. Java bindings generation","False","False","True","False","paragraph"
"Computed fields","False","False","True","False","paragraph"
"Step 1. Class implementation","False","False","True","False","paragraph"
"Step 2. Class declaration","False","False","True","False","paragraph"
"Step 3. Class association","False","False","True","False","paragraph"
"Step 4. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Performance","False","False","True","True","paragraph"
"Foreign key filters","False","False","True","False","paragraph"
"Step 1. Class implementation","False","False","True","False","paragraph"
"Step 2. Class declaration","False","False","True","False","paragraph"
"Step 3. Class association","False","False","True","False","paragraph"
"Step 4. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Performance","False","False","True","True","paragraph"
"Table triggers","False","False","True","False","paragraph"
"Step 1. Class implementation","False","False","True","False","paragraph"
"Step 2. Class declaration","False","False","True","False","paragraph"
"Step 3. Class association","False","False","True","False","paragraph"
"Step 4. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Exception handling","False","False","True","False","paragraph"
"Field widgets","False","False","True","False","paragraph"
"Step 1. Class implementation","False","False","True","False","paragraph"
"Step 2. Class declaration","False","False","True","False","paragraph"
"Step 3. Class association","False","False","True","False","paragraph"
"Step 4. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Form Layouts","False","False","True","True","paragraph"
"Step 1. Class implementation","False","False","True","False","paragraph"
"Step 2. Class declaration","False","False","True","False","paragraph"
"Step 3. Class association","False","False","True","False","paragraph"
"Step 4. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Permissions","False","False","True","True","paragraph"
"Step 1. Class implementation","False","False","True","False","paragraph"
"Step 2. Class declaration","False","False","True","False","paragraph"
"Step 3. Class association","False","False","True","False","paragraph"
"Step 4. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Performance","False","False","True","True","paragraph"
"Workflow user tasks","False","False","True","False","paragraph"
"Step 1. Variable declaration","False","False","True","False","paragraph"
"Step 2. Class implementation","False","False","True","False","paragraph"
"Step 3. Class association","False","False","True","False","paragraph"
"Step 4. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Workflow script tasks","False","False","True","False","paragraph"
"Step 1. Variable declaration","False","False","True","False","paragraph"
"Step 2. Class implementation","False","False","True","False","paragraph"
"Step 3. Class declaration","False","False","True","False","paragraph"
"Step 4. Class association","False","False","True","False","paragraph"
"Step 5. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"Workflow conditions","False","False","True","False","paragraph"
"Step 1. Variable declaration","False","False","True","False","paragraph"
"Step 2. Class implementation","False","False","True","False","paragraph"
"Step 3. Class declaration","False","False","True","False","paragraph"
"Step 4. Class association","False","False","True","False","paragraph"
"Step 5. Model publication","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
"User services","False","False","True","False","paragraph"
"Step 1. Service implementation","False","False","True","False","paragraph"
"Step 2. Service declaration","False","False","True","False","paragraph"
"Step 3. Service registration","False","False","True","False","paragraph"
"Life cycle","False","False","True","False","paragraph"
