"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"To Wash It All","True","True","True","True","heading"
"James mickens","False","False","True","False","heading"
"This is my last column! Thanks","False","False","True","False","paragraph"
"for reading, and thanks for all","False","False","True","False","paragraph"
"of the support :-). never forget","False","False","True","False","paragraph"
"that when you are alone, i","False","False","True","False","paragraph"
"am with you, and when you","False","False","True","True","paragraph"
"are with someone else, i am also with you,","False","False","True","False","paragraph"
"because i think that i am better than that other","False","False","True","False","paragraph"
"person and i have lengthy opinions about why","False","False","True","False","paragraph"
"this is true. mickens@microsoft.com","False","False","False","False","paragraph"
"Away","True","True","True","True","heading"
"W hen I was in graduate school in Ann Arbor, I had a friend who","True","False","False","False","paragraph"
"was deeply involved with the environmentalist movement. He","True","False","True","False","paragraph"
"purchased his food from local farmers’ markets, and he com-","True","False","True","False","paragraph"
"muted by bike instead of by car to reduce his carbon footprint, and he main-","True","False","True","False","paragraph"
"tained a horrid compost bin that will probably be the origin of the next flu","True","False","True","False","paragraph"
"pandemic. One day, he told me that he was going to visit a farm for a week.","True","False","True","False","paragraph"
"I asked him why, and he said that he wanted to “get closer to the land,” a","True","False","True","False","paragraph"
"phrase that you can only say with a straight face if you’re narrating a docu-","True","False","True","False","paragraph"
"mentary about ancient South American tribes. I told my friend that the land","True","False","True","False","paragraph"
"didn’t want to get closer to him, and if he really looked at the land, he’d see","True","False","True","False","paragraph"
"that it was not composed of delicious organic trail mix, but famine and","True","False","True","False","paragraph"
"vultures and backbreaking labor involving wheelbarrows and generally","True","False","True","False","paragraph"
"un acceptable quantities of insects. He responded with an extended lecture","True","False","True","False","paragraph"
"about eco-responsibility, a lecture that I immediately forgot because I real-","True","False","True","False","paragraph"
"ized that my naïve friend was going to die on that farm. So, I told my friend","True","False","True","False","paragraph"
"that he shouldn’t be afraid to end his trip early if he wasn’t having a good","True","False","True","False","paragraph"
"time. He smiled at me, the way that people in slasher movies smile before","True","False","True","False","paragraph"
"they get chopped up, and he left for the farm. Precisely 37 hours later, he","True","False","True","False","paragraph"
"called me on the phone. I asked him how everything was going, and he made","True","False","True","False","paragraph"
"a haunting, elegiac noise, like a foghorn calling out for its mate. I asked him","True","False","True","False","paragraph"
"to describe his first day, and he said that his entire existence revolved around","True","False","True","False","paragraph"
"bleating things: bleating goats that wanted to be fed, and bleating crows that","True","False","True","False","paragraph"
"wanted to steal the food that he gave the bleating goats, and bleating farm","True","False","True","False","paragraph"
"machines that were composed of spinning metal blades and had no discern-","True","False","True","False","paragraph"
"able purpose besides enrolling you in the “Hook Hand of the Month” club.","True","False","True","False","paragraph"
"I asked my friend when he was coming back home, and he said that he was","True","False","True","False","paragraph"
"calling me from the Ann Arbor train station; he had already returned. And","True","False","True","False","paragraph"
"then he let out that foghorn noise, that awful, lingering sound, and I thought,","True","False","True","False","paragraph"
"MAYBE THAT’S THE FIRST SYMPTOM OF COMPOST BIN FLU.","True","False","True","True","paragraph"
"Computer scientists often look at Web pages in the same way that my friend looked at farms.","False","False","True","False","paragraph"
"People think that Web browsers are elegant computation platforms, and Web pages are","False","False","True","False","paragraph"
"light, fluffy things that you can edit in Notepad as you trade ironic comments with your","False","False","True","False","paragraph"
"friends in the coffee shop. Nothing could be further from the truth. A modern Web page is a","False","False","False","False","paragraph"
"catastrophe. It’s like a scene from one of those apocalyptic medieval paintings that depicts","False","False","True","False","paragraph"
"what would happen if Galactus arrived: people are tumbling into fiery crevasses and lament-","False","False","True","False","paragraph"
"ing various lamentable things and hanging from playground equipment that would not pass","False","False","True","False","paragraph"
"OSHA safety checks. This kind of stuff is exactly what you’ll see if you look at the HTML,","False","False","True","False","paragraph"
"| MARCH 2014 | WWW.usenix.oRg","False","False","False","True","paragraph"
"PAge 2","False","False","True","True","paragraph"
"To Wash It All Away","True","False","True","True","heading"
"CSS, and JavaScript in a modern Web page. Of course, no human","False","False","True","False","paragraph"
"can truly “look” at this content, because a Web page is now like","False","False","True","False","paragraph"
