"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"Sl. Name of Name of District","False","True","True","True","paragraph"
"No. State/UT","False","True","True","True","paragraph"
"Bankura","False","True","True","True","paragraph"
"West Bengal","False","True","True","True","paragraph"
"Sl. Name of Name of District","False","True","True","True","paragraph"
"No State/UT","False","True","True","True","paragraph"
"Madhubani","False","True","True","True","paragraph"
"1 Bihar Madhubani","False","True","True","True","paragraph"
"Katihar","False","True","True","True","paragraph"
"Disease/ Illness No. No. of","False","True","True","True","paragraph"
"of Deaths","False","True","True","True","paragraph"
"Cases","False","True","True","True","paragraph"
"xix. Acute","False","True","False","True","paragraph"
"Diarrhoeal 46 0","False","False","False","True","paragraph"
"Disease","False","True","True","True","paragraph"
"xx. Acute","False","True","False","True","paragraph"
"Diarrhoeal 34 0","False","False","False","True","paragraph"
"Disease","False","True","True","True","paragraph"
"Date of Date of Current","False","True","True","True","paragraph"
"start of reporting Status","False","True","True","False","paragraph"
"outbreak","False","True","True","False","paragraph"
"Under","False","False","True","True","paragraph"
"Control","False","False","True","True","paragraph"
"10/11/13 15/11/13","False","False","True","True","paragraph"
"Under","False","False","True","True","paragraph"
"Control","False","False","True","True","paragraph"
"10/11/13 14/11/13","False","False","True","True","paragraph"
"Comments/ Action taken","False","True","True","False","paragraph"
"Cases of loose motion and vomiting reported from Village","False","False","True","False","paragraph"
"Daldali, SC Binodnagar, Block Onda, District Bankura. District","False","False","True","True","paragraph"
"RRT and Block health team investigated the outbreak. Active","False","False","True","False","paragraph"
"search for cases done. Cases treated at local health centre. 2 stool","False","False","True","False","paragraph"
"samples collected were negative for cholera culture. Out of 3","False","False","True","False","paragraph"
"water samples collected 1 sample was non potable. Chlorination","False","False","True","False","paragraph"
"of water sources done. Health","False","False","True","False","paragraph"
"drinking water and sanitation.","False","False","True","False","paragraph"
"education given regarding safe","False","False","True","False","paragraph"
"Cases of loose motion and vomiting reported from Village","False","False","True","False","paragraph"
"Icharia, SC Mankhamar, Block Onda, District Bankura. District","False","False","True","True","paragraph"
"RRT and Block health team investigated the outbreak. House to","False","False","True","False","paragraph"
"house survey done. All cases treated locally. 4 stool samples","False","False","True","False","paragraph"
"collected were negative for cholera culture. Out of 34 water","False","False","True","False","paragraph"
"samples collected, 8 samples were non potable. Chlorination of","False","False","True","False","paragraph"
"water sources done. Health education given regarding safe","False","False","True","False","paragraph"
"drinking water and sanitation.","False","False","True","False","paragraph"
"DISEASE OUTBREAKS OF PREVIOUS WEEKS REPORTED LATE","False","True","True","True","paragraph"
"Disease/ Illness Cases Deaths","False","True","True","True","paragraph"
"xxi. Acute","False","True","False","True","paragraph"
"Diarrhoeal 69 0","False","False","False","True","paragraph"
"Disease","False","True","True","True","paragraph"
"xxii. Acute","False","True","False","False","paragraph"
"Diarrhoeal 30 1","False","False","False","True","paragraph"
"Disease","False","True","True","True","paragraph"
"xxiii. Acute","False","True","False","False","paragraph"
"Diarrhoeal 13 3","False","False","False","True","paragraph"
"Disease","False","True","True","True","paragraph"
"Date of Current","False","True","True","True","paragraph"
"Comments/ Action taken","False","True","True","False","paragraph"
"start of Status","False","True","True","False","paragraph"
"outbreak","False","True","True","False","paragraph"
"Cases of diarrhoea and vomiting reported from Village Indra Mandal tola, SC","False","False","True","False","paragraph"
"Sugapatti, PHC Phulparas, District Madhubani. District RRT investigated the","False","False","True","False","paragraph"
"Under outbreak. House to house survey done. Medical camp organized.","False","False","True","False","paragraph"
"30/09/13","False","False","True","True","paragraph"
"Control Symptomatic treatement given to cases. ORS packets and halogen tablets","False","False","True","False","paragraph"
"distributed in the community. Chlorination of water sources done. IEC done","False","False","True","False","paragraph"
"regarding safe drinking water and sanitation.","False","False","True","False","paragraph"
"Cases of diarrhoea and vomiting reported from Village/SC Rupauli, PHC","False","False","True","False","paragraph"
"Jhanjharpur, District Madhubani. District RRT and Block health team","False","False","True","False","paragraph"
"Under investigated the outbreak. Active search for cases done. Medical camp","False","False","True","False","paragraph"
"28/10/13","False","False","True","True","paragraph"
"Control organized. All cases treated. One death occurred in 14yr old female child.","False","False","True","False","paragraph"
"ORS packets and halogen tablets distributed. Chlorination of water sources","False","False","True","False","paragraph"
"done. IEC activity regarding safe drinking water done.","False","False","True","False","paragraph"
"Cases of diarrhoea reported from Village Ahuta, Alipur, SC Lachhor,","False","False","True","False","paragraph"
"PHC/Block Balrampur, District Katihar. District RRT investigated the","False","False","True","False","paragraph"
"Under outbreak. House to house survey done. Cases occurred in a Adiwasi","False","False","True","False","paragraph"
"24/10/13","False","False","True","True","paragraph"
"control community. 3 deaths occurred in 45yr, 35yr and 5yr old male. Temporary","False","False","True","False","paragraph"
"medical camps organized. All cases treated symptomatically. Chlorination of","False","False","True","False","paragraph"
"water sources done. Health education given.","False","False","True","False","paragraph"
"5","False","False","True","True","paragraph"
