"line","is_font_bigger","is_different_style","is_font_unique","is_title_case","label"
"DoYouSpain.com Bono","True","True","False","True","heading"
"Reserva DYS-33351183","True","True","True","True","paragraph"
"de CAR","False","False","True","True","paragraph"
"principal","False","False","True","False","paragraph"
"hacia","False","False","True","False","paragraph"
"Tarradellas. derecha","False","False","True","False","paragraph"
"la","False","False","True","True","paragraph"
"DoYouSpain:","False","True","True","True","heading"
"una por","True","True","True","True","paragraph"
"modificar","True","True","True","False","heading"
"DoYouSpain.com","True","True","True","True","heading"
"Condiciones Generales de Record","True","True","True","True","heading"
"Requisitos de edad:","False","True","True","False","heading"
"Edad mínima 19 años con 1 año de carné para los grupos pequeños y medianos.","False","False","True","False","paragraph"
"Edad mínima 21 años con 1 año de carné para el resto de grupos.","False","False","True","False","paragraph"
"Suplemento conductor joven (19-20 años): 9 €/día, máx. 108 €.","False","False","True","False","paragraph"
"Suplemento conductor joven (21-24 años): 7 €/día min.14 € max.84 €.","False","False","True","False","paragraph"
"Suplemento conductor joven para vehículos automáticos de lujo: 25 €/día, max. 300 €.","False","False","True","False","paragraph"
"Los conductores senior (70+ años) disponen de dos opciones. Puede, o bien abonar el suplemento de","False","False","True","False","paragraph"
"conductor senior, o contratar el Total Confort Cover del proveedor.","False","False","True","False","paragraph"
"Suplemento conductor senior (70+ años) 7 €/día min 14 €, máx. 84 € para vehículos","False","False","True","False","paragraph"
"pequeños/medianos/famialiares/monovolúmenes y 25 €/día, max. 300 € vehículos automáticos de lujo.","False","False","True","False","paragraph"
"El coste del Total Comfort Cover es 77.00 €.","False","False","True","False","paragraph"
"Permiso de conducir internacional:","False","True","True","False","heading"
"En caso de que no disponga de un permiso de conducir de la Unión Europea, es necesario presentar","False","False","True","False","paragraph"
"junto a su carnet de conducir original un permiso de conducir internacional para alquilar un vehículo.","False","False","True","False","paragraph"
"Los carnés de conducir con caracteres no romanos o los carnés pertenecientes a países de fuera de","False","False","True","False","paragraph"
"la UE deben ir acompañados de un permiso internacional o de una traducción oficial.","False","False","True","False","paragraph"
"Conductor adicional:","False","True","True","False","heading"
"Conductor adicional 7.95 € por día, máximo 94.5 € por alquiler (precio para cada conductor adicional).","False","False","True","False","paragraph"
"Número máximo de conductores adicionales por alquiler: 3.","False","False","True","False","paragraph"
"Pago:","False","True","True","True","heading"
"Se necesita una tarjeta de crédito (Visa o Mastercard) a nombre del conductor principal para recoger","False","False","True","False","paragraph"
"el vehículo. No se aceptarán tarjetas no nominativas. Esta compañía no acepta tarjetas de prepago,","False","False","True","False","paragraph"
"recargables ni virtuales, ni cualquier otro tipo de tarjeta que no tenga el estampado en relieve.","False","False","True","False","paragraph"
"Este proveedor acepta el pago con tarjeta de débito, siempre que sea Visa o Mastercard, y EC-Karte.","False","False","True","False","paragraph"
"En este caso, la fianza será cobrada, no bloqueada.","False","False","True","False","paragraph"
"Se aceptará American Express si se contrata la Total Comfort Cover del proveedor (excepto para las","False","False","True","False","paragraph"
"categorías del Range Rover Evoque (manual y automático); en estos casos no se aceptará el pago","False","False","True","False","paragraph"
"mediante American Express.)","False","False","True","False","paragraph"
"La cobertura Total Comfort Cover también es obligatoria si el conductor principal no es el titular de la","False","False","True","False","paragraph"
"tarjeta.","False","False","True","False","paragraph"
"No se aceptan tarjetas de prepago ni EC-Karte.","False","False","True","False","paragraph"
"Seguro:","False","True","True","True","heading"
"El seguro incluye un seguro por colisión sujeto a una franquicia. El importe de la franquicia es: 1400 €.","False","False","True","False","paragraph"
"Puede contratar la cobertura para quitar la franquicia en la oficina local cuando recoge el coche por","False","False","True","False","paragraph"
"38.50 € día. O también puede contratar con DoYouSpain un seguro de reembolso de franquicia por","False","False","True","False","paragraph"
"tan solo 9.45 € por día - Total para su reserva: 18.90 €. Si prefiere no contratar el seguro ofrecido por","False","False","True","False","paragraph"
"el proveedor RECORD, le pedirán de la tarjeta de crédito un depósito de 1400.00 €.","False","False","True","False","paragraph"
"Por favor, tenga en cuenta que para los grupos Range Rover Evoque, 7 plazas automático, Jaguar F","False","False","True","False","paragraph"
"Pace y los premium automáticos, si contrata la Total Comfort Cover del proveedor la franquicia se","False","False","True","False","paragraph"
"reducirá a 1000 € que se cobrará de su tarjeta como depósito.","False","False","True","False","paragraph"
"Kilometraje:","False","True","True","True","heading"
"Kilometraje limitado: 160km. por día.Precio por kilómetro extra: 0.45 €.","False","False","True","False","paragraph"
"Tenga en cuenta que si devuelve el coche antes de lo esperado siempre se aplicará el límite de","False","False","True","False","paragraph"
"kilometraje que corresponda por día al número de días que ha tenido el coche.","False","False","True","False","paragraph"
"Política de combustible:","False","True","True","False","heading"
"Le cobrarán el tanque por adelantado pero si lo devuelve lleno, le devolverán el dinero del tanque. El","False","False","True","False","paragraph"
"precio del combustible estará entre 91 € y 142 € dependiendo del modelo del vehículo entregado. Este","False","False","True","False","paragraph"
"precio incluye el servicio por repostaje, que estará entre 32 € y 50 € que también será abonado si","False","False","True","False","paragraph"
"devuelve el coche con el tanque lleno. Tenga en cuenta que este precio podría variar entre ahora y la","False","False","True","False","paragraph"
"fecha de recogida.","False","False","True","False","paragraph"
"Si el vehículo no se devuelve con el depósito lleno se aplicará un suplemento de 30 € por repostaje","False","False","True","False","paragraph"
"más el coste de la gasolina faltante.","False","False","True","False","paragraph"
"Suplemento coche diesel: 2 € por día.","False","False","True","False","paragraph"
