"line","word_count","font_size","is_bold","color","title_case","label"
"2014JAHR JAHR  Vol.  5/2 Vol. 2014Ptikaz  No. 5/2 knjige  10 No.  / Book 10  review","21","10.168","False","#000000","False","paragraph"
"Book review","2","10.809","True","#000000","False","heading"
"Paul Slack","2","17.794","False","#000000","True","heading"
"Plague: A Very Short Introduction","5","25.42","False","#000000","True","heading"
"Oxford/New York: Oxford University Press, 2012. 138 pp; 19 illustrations; References; Further Reading; Index","14","17.794","False","#000000","True","heading"
"There are names designating nothing else but a particular disease. Plague is certainly","13","13.727","False","#000000","False","paragraph"
"not one of those: rather than a name, it is a list of associations, a cultural","16","13.727","False","#000000","False","paragraph"
"phenomenon that has helped (or dishelped) shaping human history, not only","11","13.727","False","#000000","False","paragraph"
"demography, as one would expect, but also politics and economy, art and literature,","13","13.727","False","#000000","False","paragraph"
"psychology.","1","13.727","False","#000000","False","paragraph"
"The amazing series of Oxford University Press’ „Very Short Introductions“ (more","11","13.727","False","#000000","False","paragraph"
"than 300 titles as yet!) is expected to provide basic information and overview of","14","13.727","False","#000000","False","paragraph"
"(often) complex topics. However, this edition, written by Paul Slack, Emeritus","11","13.727","False","#000000","False","paragraph"
"Professor of Early Modern Social History at Oxford University, Fellow of British","12","13.727","False","#000000","True","paragraph"
"Academy, ex Principal of Linacre College, and the author of The Impact of Plague in","15","13.727","False","#000000","False","paragraph"
"Tudor and Stuart England (1990) and other works, has pleasantly surprised even the","13","13.727","False","#000000","False","paragraph"
"most spoiled readers: rather than compiling a chronicle or mere chronography, Paul","12","13.727","False","#000000","False","paragraph"
"Slack re-created a long continuum of time in a vivid and dynamic way, similar to a","16","13.727","False","#000000","False","paragraph"
"fiction, but well ducumented and thus powerful. By his own words, „Mine has been","14","13.727","False","#000000","False","paragraph"
"an historian’s view […], designed to show how [the reactions to plague] were all","14","13.727","False","#000000","False","paragraph"
"shaped by the circumstances.“ In the best tradition of the Les Annales school of the","15","13.727","False","#000000","False","paragraph"
"second half of the 20th century, Paul Slack has shaped a real social history of plague,","16","13.727","False","#000000","False","paragraph"
"devoting more attention to the everyday life (and death), using mostly Italian,","12","13.727","False","#000000","False","paragraph"
"English, French, and Spanish sources and literature. In that particular (and","11","13.727","False","#000000","False","paragraph"
"necessarily limited) framework, Dubrovnik appears as „Venetian port“, and, when it","11","13.727","False","#000000","False","paragraph"
"comes to the analysis of art pieces related to epidemics, a lot of attention is devoted","16","13.727","False","#000000","False","paragraph"
"to Camus and Bergman, but there is no mention of Borislav Pekić’s novel Besnilo","14","13.727","False","#000000","False","paragraph"
"(„Rabies“; later filmed, too), for instance.","6","13.727","False","#000000","False","paragraph"
"The structure of Slack’s „Introduction“ to plague, already steps off the usual road of","14","13.727","False","#000000","False","paragraph"
"presenting historical matters: the author first deals with the name („important","11","13.727","False","#000000","False","paragraph"
"because it creates identity“), dipping immediately into the toughest question – of","12","13.727","False","#000000","False","paragraph"
"425","1","15.224","True","#000000","True","paragraph"
"2014JAHR JAHR  Vol.  5/2 Vol. 2014Ptikaz  No. 5/2 knjige  10 No.  / Book 10  review","21","10.168","False","#000000","False","paragraph"
