"line","word_count","font_size","is_bold","color","title_case","label"
"Declaración de la Coalición de Ciudades por los Derechos Digitales","10","12.538","True","#000000","True","heading"
"N osotras, las ciudades signatarias, nos unimos formalmente para conformar la Coalición de","13","10.035","False","#000000","False","paragraph"
"Ciudades por los Derechos Digitales, a fin de proteger y defender los derechos humanos en internet","16","10.035","False","#000000","False","paragraph"
"a nivel local y global.","5","10.035","False","#000000","False","paragraph"
"I nternet es ya inseparable de nuestra vida cotidiana. Sin embargo, cada día se producen nuevos casos","17","10.035","False","#000000","False","paragraph"
"de abusos, uso indebido o desinformación de derechos digitales, y de concentración de poder en todo","16","10.035","False","#000000","False","paragraph"
"el mundo: se censura la libertad de expresión; se vigila, se comparte y se vende la información","17","10.035","False","#000000","False","paragraph"
"personal, incluyendo nuestros movimientos y comunicaciones, sin nuestro consentimiento; se usan","11","10.035","False","#000000","False","paragraph"
"algoritmos de “caja negra” para tomar decisiones de las que no se rinden cuentas; las redes sociales se","18","10.035","False","#000000","False","paragraph"
"utilizan como herramienta de acoso y discurso de odio, y se subvierten los procesos democráticos y","16","10.035","False","#000000","False","paragraph"
"la opinión pública.","3","10.035","False","#000000","False","paragraph"
"C omo ciudades, las instituciones democráticas más próximas a las personas, estamos comprometidas","13","10.035","False","#000000","False","paragraph"
"a eliminar los impedimentos para aprovechar las oportunidades tecnológicas que mejoran las vidas de","14","10.035","False","#000000","False","paragraph"
"nuestras habitantes, y a proporcionar infraestructuras y servicios digitales seguros y fiables que","13","10.035","False","#000000","False","paragraph"
"ayuden a nuestras comunidades. Creemos firmemente que los principios de los derechos humanos","13","10.035","False","#000000","False","paragraph"
"como la privacidad, la libertad de expresión y la democracia se tienen que incorporar","14","10.035","False","#000000","False","paragraph"
"intencionadamente en las plataformas digitales, empezando por los servicios y las infraestructuras","12","10.035","False","#000000","False","paragraph"
"digitales bajo control municipal.","4","10.035","False","#000000","False","paragraph"
"C omo coalición, y con el apoyo del Programa de las Naciones Unidas para los Asentamientos","16","10.035","False","#000000","False","paragraph"
"Humanos (UN-Habitat), vamos a compartir las mejores prácticas, aprender de los retos y los éxitos de","16","10.035","False","#000000","False","paragraph"
"cada una y coordinar iniciativas y acciones comunes. Inspiradas por la Coalición por los Derechos y","16","10.035","False","#000000","False","paragraph"
"Principios en Internet (IRPC), el trabajo de 300 depositarios internacionales a lo largo de los últimos","16","10.035","False","#000000","False","paragraph"
"diez años, estamos comprometidas con los cinco principios en evolución siguientes:","11","10.035","False","#000000","False","paragraph"
"1. Acceso universal e igualitario en la red y alfabetización digital","11","11.573","True","#000000","False","heading"
"Todas las personas deberían tener acceso a internet y a los servicios digitales de forma","15","10.035","False","#000000","False","paragraph"
"asequible y accesible en términos igualitarios, así como conocimientos digitales para usar este","13","10.035","False","#000000","False","paragraph"
"acceso y superar la brecha digital.","6","10.035","False","#000000","False","paragraph"
"2. Privacidad, protección de datos y seguridad","7","11.573","True","#000000","False","heading"
"Todas las personas deberían tener privacidad y control sobre su información personal","12","10.035","False","#000000","False","paragraph"
"mediante la protección de datos, tanto en lugares físicos como virtuales, para garantizar la","14","10.035","False","#000000","False","paragraph"
"confidencialidad, la seguridad, la dignidad y el anonimato digital, así como la soberanía de","14","10.035","False","#000000","False","paragraph"
"sus datos, incluyendo el derecho a saber qué ocurre con dichos datos, quién los usa y con qué","18","10.035","False","#000000","False","paragraph"
"finalidad.","1","10.035","False","#000000","False","paragraph"
"3. Transparencia, rendición de cuentas y no discriminación de datos, contenido y algoritmos","13","11.573","True","#000000","False","heading"
"Todas las personas deberían tener acceso a una información comprensible y precisa sobre los","14","10.035","False","#000000","False","paragraph"
"sistemas tecnológicos, algorítmicos y de inteligencia artificial que afectan a sus vidas, así","13","10.035","False","#000000","False","paragraph"
"como la capacidad de cuestionar y cambiar los sistemas injustos, parciales o discriminatorios.","13","10.035","False","#000000","False","paragraph"
"4. Democracia participativa, diversidad e inclusión","6","11.573","True","#000000","False","heading"
"Todas las personas deberían tener representación total en","8","10.035","False","#000000","False","paragraph"
"comprometerse colectivamente con la ciudad mediante","6","10.035","False","#000000","False","paragraph"
"internet y la posibilidad de","5","10.035","False","#000000","False","paragraph"
"procesos digitales abiertos,","3","10.035","False","#000000","False","paragraph"
"participativos y transparentes. Todas las personas deberían tener la oportunidad de participar","12","10.035","False","#000000","False","paragraph"
"en la formación de infraestructuras y servicios digitales locales y, de manera más general, en","15","10.035","False","#000000","False","paragraph"
"la elaboración de políticas municipales para el bien común.","9","10.035","False","#000000","False","paragraph"
"5. Estándares de servicio digital abiertos y éticos","8","11.573","True","#000000","False","heading"
"Todas las personas deberían poder usar las tecnologías de su elección y esperar el mismo","15","10.035","False","#000000","False","paragraph"
"nivel de interoperabilidad, inclusión y oportunidad en sus servicios digitales. Las ciudades","12","10.035","False","#000000","False","paragraph"
"deberían definir sus propios servicios, agenda e infraestructuras tecnológicos mediante datos y","12","10.035","False","#000000","False","paragraph"
"estándares de servicio digital abiertos y éticos para garantizar que cumplen este compromiso.","13","10.035","False","#000000","False","paragraph"
