"line","word_count","font_size","is_bold","color","title_case","label"
"How To Critique A Journal Article","6","23.994","True","#000000","True","paragraph"
"Sponsored by The Center for Teaching and Learning at UIS","10","11.313","False","#000000","True","paragraph"
"So your assignment is to critique a journal article. This handout will give you a few guidelines to","18","15.768","False","#000000","False","paragraph"
"follow as you go. But wait, what kind of a journal article is it: an empirical/research article, or a","19","15.768","False","#000000","False","paragraph"
"review of literature? Some of the guidelines offered here will apply to critiques of all kinds of","17","15.768","False","#000000","False","paragraph"
"articles, but each type of article may provoke questions that are especially pertinent to that type","16","15.768","False","#000000","False","paragraph"
"and no other. Read on.","5","15.768","False","#000000","False","paragraph"
"F irst of all, for any type of journal article your critique should include some basic information:","17","15.768","False","#000000","False","paragraph"
"Name(s) of the author(s)","4","15.768","False","#000000","False","paragraph"
"Title of article","3","15.768","False","#000000","False","paragraph"
"Title of journal, volume number, date, month and page numbers","10","15.768","False","#000000","False","paragraph"
"Statement of the problem or issue discussed","7","15.768","False","#000000","False","paragraph"
"The author’s purpose, approach or methods, hypothesis, and major conclusions.","10","15.768","False","#000000","False","paragraph"
"T he bulk of your critique, however, should consist of your qualified opinion of the article.","16","15.768","False","#000000","False","paragraph"
"Read the article you are to critique once to get an overview. Then read it again, critically. At this","19","15.768","False","#000000","False","paragraph"
"point you may want to make some notes to yourself on your copy (not the library’s copy,","17","15.768","False","#000000","False","paragraph"
"please).","1","15.96","False","#000000","False","paragraph"
"T he following are some questions you may want to address in your critique no matter what type","18","15.768","False","#000000","False","paragraph"
"of article you are critiquing. (Use your discretion. These points don’t have to be discussed in this","17","15.768","False","#000000","False","paragraph"
"order, and some may not be pertinent to your particular article.)","11","15.768","False","#000000","False","paragraph"
"Is the title of the article appropriate and clear?","9","15.768","False","#000000","False","paragraph"
"Is the abstract specific, representative of the article, and in the correct form?","13","15.768","False","#000000","False","paragraph"
"Is the purpose of the article made clear in the introduction?","11","15.768","False","#000000","False","paragraph"
"Do you find errors of fact and interpretation? (This is a good one! You won’t believe how","17","15.768","False","#000000","False","paragraph"
"often authors misinterpret or misrepresent the work of others. You can check on this by looking","16","15.768","False","#000000","False","paragraph"
"up for yourself the references the author cites.)","8","15.768","False","#000000","False","paragraph"
"Is all of the discussion relevant?","6","15.768","False","#000000","False","paragraph"
"Has the author cited the pertinent, and only the pertinent, literature? If the author has included","16","15.768","False","#000000","False","paragraph"
"inconsequential references, or references that are not pertinent, suggest deleting them.","11","15.768","False","#000000","False","paragraph"
"Have any ideas been overemphasized or underemphasized? Suggest specific revisions.","10","15.768","False","#000000","False","paragraph"
"Should some sections of the manuscript be expanded, condensed or omitted?","11","15.768","False","#000000","False","paragraph"
"Are the author’s statements clear? Challenge ambiguous statements. Suggest by examples how","12","15.768","False","#000000","False","paragraph"
"clarity can be achieved, but do not merely substitute your style for the author’s.","14","15.768","False","#000000","False","paragraph"
"What underlying assumptions does the author have?","7","15.768","False","#000000","False","paragraph"
"Has the author been objective in his or her discussion of the topic?","13","15.768","False","#000000","False","paragraph"
"I n addition, here are some questions that are more specific to empirical/research articles. (Again,","15","15.768","False","#000000","False","paragraph"
"use your discretion.)","3","15.768","False","#000000","False","paragraph"
"Is the objective of the experiment or of the observations important for the field?","14","15.768","False","#000000","False","paragraph"
"Are the experimental methods described adequately?","6","15.768","False","#000000","False","paragraph"
"Are the study design and methods appropriate for the purposes of the study?","13","15.768","False","#000000","False","paragraph"
"Have the procedures been presented in enough detail to enable a reader to duplicate them?","15","15.768","False","#000000","False","paragraph"
"(Another good one! You’d be surprised at the respectable researchers who cut corners in their","15","15.768","False","#000000","False","paragraph"
"writing on this point.)","4","15.768","False","#000000","False","paragraph"
"Last Edited 4/9/2009","3","11.313","False","#000000","True","paragraph"
"Page 1 of 2","4","13.337","False","#000000","True","paragraph"
"How To Critique A Journal Article","6","23.994","True","#000000","True","paragraph"
"Sponsored by The Center for Teaching and Learning at UIS","10","11.313","False","#000000","True","paragraph"
"Scan and spot-check calculations. Are the statistical methods appropriate?","9","15.768","False","#000000","False","paragraph"
"Do you find any content repeated or duplicated? A common fault is repetition in the text of","17","15.768","False","#000000","False","paragraph"
"data in tables or figures. Suggest that tabular data be interpreted of summarized, nor merely","15","15.768","False","#000000","False","paragraph"
"repeated, in the text.","4","15.768","False","#000000","False","paragraph"
"A word about your style: let your presentation be well reasoned and objective. If you","15","15.768","False","#000000","False","paragraph"
"passionately disagree (or agree) with the author, let your passion inspire you to new heights of","16","15.768","False","#000000","False","paragraph"
"thorough research and reasoned argument.","5","15.768","False","#000000","False","paragraph"
"Last Edited 4/9/2009","3","11.313","False","#000000","True","paragraph"
"Page 2 of 2","4","13.337","False","#000000","True","paragraph"
