"line","word_count","font_size","is_bold","color","title_case","label"
"One-Pager® Response to Reading Due the First Day of School in September","12","16.632","False","#000000","True","heading"
"D irections:","2","15.972","False","#000000","False","paragraph"
"Follow the prompt below.","4","15.972","False","#000000","False","paragraph"
"Your One-Pager should be done on a plain white paper 8-1/2 x 11” on","14","15.972","False","#000000","False","paragraph"
"side only, with your name clearly in evidence on the front side of the","14","15.972","False","#000000","False","paragraph"
"paper.","1","15.972","False","#000000","False","paragraph"
"What is a One-Pager?","4","19.376","True","#000000","True","heading"
"“ How do I know what I think until I see what I say?”","14","14.64","False","#000000","False","paragraph"
"Forster","1","14.64","False","#000000","True","paragraph"
"“ Only connect.” –E.M. Forster","5","14.64","False","#000000","False","paragraph"
"A one pager is a single-page response to your reading. It is a way of","15","15.972","False","#000000","False","paragraph"
"making your pattern of your unique understanding. It is a way to be","13","15.972","False","#000000","False","paragraph"
"creative and experimental. It is a way to respond imaginatively and","11","15.972","False","#000000","False","paragraph"
"honestly. It is a way to be brief and compressed.","10","15.972","False","#000000","False","paragraph"
"The purpose of a one-pager is to own what you are reading. We learn","14","15.972","False","#000000","False","paragraph"
"best when we can create our own patterns.","8","15.972","False","#000000","False","paragraph"
"A one-pager connects the verbal and the visual; it connects the ideas in","13","15.972","False","#000000","False","paragraph"
"what you read to your thoughts. It connects words and images. The one-","13","15.972","False","#000000","False","paragraph"
"pager becomes a metaphor for the reading you have done.","10","15.972","False","#000000","False","paragraph"
"When you do a one-pager, do any or all of these:","11","15.972","False","#000000","False","paragraph"
"a. Pull out a quotation or two, using them to explore one of your own","15","15.972","False","#000000","False","paragraph"
"ideas, and write them on the page (perhaps using a different","11","15.972","False","#000000","False","paragraph"
"colored pen).","2","15.972","False","#000000","False","paragraph"
"b. Use visual images, either drawn or cut from magazines, to create a","13","15.972","False","#000000","False","paragraph"
"visual focus.","2","15.972","False","#000000","False","paragraph"
"c. Cluster around a dominant impression, feeling or thought you have","11","15.972","False","#000000","False","paragraph"
"while reading.","2","15.972","False","#000000","False","paragraph"
"d. Make a personal statement about what you have read.","10","15.972","False","#000000","False","paragraph"
"e. Ask a question or two and answer it (them).","10","15.972","False","#000000","False","paragraph"
"f. Create the one-pager so that your audience will understand","10","15.972","False","#000000","False","paragraph"
"something about the reading from what you do.","8","15.972","False","#000000","False","paragraph"
"g. Feel free to use colored pens or pencils.","9","15.972","False","#000000","False","paragraph"
"What not to do:","4","15.972","False","#000000","True","paragraph"
"a. Don’t merely summarize.","4","15.972","False","#000000","False","paragraph"
"b. Don’t be restricted by the lines on the paper. Use unlined paper.","13","15.972","False","#000000","False","paragraph"
"c. Don’t think a half a page will do—make it rich with quotes and","14","15.972","False","#000000","False","paragraph"
"images.","1","15.972","False","#000000","False","paragraph"
"Grading: full credit depends on completeness (and imagination counts,","9","15.972","False","#000000","False","paragraph"
"too.)","1","15.972","False","#000000","False","paragraph"
