"line","word_count","font_size","is_bold","color","title_case","label"
"File ownership","2","16.164","False","#000000","False","paragraph"
"DRAFTDRAFT has been an issue in a number of recent complaints before the Trans-Tasman","14","16.164","False","#000000","False","paragraph"
"IP Attorneys Board (the Board). This Practice Note is published by the Board to assist","15","16.164","False","#000000","False","paragraph"
"registered attorneys to understand their obligations and may change from time to time.","13","16.164","False","#000000","False","paragraph"
"Responsibilities of registered attorneys","4","16.608","True","#20497d","False","heading"
"The Board expects that registered patent attorneys and registered trade marks attorneys","12","16.164","False","#000000","False","paragraph"
"(collectively, 'registered attorneys') should maintain a file in such a manner that the client’s","14","16.164","False","#000000","False","paragraph"
"property is, or can be, readily identified. This will allow the attorney to promptly comply with","16","16.164","False","#000000","False","paragraph"
"a request for the return of the client’s property if and when it is made.","15","16.164","False","#000000","False","paragraph"
"Legislative requirements","2","16.608","True","#20497d","False","heading"
"The Code of Conduct for Trans-Tasman Patent and Trade Marks Attorneys 2018 (the Code)","14","15.96","False","#000000","True","paragraph"
"deals generally with the professional conduct required of registered attorneys. Section 25 of","13","16.164","False","#000000","False","paragraph"
"the Code deals with client or former client property, including the return of a client’s property","16","16.164","False","#000000","False","paragraph"
"when the client asks the registered attorney for its return. However, a registered attorney need","15","16.164","False","#000000","False","paragraph"
"not return the client’s property if the client has not satisfied a lien imposed in accordance with","17","16.164","False","#000000","False","paragraph"
"the Patents Regulations 1991 (Cth) or the Trade Marks Regulations 1995 (Cth), or the","14","16.164","False","#000000","False","paragraph"
"Patents Act 2013 (NZ) or otherwise by law.","8","16.164","False","#000000","False","paragraph"
"A registered attorney may claim a lien over client documents if outstanding fees are owing to","16","16.164","False","#000000","False","paragraph"
"the registered attorney. If a registered attorney is running several files for a client, then the","16","16.164","False","#000000","False","paragraph"
"lien could be applied to all the client's files.","9","16.164","False","#000000","False","paragraph"
"Which parts of these files are client property that need to be released to the client on request","18","16.608","True","#20497d","False","heading"
"Examples of documents that are client property could include:","9","16.164","False","#000000","False","paragraph"
"documents, samples or other material which are owned by the client;","11","16.164","False","#000000","False","paragraph"
"documents, samples or other material created by the client either prior to or during the","15","16.164","False","#000000","False","paragraph"
"course of the retainer, and given to the registered attorney for the purpose of doing the","16","16.164","False","#000000","False","paragraph"
"work subject to the retainer;","5","16.164","False","#000000","False","paragraph"
"documents prepared by the registered attorney for the benefit of the client;","12","16.164","False","#000000","False","paragraph"
"documents prepared by a third party and sent to the registered attorney other than at","15","16.164","False","#000000","False","paragraph"
"the registered attorney’s expense;","4","16.164","False","#000000","False","paragraph"
"documents brought into existence by a registered attorney who acts only as an agent","14","16.164","False","#000000","False","paragraph"
"for a client for this purpose;","6","16.164","False","#000000","False","paragraph"
"original receipts for payments made on behalf of the client;","10","16.164","False","#000000","False","paragraph"
"communications between the registered attorney, IP offices and third parties;","10","16.164","False","#000000","False","paragraph"
"7 May 2019","3","12.203","False","#000000","True","paragraph"
"file notes of telephone conversations relating to the work subject to the retainer;","13","16.164","False","#000000","False","paragraph"
"filing details of a client’s intellectual property rights.","8","16.164","False","#000000","False","paragraph"
"Registered attorneys should note that paragraph 25(1)(b) of the Code provides for the","13","16.164","False","#000000","False","paragraph"
"registered attorney to release ‘documents, samples or material to which the client may have","14","16.164","False","#000000","False","paragraph"
"access under an agreement between the registered attorney and the client’. This category of","14","16.164","False","#000000","False","paragraph"
"documents, etc. will be determined by the nature of the agreement between the client and the","16","16.164","False","#000000","False","paragraph"
"registered attorney, however it should not derogate from the client’s right to the client’s","14","16.164","False","#000000","False","paragraph"
"property. Registered","2","16.164","False","#000000","False","paragraph"
"DRAFTDRAFT attorneys may seek to clarify these matters in their standard retainer","12","16.164","False","#000000","False","paragraph"
"terms for the avoidance of doubt.","6","16.164","False","#000000","False","paragraph"
"Which parts are not client property","6","16.608","True","#20497d","False","heading"
"Examples of documents that are not client property could include:","10","16.164","False","#000000","False","paragraph"
"drafts and office copies of final accounts of profit and loss, balance sheets etc.;","14","16.164","False","#000000","False","paragraph"
"draft and office copies of final reports, memoranda and notes requested by the client;","14","16.164","False","#000000","False","paragraph"
"file copies of client property made at the registered attorney’s expense;","11","16.164","False","#000000","False","paragraph"
"internal cheque requisitions, photocopying requisition forms, etc.;","7","16.164","False","#000000","False","paragraph"
"trust and other accounts printouts;","5","16.164","False","#000000","False","paragraph"
"internal records and memos about work done or to be done.","11","16.164","False","#000000","False","paragraph"
"Can an attorney levy charges, etc. for the extraction, copying and delivery of a client’s file (and if so, when)","20","16.608","True","#20497d","False","heading"
"A client should not be charged to copy client property for the retention of a copy by the","18","16.164","False","#000000","False","paragraph"
"registered attorney.","2","16.164","False","#000000","False","paragraph"
"In practice, an attorney should not levy charges for delivery of the client’s property unless the","16","16.164","False","#000000","False","paragraph"
"attorney and client have otherwise agreed. If a charge has been agreed, then it is","15","16.164","False","#000000","False","paragraph"
"recommended that the charge reflect the approximate cost to the attorney of making a copy.","15","16.164","False","#000000","False","paragraph"
"In the absence of such an agreement, if a registered attorney were to charge an unreasonable","16","16.164","False","#000000","False","paragraph"
"amount for document storage, extraction, copying or delivery it could be argued that such","14","16.164","False","#000000","False","paragraph"
"conduct is inconsistent with the registered attorney’s obligation to act in the best interests of","15","16.164","False","#000000","False","paragraph"
"the registered attorney’s client.","4","16.164","False","#000000","False","paragraph"
"I f you have any concerns please contact the Secretary, Trans-Tasman IP Attorneys Board.","14","16.164","False","#000000","False","paragraph"
"C ontact details:","3","16.164","False","#1e252d","False","paragraph"
"Tel: +61 2 6283 2345","5","16.164","False","#1e252d","True","paragraph"
"Email: mail.ttipab@ipaustralia.gov.au","2","16.164","False","#1e252d","False","paragraph"
"7 May 2019","3","12.203","False","#1e252d","True","paragraph"
"2 of 2","3","12.203","False","#1e252d","True","paragraph"
