"line","word_count","font_size","is_bold","color","title_case","label"
"Line: 1 Item Description: FG-STAF","5","11.9","False","#000000","True","paragraph"
"Ship Line: 1","3","11.9","False","#000000","True","paragraph"
"Ship To: 8JAVA","3","11.9","False","#000000","True","paragraph"
"Attention: FRA: Nessiba Due Date: 12/06/2019","6","11.9","False","#000000","True","paragraph"
"BOUREZG","1","11.56","False","#000000","True","paragraph"
"Dist Status Location Qty PCT","5","10.71","True","#000000","True","paragraph"
"1","1","10.404","False","#000000","True","paragraph"
"8JAVA 1.0000 100,00","3","10.404","False","#000000","True","paragraph"
"Dept Dept Descr Altacct Altacct IT Sub -","8","10.71","True","#000000","True","paragraph"
"Descr Tower","2","10.71","True","#000000","True","paragraph"
"FG000145 Technology 6228000 Frs divers","5","10.404","False","#000000","False","paragraph"
"PC BU Project Project Descr Service","6","10.71","True","#000000","True","paragraph"
"ATSHA FG-STAFF Generic Staff Costs","5","10.404","False","#000000","True","paragraph"
"Open Open Amt GL Base Currency","6","10.71","True","#000000","True","paragraph"
"QTY Amount","2","10.71","True","#000000","True","paragraph"
"4 950,00 EUR","3","10.404","False","#000000","True","paragraph"
"Start Date End Date","4","10.71","True","#000000","True","paragraph"
"Quantity: 1.0000 UOM: EA","4","11.9","False","#000000","True","paragraph"
"Amount Only: N","3","11.9","False","#000000","True","paragraph"
"Address:","1","11.9","True","#000000","True","paragraph"
"Price: 4 950,00 Line Total: 4 950,00","7","11.56","False","#000000","True","paragraph"
"Line Status: En crs","4","11.9","False","#000000","True","paragraph"
"Shipping Quantity: 1.0000","3","11.9","False","#000000","True","paragraph"
"Shipping Total: 4 950,00","4","11.9","False","#000000","True","paragraph"
"VAT Code N2000 (20.0000%):","4","11.9","True","#000000","True","paragraph"
"990,00","1","11.56","False","#000000","True","paragraph"
"Amount GL Unit Entry Event","5","10.71","True","#000000","True","paragraph"
"4 950,00 GIEFR","3","10.404","False","#000000","True","paragraph"
"Account Acct Descr","3","10.71","True","#000000","True","paragraph"
"909092W000 Other cost","3","10.404","False","#000000","True","paragraph"
"IT Sub - Tower Oper Unit","6","10.71","True","#000000","True","paragraph"
"Descr","1","10.71","True","#000000","True","paragraph"
"Service Third Pary","3","10.71","True","#000000","True","paragraph"
"Descr","1","10.71","True","#000000","True","paragraph"
"1000006638","1","10.404","False","#000000","True","paragraph"
"Oper Unit Descr Class Class Descr","6","10.71","True","#000000","True","paragraph"
"Third Party Contract Contract Descr","5","10.71","True","#000000","True","paragraph"
"Descr Descr","2","10.71","True","#000000","True","paragraph"
"ANSSUR-001","1","10.404","False","#000000","True","paragraph"
